Date,FTSE Global All Cap Choice
11/2020,10000
12/2020,10242.483160130108
01/2021,10334.163057986309
02/2021,10568.621939135983
03/2021,11174.729009683817
04/2021,11339.904152053645
05/2021,11398.60900392779
06/2021,11845.844628289837
07/2021,11927.939213929236
08/2021,12318.152383635186
09/2021,12036.93936411749
10/2021,12580.948914790284
11/2021,12600.418641125165
12/2021,13103.489513171266
01/2022,12454.475304603862
02/2022,12043.601258580053
03/2022,12373.391505743348
04/2022,11894.273827079265
05/2022,11621.250568421914
06/2022,11014.92793733584
07/2022,12036.660475963836
08/2022,11785.237925714964
09/2022,10907.163839543246
10/2022,11287.360848808234
