Date,FTSE Global Core Infrastructure
10/2006,10000
11/2006,10118.702037956706
12/2006,10438.416109745664
01/2007,10598.85255163176
02/2007,10582.904200239529
03/2007,10919.422382213974
04/2007,11117.62473940084
05/2007,11532.330750745352
06/2007,11174.385460064048
07/2007,10643.944265527782
08/2007,10833.114411297347
09/2007,11002.70347208025
10/2007,11462.91860145943
11/2007,11365.508781764305
12/2007,11353.215037542825
01/2008,10425.83898424879
02/2008,10180.149605193432
03/2008,9707.264767404573
04/2008,10246.169922781328
05/2008,10632.40683829288
06/2008,10054.919635256132
07/2008,9767.250099790273
08/2008,9995.522700896627
09/2008,9052.351950188946
10/2008,8707.652383111068
11/2008,8564.66560857548
12/2008,8206.788408611334
01/2009,8349.852792865944
02/2009,7477.211595313122
03/2009,7140.284277660469
04/2009,7552.567449735326
05/2009,7675.8194411832565
06/2009,7707.027276672715
07/2009,8045.418918857773
08/2009,8277.75227046158
09/2009,8342.676775793012
10/2009,7903.725519351575
11/2009,8149.013062251959
12/2009,8794.240667685357
01/2010,8611.916398564377
02/2010,8751.453431057429
03/2010,9082.027782687646
04/2010,9088.493549899551
05/2010,9021.071139149695
06/2010,8996.304007715213
07/2010,9169.77190847375
08/2010,9397.077731927364
09/2010,9099.326740044606
10/2010,9335.983767453748
11/2010,9379.60247747055
12/2010,9579.808163935752
01/2011,9629.793764695793
02/2011,9776.84544321646
03/2011,9287.039192130367
04/2011,9298.65826408177
05/2011,9371.971202346764
06/2011,9316.629252921313
07/2011,9180.601747943692
08/2011,8776.77794258058
09/2011,9087.56176587217
10/2011,9165.791794029721
11/2011,9496.553602038346
12/2011,9886.141719846739
01/2012,9606.731186794634
02/2012,9677.948885174415
03/2012,9798.62724675504
04/2012,9866.536708332902
05/2012,9963.74571213327
06/2012,10359.921763120037
07/2012,10618.95858185768
08/2012,10329.511212379453
09/2012,10279.121910096348
10/2012,10307.93258723207
11/2012,10044.733675921443
12/2012,10042.94233179276
01/2013,10045.269273519882
02/2013,10336.069252883279
03/2013,10996.88724229197
04/2013,11435.829947745096
05/2013,10771.243038999166
06/2013,10573.661731627679
07/2013,10858.92907799637
08/2013,10450.451055445124
09/2013,10680.90680571392
10/2013,10895.239094675353
11/2013,10740.257090810179
12/2013,10723.518714861406
01/2014,10933.440157639943
02/2014,11196.58803421008
03/2014,11512.378750503134
04/2014,11749.896807271169
05/2014,12136.361673882531
06/2014,12578.2774759391
07/2014,12357.802476799037
08/2014,12872.765366860896
09/2014,13068.837477809657
10/2014,13521.376223180549
11/2014,13568.036914461401
12/2014,13942.646513713129
01/2015,14940.501819533554
02/2015,14622.883657372733
03/2015,15007.9603688222
04/2015,14759.198319087236
05/2015,15010.337430152878
06/2015,13985.783132141769
07/2015,14670.489399842483
08/2015,13613.288063740052
09/2015,13351.113455419636
10/2015,14128.69775055597
11/2015,14084.127041839298
12/2015,13535.14682730611
01/2016,13713.241480224697
02/2016,13772.883485025077
03/2016,14208.00259762885
04/2016,14282.138976930966
05/2016,14588.790090469754
06/2016,15373.065323910076
07/2016,15508.048469067142
08/2016,14857.311029770208
09/2016,15096.301009285535
10/2016,15116.231316178983
11/2016,14787.31510774823
12/2016,15464.25456604344
01/2017,15301.36673994865
02/2017,16037.873928047833
03/2017,16173.353205258032
04/2017,15956.861544974568
05/2017,16110.533640323209
06/2017,15696.527883763052
07/2017,15525.248861235936
08/2017,15698.537079448563
09/2017,15589.984139419623
10/2017,16009.215340332888
11/2017,16057.6715488083
12/2017,15616.477852099535
01/2018,14965.939864238939
02/2018,14514.246922884011
03/2018,14596.719391369528
04/2018,15198.423923921939
05/2018,15757.71146420442
06/2018,16059.930042184153
07/2018,16388.650033967115
08/2018,16415.72739954965
09/2018,16540.602983568286
10/2018,16556.78698272358
11/2018,17062.912286824783
