Date,FTSE India 30/18 Capped
03/2021,10000
04/2021,9623.299584709954
05/2021,10355.76690040918
06/2021,10651.569609453505
07/2021,10737.651548180658
08/2021,11835.546142090703
09/2021,12268.150382737444
10/2021,12054.584346743279
11/2021,12002.383147097742
12/2021,12497.39504402342
01/2022,12502.319721729757
02/2022,11909.314703130825
03/2022,12495.02747946873
04/2022,13111.193794622288
05/2022,11962.081262160611
06/2022,11517.909838143172
07/2022,12769.681069493043
08/2022,13557.335901445516
09/2022,13033.088534399045
10/2022,13128.31385679715
11/2022,13177.333841811584
12/2022,12161.481533869373
01/2023,11669.693636966107
02/2023,11348.025579280331
03/2023,11188.888845049489
04/2023,11549.918729064128
05/2023,12233.607760436524
06/2023,12692.934819801314
07/2023,12931.974092829912
08/2023,12995.81998370894
09/2023,13613.564858057282
10/2023,13146.08354092381
11/2023,13696.572645916136
12/2023,14708.76924998319
01/2024,15376.232275743174
02/2024,15805.921824413786
03/2024,15910.733415051822
04/2024,16548.042792639695
05/2024,16494.421584566167
06/2024,17901.005926576712
07/2024,18450.37786140335
08/2024,18181.59185515715
09/2024,18368.32464421267
