Date,FTSE Japan
03/2005,10000
04/2005,9811.41478057563
05/2005,10178.435144171235
06/2005,10362.340913974242
07/2005,10418.10115548289
08/2005,11005.470819918635
09/2005,12312.987870719417
10/2005,12290.30831222636
11/2005,12963.092693592122
12/2005,14041.425555679636
01/2006,14319.265323565856
02/2006,14449.059041705557
03/2006,14613.695586834214
04/2006,14450.750832452582
05/2006,13286.010913917089
06/2006,13213.880146290083
07/2006,13172.166940153966
08/2006,13322.808985650474
09/2006,13226.767518054921
10/2006,13345.431463538425
11/2006,12924.44401675295
12/2006,13265.250472745018
01/2007,13556.403412934571
02/2007,13848.684691763121
03/2007,13529.488535499278
04/2007,12950.607111775593
05/2007,13373.30572159404
06/2007,13275.667268169875
07/2007,13031.559702578468
08/2007,12699.582412761894
09/2007,12408.668352817034
10/2007,12193.118621051188
11/2007,11842.561346785604
12/2007,11393.524601097077
01/2008,10781.233875973865
02/2008,10566.828469423403
03/2008,9744.735847134729
04/2008,10640.656921221756
05/2008,10919.857870619971
06/2008,10037.834659495313
07/2008,9794.441513134372
08/2008,9970.64996653827
09/2008,9302.418107724534
10/2008,8804.907939424787
11/2008,8682.420465501693
12/2008,8558.809414146279
01/2009,8635.580981104084
02/2009,7648.275605821162
03/2009,7494.798348452764
04/2009,8216.664098586605
05/2009,8484.525091960817
06/2009,8723.275667849011
07/2009,8985.450601932618
08/2009,9234.600276978552
09/2009,8888.001215385888
10/2009,8571.814505399367
11/2009,8341.433487718643
12/2009,8773.74711872097
01/2010,9226.697678998502
02/2010,9510.760768279428
03/2010,10086.518650175798
04/2010,10250.696598335231
05/2010,10213.339493930713
06/2010,10030.318905348899
07/2010,9753.174143159124
08/2010,9762.822351367775
09/2010,9491.114558903797
10/2010,9497.898551107583
11/2010,10352.850214496428
12/2010,10828.131162397038
01/2011,10596.698827181674
02/2011,11008.755155170646
03/2011,9754.422151731187
04/2011,9370.771061567166
05/2011,9507.406807955922
06/2011,9581.551845484697
07/2011,10013.505086139927
08/2011,9196.226968096851
09/2011,9730.676668833217
10/2011,9332.200915175275
11/2011,9243.606154127729
12/2011,9674.047970094376
01/2012,10019.460353113873
02/2012,10276.725371939265
03/2012,10458.797916387735
04/2012,10189.985511690169
05/2012,9937.14357642371
06/2012,10184.886904154408
07/2012,10250.761572475521
08/2012,9940.040157017183
09/2012,9973.52122754644
10/2012,9715.874860141512
11/2012,9900.690852957836
12/2012,10295.336739440992
01/2013,10364.799962739215
02/2013,11042.779099226165
03/2013,11783.251101258307
04/2013,12474.366115709241
05/2013,11971.777523652469
06/2013,12146.512314561985
07/2013,11978.170858679927
08/2013,11820.24167187755
09/2013,12470.683254999642
10/2013,12431.457999903972
11/2013,12598.043188401038
12/2013,12541.331748543804
01/2014,12328.065559181474
02/2014,11969.708104229074
03/2014,11865.209686376453
04/2014,11489.789439660122
05/2014,12160.66162412217
06/2014,12778.446305294956
07/2014,13157.90880469615
08/2014,13081.66505908345
09/2014,13639.028662952614
10/2014,13464.379886070186
11/2014,13574.128914833733
12/2014,13811.940706361118
01/2015,15190.368825025078
02/2015,16215.369128993947
03/2015,17238.26736610685
04/2015,17088.789619996885
05/2015,17777.206391447686
06/2015,17191.361902462737
07/2015,17427.301192047675
08/2015,16216.468090583678
09/2015,15428.876180360652
10/2015,16903.076702884195
11/2015,17538.763192025228
12/2015,17100.466605645473
01/2016,15442.402011758246
02/2016,15198.317315279615
03/2016,15218.807438437438
04/2016,15840.072451416716
05/2016,16165.247512328395
06/2016,15790.481089732852
07/2016,16712.543576664226
08/2016,16818.34417865083
09/2016,17003.47437238525
10/2016,17692.626996072744
11/2016,17820.39495798375
12/2016,18244.254280289573
01/2017,18323.060623336325
02/2017,18875.015505678515
03/2017,18732.91245286554
04/2017,18627.10591283935
05/2017,18586.504190030828
06/2017,18527.79965568802
07/2017,18287.618425581684
08/2017,18134.669793475005
09/2017,18657.01381813346
10/2017,19773.31963526091
11/2017,19917.159913157553
12/2017,19932.744488302607
01/2018,20449.746572071814
02/2018,20182.13972073103
03/2018,19652.0362979494
04/2018,20144.52900462551
05/2018,20645.792418007703
06/2018,20304.31984428411
07/2018,20148.661570397308
08/2018,20282.929425430924
09/2018,20699.48652562861
10/2018,19611.361373271786
11/2018,19747.083425916117
12/2018,18218.239110133196
01/2019,19254.618033885392
02/2019,19411.19813075511
03/2019,19823.717129171422
04/2019,20114.75019234572
05/2019,19372.25865581023
06/2019,19641.151439542395
07/2019,20113.24710566141
08/2019,20114.12024665291
09/2019,21176.254976858152
10/2019,21703.784985107814
11/2019,22087.26853989094
12/2019,22162.321695097475
01/2020,22078.029109391668
02/2020,20192.409825364764
03/2020,18890.45614102669
04/2020,19977.177974013895
05/2020,20858.2603611024
06/2020,20640.386854904962
07/2020,19221.584372836536
08/2020,20498.79800820427
09/2020,21187.99596605451
10/2020,20956.574099432895
11/2020,22882.533063123537
12/2020,23302.575655346416
01/2021,23243.156707665727
02/2021,23598.58370640953
03/2021,24778.377529260422
04/2021,23795.1254527292
05/2021,23792.57744617127
06/2021,24468.642885671365
07/2021,24160.054455449488
08/2021,24989.182660487142
09/2021,26122.88421291803
10/2021,25278.584565063185
11/2021,25211.216102660397
12/2021,25455.149331147077
01/2022,24592.97288512781
02/2022,24132.812646592458
03/2022,24432.669322604124
04/2022,23341.665003076978
05/2022,23535.67360224825
06/2022,22333.166901717323
07/2022,24177.392658102563
08/2022,23880.79220467349
09/2022,22605.500249058336
10/2022,22462.217289091317
11/2022,23628.25392091881
12/2022,22931.56892600219
