Date,FTSE MIB
12/1997,10000
01/1998,11290.000549145669
02/1998,11696.999451673952
03/1998,14158.999800832242
04/1998,13430.000729462154
05/1998,14145.000684383036
06/1998,13819.000767984315
07/1998,15209.99904104413
08/1998,13092.001570392687
09/1998,11573.999018094759
10/1998,12318.001240905287
11/1998,13809.001399092022
12/1998,14710.001909715535
01/1999,14817.999191854284
02/1999,15088.9984812434
03/1999,16045.999555765742
04/1999,16088.00100321537
05/1999,15521.999840993642
06/1999,15435.001233528703
07/1999,14366.998968097914
08/1999,14857.000828636224
09/1999,14886.998935313099
10/1999,14447.002115440257
11/1999,15337.999159069468
12/1999,17985.000127041163
01/2000,17503.001859718686
02/2000,20463.999403316346
03/2000,19160.9996746107
04/2000,18979.998803354214
05/2000,19325.001618750295
06/2000,19952.998868104227
07/2000,19942.999499211935
08/2000,20729.999008259314
09/2000,19559.99908202515
10/2000,20439.00098108562
11/2000,19936.99987787656
12/2000,18806.001588424337
01/2001,19411.000289326003
02/2001,17243.0018761111
03/2001,16796.001399911645
04/2001,17771.001338440117
05/2001,16986.001703171194
06/2001,16345.001176155274
07/2001,15990.998928756135
08/2001,15175.001249921108
09/2001,12704.001468759758
10/2001,13401.998398461736
11/2001,13969.999434461923
12/2001,14158.999800832242
01/2002,14094.999741819573
02/2002,13941.001264674278
03/2002,14764.998438623135
04/2002,14283.000171300664
05/2002,13397.99865090482
06/2002,12635.001725300943
07/2002,11376.999156610607
08/2002,11493.999968854425
09/2002,9570.99838780667
10/2002,10594.999332009373
11/2002,11661.001723661702
12/2002,10625.001536788252
01/2003,10185.000618813403
02/2003,10522.999777882873
03/2003,9765.998375512365
04/2003,10814.001903158573
05/2003,11428.999972952526
06/2003,11476.906785391413
07/2003,11697.5281068326
08/2003,11750.590331593825
09/2003,11457.244091971244
10/2003,12088.802591967557
11/2003,12639.48095079245
12/2003,12514.09132374432
01/2004,12926.913629221763
02/2004,13012.400037046842
03/2004,12635.526282357589
04/2004,13061.151058498766
05/2004,13018.584072972442
06/2004,13538.321761659303
07/2004,13271.268944501044
08/2004,12970.238763619018
09/2004,13394.863602870966
10/2004,13822.320230608393
11/2004,14277.988192548502
12/2004,14898.989981779838
01/2005,15106.919481311425
02/2005,15355.694763527219
03/2005,15573.299881892699
04/2005,15003.925981720826
05/2005,15573.541669910994
06/2005,16077.981143813055
07/2005,16749.094524361986
08/2005,16663.395015232643
09/2005,17287.117944195328
10/2005,16296.426373089567
11/2005,16958.757521041705
12/2005,17761.751922214746
01/2006,18234.004902969238
02/2006,18729.748204416606
03/2006,18868.11652051469
04/2006,18929.85852532258
05/2006,18557.976258875464
06/2006,18762.250251418558
07/2006,18845.47860503886
