Date,FTSE MTS Eurozone Government Broad Investment Grade 10-15
08/2010,10000
09/2010,9878.229878229877
10/2010,9808.512748870604
11/2010,9264.814676440328
12/2010,9277.255807603815
01/2011,9311.56449974588
02/2011,9293.8459493708
03/2011,9261.206514469339
04/2011,9211.568286004687
05/2011,9335.663857166313
06/2011,9263.044967375436
07/2011,9127.152225691674
08/2011,9467.814852104395
09/2011,9524.479599139711
10/2011,9149.91601704185
11/2011,8668.74587696229
12/2011,9172.966083632487
01/2012,9484.141982606096
02/2012,9770.346976106513
03/2012,9838.536756437148
04/2012,9730.009359572898
05/2012,9943.222475536295
06/2012,9762.6636205763
07/2012,10100.73126390565
08/2012,10165.079366471182
09/2012,10418.630098968195
10/2012,10580.940984543935
11/2012,10882.512689104777
12/2012,10934.37533893371
01/2013,10960.30666384818
02/2013,10927.652402844775
03/2013,11016.971410883496
04/2013,11586.5001395605
05/2013,11369.445345831997
06/2013,11079.398674566473
07/2013,11157.192649309874
08/2013,11083.240352331579
09/2013,11160.073907633705
10/2013,11448.199740016675
11/2013,11490.458195432844
12/2013,11374.247443038379
01/2014,11788.188222228579
02/2014,12038.857696401763
03/2014,12211.733195831544
04/2014,12343.310659286435
05/2014,12568.048808545154
06/2014,12793.747377245145
07/2014,13038.654334770668
08/2014,13437.228402900444
09/2014,13403.613722455764
10/2014,13526.547410939165
11/2014,13872.298409798728
12/2014,14119.126206206807
01/2015,14666.56528773445
02/2015,14829.836592751466
03/2015,15104.516552956564
04/2015,14773.171845716148
05/2015,14373.637358145097
06/2015,13748.404301874052
07/2015,14267.991219604675
08/2015,14025.96552040298
09/2015,14364.03316373233
10/2015,14620.465154553174
11/2015,14733.794648623809
12/2015,14458.154268977434
01/2016,14912.432664701251
02/2016,15098.754036308905
03/2016,15296.600441211878
04/2016,14979.662025590611
05/2016,15267.78785797358
06/2016,15716.303737049735
07/2016,15989.062858372283
08/2016,15905.506366981223
09/2016,15975.61698619441
10/2016,15451.227971257405
11/2016,15022.880900448054
12/2016,15139.09165284252
01/2017,14636.792285054877
02/2017,14900.907631405931
03/2017,14800.063590071892
04/2017,14902.828470288483
05/2017,15045.930967038694
06/2017,14938.363989615718
07/2017,14990.226639444654
08/2017,15165.983397198264
09/2017,15065.139355864227
10/2017,15351.344349364641
11/2017,15439.702937962085
12/2017,15229.371080322519
01/2018,15160.220880550605
02/2018,15203.43975540805
03/2018,15603.934662420379
04/2018,15524.21984879442
05/2018,15123.724941782095
06/2018,15311.006732831023
07/2018,15253.381566354432
08/2018,15082.426905807202
09/2018,15093.951939102522
10/2018,15023.841319889332
11/2018,15162.141719433159
12/2018,15364.790221542513
01/2019,15642.351440071441
02/2019,15561.67620700421
03/2019,15993.864955578665
04/2019,16013.073344404196
05/2019,16240.692751986742
06/2019,16819.82567507651
07/2019,17264.499876387563
08/2019,17874.366221598186
09/2019,17883.00999656967
10/2019,17648.667652898188
11/2019,17389.354403753518
12/2019,17170.37877114246
01/2020,17803.295182943715
02/2020,17834.98902450584
03/2020,17198.230934939478
04/2020,17194.389257174375
05/2020,17327.887559511815
06/2020,17601.607100275636
07/2020,17858.03909109648
08/2020,17703.411561050954
09/2020,18049.162559910517
10/2020,18285.42574246455
11/2020,18326.723778439446
12/2020,18390.111461563698
01/2021,18248.929803696043
02/2021,17809.057699591376
03/2021,17877.24747992201
04/2021,17599.686261393083
05/2021,17581.43829200883
06/2021,17709.17407769861
07/2021,18153.848279009664
08/2021,18022.909092895556
09/2021,17713.41647117129
10/2021,17452.8423623418
11/2021,17888.19224961254
12/2021,17556.169093202276
01/2022,17277.379937736427
02/2022,16749.251718533287
03/2022,16243.631436148855
04/2022,15326.310009144121
05/2022,14921.913265831303
06/2022,14511.93684661143
07/2022,15317.643128835947
08/2022,14244.782829277114
09/2022,13442.872024267679
