Date,FTSE EPRA/NAREIT Developed
12/1989,10000
01/1990,9527.354024604498
02/1990,9062.253934667986
03/1990,8247.59912125164
04/1990,8158.250630727345
05/1990,8813.707235122038
06/1990,8764.708368747457
07/1990,8444.554202134917
08/1990,7540.979826030521
09/1990,6655.41562273069
10/1990,6991.92993628055
11/1990,6702.857778468438
12/1990,6795.476357630815
01/1991,7070.007006234907
02/1991,7748.047211210264
03/1991,8382.484092359708
04/1991,8483.55815362474
05/1991,8195.93659486576
06/1991,8203.470276566695
07/1991,8487.187447566317
08/1991,8293.555214815355
09/1991,8246.25517082164
10/1991,8350.789951203393
11/1991,7838.426187805521
12/1991,7662.375125948477
01/1992,7798.263786711865
02/1992,7750.718556440978
03/1992,7460.667209082662
04/1992,7525.584887095653
05/1992,8198.851793034373
06/1992,7422.610724775542
07/1992,6862.913954274185
08/1992,6513.741936202511
09/1992,6570.043261026005
10/1992,7171.41147637889
11/1992,7225.593884357948
12/1992,7229.611531880989
01/1993,7340.6246929673825
02/1993,8174.294868850296
03/1993,8553.507002193222
04/1993,8997.76988821589
05/1993,9523.041690583823
06/1993,9854.244017512707
07/1993,10413.60717541714
08/1993,10612.611061721487
09/1993,10458.806747093013
10/1993,11659.93563360222
11/1993,11316.535289384019
12/1993,13404.871942068556
01/1994,13690.705548420081
02/1994,13086.542339137639
03/1994,11979.868447377066
04/1994,11857.442087311518
05/1994,12137.537427365762
06/1994,11264.430205471563
07/1994,11615.677103154505
08/1994,11791.857128548876
09/1994,11424.038360763438
10/1994,11138.913405716186
11/1994,10614.304124817443
12/1994,10491.670374939355
01/1995,9994.402456551681
02/1995,10173.121733995871
03/1995,10001.466413938379
04/1995,10064.22506381718
05/1995,10669.780760782833
06/1995,10512.975117972515
07/1995,10843.346681942166
08/1995,11219.896970096692
09/1995,11326.380499898336
10/1995,11184.366534076878
11/1995,11685.48769184796
12/1995,12019.229344901061
01/1996,13438.005274819789
02/1996,13151.559758335588
03/1996,13109.136217541856
04/1996,13659.295038156604
05/1996,13710.348691460375
06/1996,13720.86470125853
07/1996,13097.41436903992
08/1996,13621.987279406309
09/1996,14448.79192471218
10/1996,14598.386998371723
11/1996,15671.53659267686
12/1996,16175.06579820971
01/1997,17079.084213328762
02/1997,17808.76457422
03/1997,16905.36771742474
04/1997,17450.233829282148
05/1997,18578.406816793322
06/1997,18850.296768451346
07/1997,20268.296880099988
08/1997,19912.091719593678
09/1997,20263.247339092315
10/1997,16905.510921766232
11/1997,16911.213965684423
12/1997,16969.902486324958
01/1998,16659.267084328403
02/1998,17683.105459015977
03/1998,17893.889434822388
04/1998,16927.58602008218
05/1998,16103.340756545407
06/1998,15755.360280817546
07/1998,14673.059145754158
08/1998,12887.360322410324
09/1998,13059.954554056856
10/1998,14177.959274059358
11/1998,14984.095827315674
12/1998,14613.529491737829
01/1999,14679.47041504879
02/1999,15044.746282620017
03/1999,15858.377813701185
04/1999,17735.814786360297
05/1999,17600.088404097427
06/1999,18130.27956170805
07/1999,17281.126502054143
08/1999,17329.736014842805
09/1999,16419.47851638117
10/1999,16414.58347606159
11/1999,17618.346670599523
12/1999,18518.600994880355
01/2000,18886.750782658575
02/2000,18250.451652474487
03/2000,19567.864927250277
04/2000,20626.758532137534
05/2000,19443.975486594525
06/2000,20314.53491936385
07/2000,21902.69014068479
08/2000,23471.030458941208
09/2000,23504.91949876184
10/2000,23290.288913231176
11/2000,23050.473030347475
12/2000,23247.325758923052
01/2001,23826.40241203296
02/2001,23993.25500699684
03/2001,23564.549393965353
04/2001,23928.9954615446
05/2001,25297.705261076208
06/2001,25822.337227261167
07/2001,24614.183698355173
08/2001,24129.551910319155
09/2001,21734.35605764133
10/2001,21922.505043749312
11/2001,23119.17704003848
12/2001,23923.439881246133
01/2002,24317.330524407244
02/2002,24458.627449998177
03/2002,25529.002587502262
04/2002,25436.22439651791
05/2002,25274.18663781271
06/2002,23807.513439018185
07/2002,22755.286530489084
08/2002,22417.322062332518
09/2002,21362.317363654183
10/2002,21028.982545746338
11/2002,21727.318989263273
12/2002,20697.129215918085
01/2003,19802.125229835514
02/2003,19821.94013290004
03/2003,19559.34637079263
04/2003,19922.86650832213
05/2003,20336.57205454776
06/2003,21269.90954468973
07/2003,22546.76708328673
08/2003,23775.84663131694
09/2003,23460.845228394028
10/2003,24206.774476467806
11/2003,24322.886104705703
