Date,FTSE North America
03/2005,10000
04/2005,9861.228035345857
05/2005,10666.836337509374
06/2005,10958.76389270929
07/2005,11346.689555918436
08/2005,11148.4449531423
09/2005,11503.084592230123
10/2005,11361.1845586443
11/2005,12002.097485818043
12/2005,12032.160429136007
01/2006,12052.46403461267
02/2006,12270.888684480939
03/2006,12257.011492298247
04/2006,11943.839914821418
05/2006,11383.972248252054
06/2006,11446.72587454093
07/2006,11520.742923101354
08/2006,11768.678977449728
09/2006,12165.48171733718
10/2006,12481.765073885936
11/2006,12267.221080125297
12/2006,12480.087224537889
01/2007,12867.69745908333
02/2007,12438.118047241134
03/2007,12490.711379830298
04/2007,12710.269769179276
05/2007,13382.46742632471
06/2007,13129.426816405588
07/2007,12578.540762166282
08/2007,12821.071830495908
09/2007,12796.092914235773
10/2007,12854.603938567592
11/2007,12099.788216703299
12/2007,12092.464832028149
01/2008,11225.892422100347
02/2008,10664.031647586737
03/2008,10121.232855446153
04/2008,10825.9957527804
05/2008,11061.839736543006
06/2008,10034.141716892362
07/2008,10006.944830554914
08/2008,10736.181775185505
09/2008,10224.042392813952
10/2008,9314.483697035612
11/2008,8634.59051276373
12/2008,7961.192745743469
01/2009,7945.332314497084
02/2009,7200.023617335983
03/2009,7492.142332131534
04/2009,8260.89824004998
05/2009,8243.050697911169
06/2009,8298.189476723834
07/2009,8862.514237610529
08/2009,9035.03741996722
09/2009,9224.303438111372
10/2009,8936.45899817261
11/2009,9311.465547571395
12/2009,9948.803758279455
01/2010,9890.209106667606
02/2010,10402.798473992701
03/2010,11143.131314475051
04/2010,11511.79590026661
05/2010,11473.824078279687
06/2010,10886.802638105157
07/2010,10944.949006059158
08/2010,10736.000964880079
09/2010,10886.456377568964
10/2010,11100.788758944534
11/2010,11858.325171040846
12/2010,12283.163211426923
01/2011,12276.882601222524
02/2011,12636.512228729505
03/2011,12302.87925168623
04/2011,12103.090097724793
05/2011,12330.367217862522
06/2011,12009.328944663917
07/2011,11865.671622207065
08/2011,11217.284345657867
09/2011,11111.375172286012
10/2011,11850.597198262698
11/2011,12219.663240184222
12/2011,12753.248638472976
01/2012,13263.464744850802
02/2012,13535.955213941548
03/2012,13966.073651005201
04/2012,13985.906782739194
05/2012,14014.907794785819
06/2012,14191.791718289373
07/2012,14830.54633556183
08/2012,14839.3789923467
09/2012,14922.721189589927
10/2012,14570.274696310376
11/2012,14595.978943636288
12/2012,14542.940369363085
01/2013,14836.399084484285
02/2013,15574.922342821674
03/2013,16418.696397302512
04/2013,16267.629904771133
05/2013,16883.691376311534
06/2013,16560.861764121255
07/2013,17071.373874847253
08/2013,16736.27738998992
09/2013,16844.767513969262
10/2013,17507.73170743565
11/2013,17938.116484482172
12/2013,18190.094039070667
01/2014,17946.511743170653
02/2014,18333.527316215008
03/2014,18524.454563643394
04/2014,18555.588399672793
05/2014,19285.54625237275
06/2014,19678.347985464567
07/2014,19867.13366657166
08/2014,20970.21141863722
09/2014,21421.200515881814
10/2014,22069.52208368637
11/2014,22733.222011508282
12/2014,23320.46622707523
01/2015,24203.581696855246
02/2015,25847.568826500283
03/2015,26490.150110276212
04/2015,25703.95213031436
05/2015,26941.753668851434
06/2015,25588.840904234414
07/2015,26241.414357571277
08/2015,24313.469154390772
09/2015,23155.74147323494
10/2015,25894.238395812856
11/2015,27136.91103627537
12/2015,25868.534618344966
01/2016,23779.79445825012
02/2016,24540.191841439697
03/2016,25048.253589192565
04/2016,25114.05406290548
05/2016,26242.069895168956
06/2016,26360.652020815265
07/2016,27160.057196521095
08/2016,27320.30427539365
09/2016,27111.470641850294
10/2016,27290.743125548714
11/2016,29222.252620801893
12/2016,30254.145015238588
01/2017,29869.136588155554
02/2017,31637.62351843108
03/2017,31338.18228233225
04/2017,31056.57715474654
05/2017,30463.764243328893
06/2017,30265.100020096415
07/2017,30040.80596586288
08/2017,29764.780306104094
09/2017,30570.335618585876
10/2017,31702.584900816237
11/2017,31869.42844186359
12/2017,32052.2373091853
01/2018,32689.480239886067
02/2018,32009.927609578812
03/2018,30980.4965431243
04/2018,31690.99089028737
05/2018,33589.74455057882
06/2018,33778.169471343506
07/2018,34913.57517226149
08/2018,36165.681317370494
09/2018,36206.62712030534
10/2018,34741.55023182219
11/2018,35436.84787961083
12/2018,31947.324769853843
01/2019,34480.93194348616
02/2019,35884.918311914036
03/2019,37034.2419467329
04/2019,38601.51980403008
05/2019,36401.68285129395
06/2019,38097.90463806436
07/2019,39525.64165367169
08/2019,39280.57548282262
09/2019,40436.32257089198
10/2019,40330.56441621996
11/2019,42305.6801181935
12/2019,42795.35915613911
01/2020,43436.224190069996
02/2020,40271.079355722155
03/2020,35050.518770380666
04/2020,39684.85325421758
05/2020,41058.52957993759
06/2020,41595.90944983457
07/2020,41810.97521379281
08/2020,44451.322683158876
09/2020,43575.1166934795
10/2020,42666.24668356517
11/2020,46400.28042936777
12/2020,47174.82095989864
01/2021,47065.788727758874
02/2021,48407.96928649648
03/2021,51980.53853639035
04/2021,53463.03041025355
05/2021,53016.274146636315
06/2021,56065.53510596996
07/2021,57292.451047672344
08/2021,59152.71093143604
09/2021,57926.53936773889
10/2021,61619.97310004345
11/2021,62539.75572580123
12/2021,64439.669494105
01/2022,61869.47757709574
02/2022,59340.45116850915
03/2022,63487.8619021967
04/2022,62629.77883304395
05/2022,59265.74437643863
06/2022,55685.2824334606
07/2022,61617.28856281053
08/2022,60634.05570869214
09/2022,57494.045654986694
10/2022,60430.840398434295
11/2022,61198.058645383986
12/2022,55623.12706864181
