Date,FTSE Qualified Global Convertible (EUR Hedged)
06/2018,10000
07/2018,10051.492612661124
08/2018,10109.043179752969
09/2018,10065.29128664221
10/2018,9647.965536970349
11/2018,9632.820650893547
12/2018,9315.114596304647
01/2019,9729.747921785078
02/2019,9879.850570457374
03/2019,9854.609093662706
04/2019,10052.83882475684
05/2019,9739.171406455087
06/2019,9994.951704641066
07/2019,10144.381247265506
08/2019,9925.958334735637
09/2019,9879.177464409517
10/2019,10009.086931646081
11/2019,10230.20226836738
12/2019,10471.174233500487
01/2020,10618.921011005283
02/2020,10367.51590213038
03/2020,9290.882778581765
04/2020,10023.895264698953
05/2020,10532.42688385555
06/2020,11115.67327432437
07/2020,11620.50281021775
08/2020,12334.33177397099
09/2020,12131.05374751792
10/2020,12020.327802645306
11/2020,13134.991417897889
12/2020,13822.905798808602
01/2021,14110.65863426783
02/2021,14419.277757210648
03/2021,14009.692727089152
04/2021,14358.361659879512
05/2021,14051.42530205634
06/2021,14449.56752936425
07/2021,14133.207686871066
08/2021,14406.825295325278
09/2021,14133.544239894994
10/2021,14278.26204018443
11/2021,13743.142732137449
12/2021,13593.713189513008
01/2022,12787.668697203244
02/2022,12673.577222091339
03/2022,12664.826843469189
04/2022,12087.301854407162
05/2022,11497.324403459765
06/2022,10937.63672466597
07/2022,11217.648840574835
08/2022,11349.914178978896
09/2022,10736.378016356477
10/2022,10832.632181200148
11/2022,11039.612290916433
12/2022,10837.007370511225
01/2023,11433.715881937198
02/2023,11351.596944098543
03/2023,11316.258876586005
04/2023,11281.930468145256
05/2023,11303.469861676707
06/2023,11715.747315989634
07/2023,11938.881970854505
08/2023,11696.227240601756
09/2023,11542.759061690167
10/2023,11198.801871234813
11/2023,11678.726483357452
12/2023,12164.372496886885
01/2024,12142.496550331505
02/2024,12304.378554841314
03/2024,12497.559990576516
04/2024,12254.232154275905
05/2024,12330.9662437317
06/2024,12536.60014135227
07/2024,12568.572678625516
08/2024,12678.288964426345
09/2024,12944.502406354122
