Date,FTSE UK Dividend+
11/2005,10000
12/2005,10440.985757332639
01/2006,10666.79239315944
02/2006,11111.050513850569
03/2006,11049.200337450973
04/2006,10953.62271703815
05/2006,10712.011122957767
06/2006,10816.086854117208
07/2006,11108.608570870656
08/2006,11504.014002981876
09/2006,11974.946410697334
10/2006,12620.694261458539
11/2006,12671.961328047286
12/2006,13345.047026493688
01/2007,13615.475147686337
02/2007,13205.711082955995
03/2007,13737.276653868994
04/2007,13978.720750241859
05/2007,14283.186001320792
06/2007,13796.078069060008
07/2007,13329.38582777191
08/2007,13264.825276630252
09/2007,12312.221460288993
10/2007,12791.646188075301
11/2007,11521.87852083658
12/2007,10869.190383954521
01/2008,10070.45140804109
02/2008,9707.962075084795
03/2008,9265.371108729569
04/2008,9346.8432348584
05/2008,8771.52011980703
06/2008,7503.895488783094
07/2008,7263.290561858179
08/2008,7843.304709042052
09/2008,6990.274738789671
10/2008,5639.735293573798
11/2008,5181.055255992704
12/2008,4579.014916568251
01/2009,4611.771034395614
02/2009,4472.116518340413
03/2009,4150.586670632716
04/2009,5268.568325341297
05/2009,5366.257439347423
06/2009,5441.019221636985
07/2009,5795.054248961772
08/2009,6216.2770483790155
09/2009,6158.615940023747
10/2009,6068.348655824031
11/2009,6088.838013049504
12/2009,6565.1439788740345
01/2010,6579.065261069657
02/2010,6411.017577257562
03/2010,6824.5896507663665
04/2010,6935.708194234019
05/2010,6738.104154410775
06/2010,6975.861784647414
07/2010,7135.22343668772
08/2010,7204.486664724312
09/2010,7234.592253745951
10/2010,7411.661324177401
11/2010,7402.181422409933
12/2010,7698.679728415381
01/2011,7765.982303926383
02/2011,8033.357580960875
03/2011,7454.096712956517
04/2011,7804.402588527223
05/2011,8049.260203684612
06/2011,7611.607901327199
07/2011,7618.105292452365
08/2011,7152.151732611829
09/2011,7023.418249284332
10/2011,7361.813922907704
11/2011,7400.310913873538
12/2011,7474.30545859938
01/2012,7830.070504174531
02/2012,8092.57892077051
