Date,FTSE World Government Bond G7
01/1985,10000
02/1985,10268.422952287596
03/1985,9858.13098969068
04/1985,10062.512696812926
05/1985,10295.197202460666
06/1985,10344.031856919984
07/1985,9887.429810045816
08/1985,10037.128932560447
09/1985,10014.486693740051
10/1985,9924.972929901758
11/1985,9906.955782547724
12/1985,9954.399951086452
01/1986,9932.526917243405
02/1986,9925.357532390432
03/1986,10768.75134364331
04/1986,10451.395120873658
05/1986,10657.23634513241
06/1986,10610.936122457431
07/1986,10524.834473005836
08/1986,10531.708009790598
09/1986,10326.044294372772
10/1986,10444.2947672366
11/1986,10203.168730042582
12/1986,10119.946668454904
01/1987,9993.737882556206
02/1987,10109.177798772032
03/1987,10176.502957494522
04/1987,10194.766644905398
05/1987,10291.489240005758
06/1987,10215.801442555181
07/1987,10186.423729381855
08/1987,10093.971208066001
09/1987,9957.969851109528
10/1987,10036.635852446761
11/1987,9829.88736077883
12/1987,9835.449304461192
01/1988,10464.126449408994
02/1988,10594.644755501295
03/1988,10525.712155608195
04/1988,10579.566365624822
05/1988,10798.62213693032
06/1988,11131.332874440108
07/1988,11389.844916442644
08/1988,11283.487535920885
09/1988,11544.780549764602
10/1988,11551.880903401661
11/1988,11347.094870586192
12/1988,11490.916478145702
01/1989,11958.879090839162
02/1989,11695.21929244976
03/1989,11948.820256519997
04/1989,12033.265156789614
05/1989,12430.194648305678
06/1989,12562.823337284548
07/1989,12499.758390744293
08/1989,12732.600682028413
09/1989,12434.20832043107
10/1989,12379.397534993896
11/1989,12174.67067179207
12/1989,11768.66850618421
01/1990,11452.426644471487
02/1990,11380.367916657626
03/1990,11213.243342925385
04/1990,11087.369851503992
05/1990,11536.644727888808
06/1990,11465.868008370528
07/1990,11263.044434407524
08/1990,11049.34351313664
09/1990,11190.295394434506
10/1990,11230.313776461144
11/1990,11406.550470694276
12/1990,11464.724062506779
01/1991,11585.607583177683
02/1991,11974.085681545193
03/1991,12901.677853010846
04/1991,13146.96548636436
05/1991,13386.898269683265
06/1991,13754.76561929876
07/1991,13561.359875507133
08/1991,13854.939775194915
09/1991,13749.49952368461
10/1991,13970.803740308509
11/1991,13852.681468274239
12/1991,13688.732330474126
01/1992,14133.86533390399
02/1992,14316.058435910432
03/1992,14221.712486958031
04/1992,14292.91325537408
05/1992,14351.82646735711
06/1992,14033.651731598742
07/1992,13964.521899660169
08/1992,13752.477727571264
09/1992,14306.236280045836
10/1992,15165.122668470683
11/1992,15498.178562060048
12/1992,15927.020198533775
01/1993,16131.39204405375
02/1993,16989.982584410383
03/1993,16805.40297465371
04/1993,16766.597569706733
05/1993,16981.097280761787
06/1993,18262.41526418246
07/1993,19355.258304948355
08/1993,19067.358688170218
09/1993,18815.453919691055
10/1993,19183.69601019295
11/1993,19416.17342219294
12/1993,19630.71257965709
01/1994,19758.124481033177
02/1994,19307.271748284573
03/1994,18887.07873700487
04/1994,18740.20003274052
05/1994,18480.05096476055
06/1994,18252.79034036334
07/1994,18338.773650587653
08/1994,18214.034243427734
09/1994,17997.63124313386
10/1994,17773.743286714252
11/1994,18263.440870818926
12/1994,18134.244019431302
01/1995,18220.148436837422
02/1995,18315.539715630835
03/1995,18480.405982442404
04/1995,18919.10922118982
05/1995,19788.300983990674
06/1995,19544.157296500904
07/1995,19299.609283317914
08/1995,19622.202016894895
09/1995,19625.04215834972
10/1995,19729.00316951897
11/1995,20354.268200080074
12/1995,20442.618294850072
01/1996,20977.521463777346
02/1996,20449.10722914616
03/1996,20407.07708025569
04/1996,20859.14279008396
05/1996,20728.1609886848
06/1996,20691.722368283507
07/1996,20524.272361676234
08/1996,20598.254101933464
09/1996,21128.32508574663
10/1996,21215.412895425598
11/1996,21722.831778816093
12/1996,21596.376452860553
01/1997,22365.620876617548
02/1997,22866.491656098315
03/1997,22356.567925730298
04/1997,22948.283785356307
05/1997,23320.22397671084
06/1997,23947.530358942597
07/1997,25069.10024713175
08/1997,24576.306119913137
09/1997,24649.992012102157
10/1997,24408.23483236262
11/1997,24488.291319620446
12/1997,24953.039049972682
01/1998,25711.268063989963
02/1998,25678.941731736806
03/1998,25750.438348221065
04/1998,25485.427510320165
05/1998,25412.77708636989
06/1998,25657.512469996072
07/1998,25364.070632740128
08/1998,25882.475341063517
09/1998,25805.643597749186
10/1998,26419.1733216046
11/1998,26633.653309455105
12/1998,26845.42135668035
01/1999,27509.225528927036
02/1999,27619.68533599465
03/1999,28204.547382040444
04/1999,28804.044045860395
05/1999,28762.664762719985
06/1999,28619.326373671887
07/1999,28250.58134145403
08/1999,28856.103444263208
09/1999,29116.134173015893
10/1999,29557.44087476357
11/1999,30652.85779372289
12/1999,30739.669478538188
01/2000,30858.186214663412
02/2000,31139.113678634043
03/2000,32395.33388426818
04/2000,32976.014610949926
05/2000,32609.8829033346
06/2000,32243.41590124197
07/2000,32867.45809312114
08/2000,34165.540800407085
09/2000,34355.37664417564
10/2000,35440.38957273621
11/2000,35084.19836021277
12/2000,33391.17820507004
01/2001,33670.15307179049
02/2001,34090.04037339971
03/2001,34458.74595920846
04/2001,34271.612194462905
05/2001,35966.594808458096
06/2001,35590.82831542137
07/2001,35178.702094801556
08/2001,35098.941455611945
09/2001,35264.221909719
10/2001,35891.47898393939
11/2001,35575.96688079492
12/2001,34786.54561878596
01/2002,35380.71701737811
02/2002,35380.884664616766
03/2002,34966.7170923263
04/2002,35024.30884960464
05/2002,34666.75673596743
06/2002,34237.865791482334
07/2002,34850.39949350811
08/2002,35469.00794253447
09/2002,35469.471437841334
10/2002,35238.17741811418
11/2002,35063.19314736981
12/2002,34750.6198017029
01/2003,34309.85548808028
02/2003,34632.596145691365
03/2003,34279.7480163387
04/2003,33843.0269596483
05/2003,33293.97239145827
06/2003,33607.37411171618
07/2003,33301.92084289087
08/2003,34076.87513436433
09/2003,33820.039564748324
10/2003,33784.29125650619
11/2003,33241.666452998616
12/2003,32685.86654885339
01/2004,33365.07454385158
02/2004,33332.01845303017
03/2004,34283.574318020896
04/2004,33587.77910799835
05/2004,33165.80114670711
06/2004,33383.95951220571
07/2004,33542.89895605078
08/2004,34018.77057376774
09/2004,33669.03871073356
10/2004,33807.79145472439
11/2004,33380.458643398546
12/2004,33123.21874808931
01/2005,34171.85222586225
02/2005,33505.73057708124
03/2005,33795.286943041356
04/2005,34584.25457134573
05/2005,35506.84691045862
06/2005,35904.79214700888
07/2005,35372.393825059116
08/2005,35535.85974434782
09/2005,35551.80595522438
10/2005,35135.82384811554
11/2005,35287.298059039436
12/2005,35667.52199630386
01/2006,35019.338602058706
02/2006,35566.085555316684
03/2006,34553.85125153595
04/2006,33903.6758136315
05/2006,33838.50048420467
06/2006,33626.002678411176
07/2006,33946.76115396525
08/2006,34131.735227812875
09/2006,34415.44366362469
10/2006,34462.917416970246
11/2006,33980.24129368443
12/2006,33502.79181960368
01/2007,33574.57442255388
02/2007,33780.12966034669
03/2007,33580.80695519085
04/2007,33017.670018954
05/2007,32836.58141640221
06/2007,32487.677927959023
07/2007,33029.582834500616
08/2007,33800.04023533728
09/2007,33054.01002333255
10/2007,32952.55385914082
11/2007,33450.22947948491
12/2007,33415.29968423149
01/2008,34225.5486502425
02/2008,34143.92416822315
03/2008,33742.438616456646
04/2008,33140.03277996596
05/2008,32704.24857549155
06/2008,32416.388405122503
07/2008,32736.82144780155
08/2008,34183.74531820432
09/2008,35612.51397882122
10/2008,39199.46471222858
11/2008,40655.55987274588
12/2008,39569.107150253345
01/2009,41444.24151458432
02/2009,40423.960143348246
03/2009,39419.9011078524
04/2009,39419.00370204549
05/2009,37986.64541820097
06/2009,38366.97783309041
07/2009,38498.206174546416
08/2009,38810.31602490646
09/2009,38976.25720636586
10/2009,38576.951068701834
11/2009,39187.8378831479
12/2009,38942.777066646675
01/2010,40484.115917217765
02/2010,41367.13364640633
03/2010,40858.50178593617
04/2010,41655.89122258228
05/2010,45071.90094217748
06/2010,46183.49088886566
07/2010,44747.91772267991
08/2010,46906.71121481134
09/2010,44489.71139034785
10/2010,44316.36414558091
11/2010,45344.34742819274
12/2010,44647.63508915874
01/2011,43578.016121747394
02/2011,43386.88840808099
03/2011,42255.03286872037
04/2011,41623.00277899952
05/2011,43011.57554874886
06/2011,42730.8058704146
07/2011,44235.72582378895
08/2011,45012.19880201255
09/2011,47716.42765429956
10/2011,45961.23995842348
11/2011,47166.357341075345
12/2011,49338.68095152628
01/2012,49559.87669052517
02/2012,47793.24953601161
03/2012,47517.164118757355
04/2012,48646.8698288223
05/2012,52177.757353303736
06/2012,50662.05866864425
07/2012,52805.84280211511
08/2012,51885.13402903649
09/2012,51330.961289266445
10/2012,50515.209549186715
11/2012,50122.77694830745
