Date,Fidelity Global Quality Income
01/2014,10000
02/2014,10262.778551876096
03/2014,10385.656163654337
04/2014,10507.756681586798
05/2014,10890.412462393273
06/2014,11041.902796544351
07/2014,11029.846846509581
08/2014,11435.419198908305
09/2014,11637.11085179105
10/2014,11908.421496061655
11/2014,12167.05296015831
12/2014,12354.02048959186
01/2015,13089.214452801469
02/2015,13807.015208391338
03/2015,14201.873357563552
04/2015,13925.548435095874
05/2015,14269.979857843962
06/2015,13610.3825660135
07/2015,14126.076896386681
08/2015,12920.66516732175
09/2015,12596.888438495986
10/2015,13788.71457003239
11/2015,14293.9367449354
12/2015,13619.241418660524
01/2016,13017.890091062562
02/2016,13076.53210446345
03/2016,13396.411160496275
04/2016,13583.420065446118
05/2016,13903.089983571466
06/2016,13945.613186936644
07/2016,14483.142977058831
08/2016,14456.68975564089
09/2016,14528.918951736512
10/2016,14555.13661739897
11/2016,15252.045912645255
12/2016,15746.876667870705
01/2017,15819.321150350164
02/2017,16533.207921145313
03/2017,16580.978540477237
04/2017,16402.029842573294
05/2017,16342.118735822643
06/2017,16155.690314062183
07/2017,16069.767926593076
08/2017,15961.884178536453
09/2017,16404.383719939127
10/2017,17016.7595783285
11/2017,17115.19053361307
12/2017,17093.12204439835
01/2018,17256.562116800007
02/2018,16881.796333929557
03/2018,16459.53190753845
04/2018,16857.193332548162
05/2018,17525.152491226607
06/2018,17530.506303826187
07/2018,18048.69585672536
08/2018,18427.15892793166
09/2018,18609.060692734765
10/2018,17869.580546152964
11/2018,18085.395494702785
12/2018,16607.6856892755
01/2019,17736.17000989486
02/2019,18439.669022846887
03/2019,19001.253527452172
04/2019,19667.393789393096
05/2019,18699.633620840872
06/2019,19511.20775574891
07/2019,20050.340579432912
08/2019,19931.41158503327
09/2019,20794.171694340042
10/2019,20821.763060264133
11/2019,21668.00384950567
12/2019,21799.49131537237
01/2020,21960.298060381396
02/2020,20170.39027712115
03/2020,17354.755713576487
04/2020,19332.14357203334
05/2020,19708.240918982254
06/2020,20012.71490411572
07/2020,19583.39157791959
08/2020,20523.439345977935
09/2020,20360.656324649855
10/2020,19765.218546439864
11/2020,21567.985715770337
12/2020,21975.705606319418
01/2021,21980.8506166737
02/2021,22638.514199412537
03/2021,24574.94943492539
04/2021,24674.566504480943
05/2021,24922.633692616124
06/2021,25656.445583530567
07/2021,25994.316305720226
08/2021,26567.960103340836
09/2021,25991.43721508083
10/2021,27176.477208999626
11/2021,27353.33069000236
12/2021,29069.843845947413
01/2022,28358.18757667339
02/2022,27753.0357941215
03/2022,28732.49800093641
04/2022,28257.903046998348
05/2022,28151.934143005215
06/2022,26709.45846346064
07/2022,29018.223301978895
08/2022,28287.305254140487
09/2022,26483.642502660416
10/2022,28068.447471786774
11/2022,29122.06985368422
12/2022,27481.722158605782
01/2023,28508.990892993952
02/2023,28254.846799232582
03/2023,28167.31667290284
04/2023,28460.407002781547
05/2023,28398.080437901703
06/2023,29523.50228099259
07/2023,30128.013059035013
08/2023,29847.448495176108
09/2023,29317.002652385476
10/2023,28365.700005738447
11/2023,29924.345804253364
12/2023,31283.851503084203
01/2024,32256.6545635716
02/2024,33163.754938588834
03/2024,34091.55469705037
04/2024,33073.916709445155
05/2024,34077.45018748698
06/2024,34955.504974671174
07/2024,35576.06007818214
08/2024,35548.24526046192
09/2024,35595.14427421558
