Date,Foxberry Medical Cannabis & Life Sciences
03/2014,10000
04/2014,9621.575784958073
05/2014,9686.154632258678
06/2014,10729.704492923469
07/2014,9829.216097247394
08/2014,10041.458677037703
09/2014,9695.137055709996
10/2014,9563.98352615397
11/2014,9521.561709032445
12/2014,9106.54649572105
01/2015,10249.890538138452
02/2015,11026.660820821427
03/2015,11958.662638070167
04/2015,12225.763496232703
05/2015,11519.76893286922
06/2015,11735.907281047039
07/2015,12825.551713588957
08/2015,11221.312756181842
09/2015,9310.26265536773
10/2015,9329.177524590483
11/2015,10672.575034813077
12/2015,9331.225506043946
01/2016,7568.087283619732
02/2016,6958.978209851459
03/2016,8176.47445215028
04/2016,8782.121773533641
05/2016,9415.432199974743
06/2016,8606.283668251825
07/2016,9275.08077967104
08/2016,8702.68320402134
09/2016,11422.413373238349
10/2016,11228.100073074183
11/2016,12222.074134969587
12/2016,12737.890785330974
01/2017,13648.491280437283
02/2017,15162.654707535474
03/2017,14909.601342515793
04/2017,13830.510461361338
05/2017,12018.44350773689
06/2017,11958.630005151701
07/2017,11849.176033567865
08/2017,11173.981658917737
09/2017,11670.133125645149
10/2017,12240.073141348517
11/2017,13790.638317104129
12/2017,13784.093083791653
01/2018,14046.5130789867
02/2018,13224.457226500632
03/2018,12246.234596740336
04/2018,12700.361065716064
05/2018,14353.708904954627
06/2018,14147.246282298693
07/2018,13145.716770719833
08/2018,14059.059793500222
09/2018,16201.454262023426
10/2018,13598.418613370031
11/2018,13535.81207748675
12/2018,11194.481380741348
01/2019,14000.023016513187
02/2019,14938.284215505873
03/2019,14270.852146004969
04/2019,15681.216734931966
05/2019,15464.335713277867
06/2019,15608.71956674655
07/2019,15288.69594161047
08/2019,14246.318519561188
09/2019,12796.33745435995
10/2019,12865.308990945494
11/2019,12577.237275246245
12/2019,11319.701768113224
01/2020,11882.543214573336
02/2020,10988.812818646042
03/2020,9641.674029784452
04/2020,11148.533400322453
05/2020,12861.96431830042
06/2020,12811.328216245627
07/2020,12541.73449839771
08/2020,12853.573409709397
09/2020,11369.83371912781
10/2020,11560.111536618364
11/2020,15215.927142520364
12/2020,15871.161271372046
01/2021,18357.72059878796
02/2021,20859.115391960637
03/2021,23464.38788985428
04/2021,20874.53126256626
05/2021,21074.869850713574
06/2021,21584.250765476856
07/2021,19222.55211417677
08/2021,17793.164116108885
09/2021,16136.451968786494
10/2021,15691.029842987182
11/2021,13616.665353796438
12/2021,13837.465179987605
01/2022,13128.065317815035
02/2022,12847.90496293251
03/2022,12985.542700323733
04/2022,11031.484323373765
05/2022,9623.78183367335
06/2022,8649.051460587421
07/2022,9236.129737501436
08/2022,9442.046977996471
09/2022,8217.983919876038
10/2022,8700.162030356432
11/2022,8475.63065019316
12/2022,7725.510348806791
01/2023,8395.771068610673
02/2023,8225.020694456463
03/2023,7682.97811172401
04/2023,7422.294926903857
05/2023,6851.66580016843
06/2023,6862.328088065582
07/2023,7063.043113582286
08/2023,6307.468557711656
09/2023,5826.563531835208
10/2023,4949.719327486186
11/2023,5129.316114881405
12/2023,5445.944636826471
01/2024,5374.617626901144
02/2024,5504.234288268118
03/2024,5817.362749118189
04/2024,5634.9417721616355
