Date,GPR Global 100
03/2007,10000
04/2007,9772.215269086357
05/2007,9965.581977471838
06/2007,9114.518147684605
07/2007,8498.74843554443
08/2007,8824.15519399249
09/2007,8969.33667083855
10/2007,9046.307884856069
11/2007,8243.42928660826
12/2007,7821.652065081351
01/2008,7538.798498122653
02/2008,7135.168961201502
03/2008,6896.120150187734
04/2008,7530.663329161452
05/2008,7314.142678347935
06/2008,6353.566958698372
07/2008,6489.9874843554435
08/2008,6725.281602002503
09/2008,6418.648310387984
10/2008,5227.158948685857
11/2008,4409.887359198999
12/2008,4429.286608260325
01/2009,4137.046307884856
02/2009,3425.531914893617
03/2009,3484.3554443053813
04/2009,4222.778473091364
05/2009,4384.230287859825
06/2009,4445.556946182729
07/2009,4778.473091364205
08/2009,5225.907384230288
09/2009,5391.739674593241
10/2009,5243.429286608261
11/2009,5290.988735919899
12/2009,5715.894868585732
01/2010,5629.536921151438
02/2010,5858.57321652065
03/2010,6281.6020025031285
04/2010,6637.67209011264
05/2010,6547.559449311639
06/2010,6386.733416770963
07/2010,6591.989987484355
08/2010,6813.51689612015
09/2010,6810.387984981226
10/2010,6974.342928660825
11/2010,7115.14392991239
12/2010,7389.236545682102
01/2011,7355.444305381727
02/2011,7617.021276595744
03/2011,7222.778473091364
04/2011,7312.26533166458
05/2011,7592.61576971214
06/2011,7365.456821026282
07/2011,7505.006257822277
08/2011,7096.996245306633
09/2011,6729.662077596996
10/2011,7261.576971214017
11/2011,7135.168961201502
12/2011,7421.777221526908
01/2012,7908.010012515644
02/2012,7968.710888610763
03/2012,8200.876095118898
04/2012,8449.311639549436
05/2012,8461.827284105131
06/2012,8849.812265331662
07/2012,9479.349186483103
08/2012,9234.668335419274
09/2012,9115.14392991239
10/2012,9160.20025031289
11/2012,9146.433041301627
12/2012,9375.469336670838
01/2013,9314.142678347935
02/2013,9794.743429286607
03/2013,10273.466833541925
04/2013,10874.843554443052
05/2013,10086.357947434291
06/2013,9866.082603254066
07/2013,9719.64956195244
08/2013,9343.554443053816
09/2013,9647.05882352941
10/2013,9851.689612015018
11/2013,9466.207759699624
12/2013,9379.224030037547
01/2014,9552.565707133917
02/2014,9744.68085106383
03/2014,9764.70588235294
04/2014,9997.49687108886
05/2014,10496.245306633291
06/2014,10601.376720901126
07/2014,10881.727158948685
08/2014,11222.15269086358
09/2014,10937.421777221527
10/2014,11801.62703379224
11/2014,11972.46558197747
12/2014,12337.922403003753
01/2015,13950.563204005006
02/2015,14011.88986232791
03/2015,14620.150187734667
04/2015,13707.133917396744
05/2015,13812.891113892365
06/2015,13014.392991239049
07/2015,13802.252816020024
08/2015,12797.87234042553
09/2015,13065.08135168961
10/2015,14026.282853566958
11/2015,14264.70588235294
12/2015,14102.00250312891
01/2016,13590.112640801
02/2016,13466.833541927408
03/2016,14108.260325406758
04/2016,13938.673341677095
05/2016,14359.82478097622
06/2016,14931.163954943679
07/2016,15482.478097622026
08/2016,15026.908635794742
09/2016,14784.105131414266
10/2016,14252.190237797246
11/2016,14316.020025031288
12/2016,14856.07008760951
01/2017,14510.63829787234
02/2017,15264.080100125155
03/2017,14918.0225281602
04/2017,14781.602002503128
05/2017,14459.324155193992
06/2017,14352.941176470587
07/2017,14107.008760951188
08/2017,13979.349186483103
09/2017,14011.88986232791
10/2017,14153.942428035043
11/2017,14208.385481852314
12/2017,14346.68335419274
01/2018,13776.59574468085
02/2018,13172.715894868585
03/2018,13436.795994993741
04/2018,13912.390488110137
05/2018,14504.380475594493
06/2018,14792.240300375468
07/2018,14942.428035043804
08/2018,15157.69712140175
09/2018,14833.54192740926
10/2018,14757.822277847308
11/2018,15391.73967459324
12/2018,14436.170212765956
01/2019,15864.831038798497
02/2019,15881.727158948685
03/2019,16738.423028785983
04/2019,16501.251564455568
05/2019,16717.772215269084
06/2019,16581.9774718398
07/2019,17025.031289111386
08/2019,17666.458072590736
09/2019,18234.042553191488
10/2019,18201.501877346684
11/2019,18092.615769712138
12/2019,17750.312891113892
01/2020,18265.331664580724
02/2020,16813.51689612015
03/2020,13001.877346683354
04/2020,14081.977471839798
05/2020,13932.415519399248
06/2020,14137.67209011264
07/2020,13889.2365456821
08/2020,14139.549436795995
09/2020,13969.336670838547
10/2020,13612.015018773465
11/2020,14946.182728410513
12/2020,15137.67209011264
01/2021,15100.125156445556
02/2021,15553.191489361701
03/2021,16638.92365456821
04/2021,17305.381727158947
05/2021,17392.99123904881
06/2021,18192.740926157698
07/2021,18979.97496871089
08/2021,19354.818523153943
09/2021,18685.231539424276
10/2021,19858.573216520646
11/2021,20098.873591989985
12/2021,21197.12140175219
01/2022,20380.475594493117
02/2022,19782.227784730912
03/2022,20925.531914893614
04/2022,20877.972465581977
05/2022,19421.151439299123
06/2022,18192.740926157698
07/2022,20162.077596996245
08/2022,19096.996245306633
09/2022,17177.72215269086
10/2022,17500.625782227788
11/2022,17875.469336670838
12/2022,16738.423028785983
01/2023,17970.588235294115
02/2023,17617.021276595744
03/2023,16613.266583229037
04/2023,16792.866082603254
05/2023,16528.785982478097
06/2023,16729.03629536921
07/2023,17182.72841051314
08/2023,16964.330413016265
09/2023,16357.947434292864
10/2023,15621.401752190237
11/2023,16814.142678347933
12/2023,18326.65832290363
01/2024,17903.003754693364
02/2024,17882.35294117647
03/2024,18689.612015018774
04/2024,17755.31914893617
05/2024,18098.87359198999
06/2024,18515.644555694616
07/2024,19479.3491864831
08/2024,20362.327909887357
09/2024,20671.464330413015
