Date,Gold spot price (EUR Hedged)
01/1968,10000
02/1968,10000
03/1968,10000
04/1968,11107.954545454544
05/1968,11917.613636363636
06/1968,11619.31818181818
07/1968,11036.931818181818
08/1968,11306.81818181818
09/1968,11250
10/1968,11079.545454545454
11/1968,11321.022727272726
12/1968,11903.40909090909
01/1969,12085.227272727272
02/1969,12130.681818181818
03/1969,12187.499999999998
04/1969,12386.363636363636
05/1969,12238.636363636362
06/1969,11704.545454545454
07/1969,11758.522727272726
08/1969,11607.954545454544
09/1969,11556.81818181818
10/1969,11292.613636363636
11/1969,10113.636363636362
12/1969,10000
01/1970,9940.340909090908
02/1970,9948.863636363638
03/1970,10028.40909090909
04/1970,10184.65909090909
05/1970,10071.022727272726
06/1970,10082.386363636362
07/1970,10028.40909090909
08/1970,10170.454545454544
09/1970,10340.90909090909
10/1970,10582.386363636362
11/1970,10664.772727272726
12/1970,10619.31818181818
01/1971,10809.65909090909
02/1971,11022.727272727272
03/1971,11045.454545454544
04/1971,11278.40909090909
05/1971,11602.272727272728
06/1971,11392.045454545454
07/1971,12045.454545454544
08/1971,11548.295454545454
09/1971,12102.272727272726
10/1971,12028.409090909092
11/1971,12386.363636363636
12/1971,12394.886363636362
01/1972,13394.886363636362
02/1972,13693.181818181816
03/1972,13744.31818181818
04/1972,14090.90909090909
05/1972,16889.204545454544
06/1972,18366.477272727272
07/1972,19403.40909090909
08/1972,19000
09/1972,18238.636363636364
10/1972,18292.613636363636
11/1972,18068.181818181816
12/1972,18437.5
01/1973,18750
02/1973,24147.727272727272
03/1973,25568.181818181816
04/1973,25775.56818181818
05/1973,32599.431818181816
06/1973,35014.204545454544
07/1973,32840.90909090909
08/1973,29403.40909090909
09/1973,28409.090909090908
10/1973,27840.90909090909
11/1973,28693.181818181816
12/1973,31889.204545454544
01/1974,37642.04545454545
02/1974,46164.77272727272
03/1974,49147.72727272727
04/1974,48082.38636363636
05/1974,44531.25
06/1974,40980.11363636363
07/1974,44318.181818181816
08/1974,44318.181818181816
09/1974,42968.75
10/1974,47443.181818181816
11/1974,52272.72727272727
12/1974,52982.954545454544
01/1975,49943.181818181816
02/1975,51633.52272727272
03/1975,50355.11363636363
04/1975,47443.181818181816
05/1975,47443.181818181816
06/1975,47230.11363636363
07/1975,47357.954545454544
08/1975,45397.72727272727
09/1975,40127.840909090904
10/1975,40596.590909090904
11/1975,39247.15909090909
12/1975,39843.75
01/1976,36406.25
02/1976,37585.22727272727
03/1976,36818.181818181816
04/1976,36477.27272727273
05/1976,35653.40909090909
06/1976,35170.454545454544
07/1976,31960.22727272727
08/1976,29545.454545454544
09/1976,32954.54545454545
10/1976,34985.79545454545
11/1976,37002.840909090904
12/1976,38210.22727272727
01/1977,37585.22727272727
02/1977,40553.97727272727
03/1977,42301.13636363636
04/1977,41832.38636363636
05/1977,40610.79545454545
06/1977,40625
07/1977,40937.5
08/1977,41477.27272727272
09/1977,43764.204545454544
10/1977,45880.681818181816
11/1977,45468.74999999999
12/1977,46860.79545454545
01/1978,49928.97727272727
02/1978,51775.56818181818
03/1978,51590.90909090909
04/1978,48536.931818181816
05/1978,52315.340909090904
06/1978,52002.840909090904
07/1978,56889.204545454544
08/1978,59289.77272727272
09/1978,61676.13636363636
10/1978,68920.45454545454
11/1978,54943.181818181816
12/1978,64204.54545454545
01/1979,66392.04545454546
02/1979,71392.04545454546
03/1979,68210.22727272726
04/1979,69687.5
05/1979,78011.36363636363
06/1979,78835.22727272726
07/1979,84218.75
08/1979,89517.04545454544
09/1979,112855.11363636363
10/1979,108522.72727272726
11/1979,118082.38636363635
12/1979,148863.63636363635
01/1980,185511.36363636362
02/1980,180965.9090909091
03/1980,140482.95454545453
04/1980,147159.0909090909
05/1980,152130.6818181818
06/1980,185653.4090909091
07/1980,174502.84090909088
08/1980,179332.38636363635
09/1980,189417.61363636362
10/1980,178693.1818181818
11/1980,176065.34090909088
12/1980,167471.59090909088
01/1981,143892.04545454544
02/1981,138920.45454545453
03/1981,145951.70454545453
04/1981,137144.88636363635
05/1981,136150.56818181818
06/1981,121022.72727272726
07/1981,115340.90909090909
08/1981,120738.63636363635
09/1981,121803.97727272726
10/1981,121306.81818181818
11/1981,117755.68181818181
12/1981,113636.36363636363
01/1982,109943.18181818181
02/1982,103011.36363636363
03/1982,90909.0909090909
04/1982,102627.8409090909
05/1982,92400.56818181818
06/1982,90198.86363636363
07/1982,97414.77272727272
08/1982,116903.40909090909
09/1982,112784.0909090909
10/1982,120241.47727272726
11/1982,123863.63636363635
12/1982,127272.72727272726
01/1983,141903.4090909091
02/1983,116051.13636363635
03/1983,117826.70454545453
04/1983,121946.02272727272
05/1983,124289.77272727272
06/1983,118181.81818181818
07/1983,119886.36363636363
08/1983,117684.65909090909
09/1983,115056.81818181818
10/1983,108522.72727272726
11/1983,115056.81818181818
12/1983,108380.68181818181
01/1984,106178.97727272726
02/1984,112002.8409090909
03/1984,110369.31818181818
04/1984,106761.36363636363
05/1984,109161.93181818181
06/1984,105980.11363636363
07/1984,97258.52272727272
08/1984,98934.65909090909
09/1984,97656.24999999999
10/1984,94744.31818181818
11/1984,93465.90909090909
12/1984,87585.22727272726
01/1985,87116.47727272726
02/1985,81747.15909090909
03/1985,93536.93181818181
04/1985,91292.61363636363
05/1985,89204.54545454544
06/1985,90269.88636363635
07/1985,93039.77272727272
08/1985,94673.29545454544
09/1985,92542.61363636363
10/1985,92357.95454545454
11/1985,92414.77272727272
12/1985,92897.72727272726
01/1986,99573.86363636363
02/1986,96065.3409090909
03/1986,97727.27272727272
04/1986,98224.43181818181
05/1986,97499.99999999999
06/1986,98508.52272727272
07/1986,101562.49999999999
08/1986,109289.77272727272
09/1986,120227.27272727272
10/1986,113920.45454545453
11/1986,110653.40909090909
12/1986,111051.13636363635
01/1987,113778.40909090909
02/1987,115298.29545454544
03/1987,119602.27272727272
04/1987,128764.20454545453
05/1987,128124.99999999999
06/1987,127073.86363636363
07/1987,131392.04545454544
08/1987,128806.81818181818
09/1987,130539.77272727272
10/1987,133181.81818181818
11/1987,139914.7727272727
12/1987,138210.22727272726
01/1988,130113.63636363635
02/1988,121065.3409090909
03/1988,129815.3409090909
04/1988,127556.81818181818
05/1988,129403.40909090907
06/1988,124019.88636363635
07/1988,124090.90909090907
08/1988,121519.88636363635
09/1988,112698.86363636363
10/1988,117159.0909090909
11/1988,120056.81818181818
12/1988,116519.88636363635
01/1989,111931.81818181818
02/1989,109943.18181818181
03/1989,108863.63636363635
04/1989,107258.52272727272
05/1989,102784.0909090909
06/1989,105965.90909090909
