Date,ISE Cyber Security
01/2010,10000
02/2010,10534.174553102
03/2010,10828.601472134596
04/2010,10910.620399579391
05/2010,10287.066246056784
06/2010,9890.641430073607
07/2010,10638.275499474239
08/2010,10397.476340694007
09/2010,11737.118822292325
10/2010,12531.019978969507
11/2010,12438.485804416405
12/2010,12869.610935856994
01/2011,13238.69610935857
02/2011,13864.35331230284
03/2011,13548.895899053628
04/2011,14057.83385909569
05/2011,14001.051524710832
06/2011,13663.512092534176
07/2011,12700.31545741325
08/2011,11772.87066246057
09/2011,10611.987381703471
10/2011,12243.953732912723
11/2011,12451.104100946373
12/2011,12582.544689800212
01/2012,13330.178759200842
02/2012,13534.174553101999
03/2012,14378.548895899054
04/2012,14133.5436382755
05/2012,12121.976866456362
06/2012,12719.242902208203
07/2012,12605.678233438486
08/2012,13380.651945320717
09/2012,13664.563617245007
10/2012,12120.925341745531
11/2012,12511.041009463723
12/2012,12936.908517350159
01/2013,13691.903259726605
02/2013,14134.595162986328
03/2013,14354.363827549949
04/2013,13955.83596214511
05/2013,14727.655099894848
06/2013,14767.613038906415
07/2013,16590.956887486856
08/2013,16526.81388012618
09/2013,17100.94637223975
10/2013,16801.261829652998
11/2013,17256.572029442694
12/2013,17884.332281808627
01/2014,19139.852786540483
02/2014,19970.55730809674
03/2014,18686.645636172452
04/2014,16438.485804416407
05/2014,16365.930599369083
06/2014,17552.05047318612
07/2014,16873.817034700318
08/2014,17507.88643533123
09/2014,17596.21451104101
10/2014,19316.508937960043
11/2014,20976.866456361724
12/2014,21761.303890641433
01/2015,20668.76971608833
02/2015,23721.345951629864
03/2015,22867.50788643533
04/2015,24079.915878023134
05/2015,24622.502628811777
06/2015,25858.044164037856
07/2015,26066.246056782336
08/2015,23438.485804416407
09/2015,21777.07676130389
10/2015,23004.206098843326
11/2015,23197.686645636175
12/2015,22534.174553102
01/2016,19290.220820189275
02/2016,18746.5825446898
03/2016,20541.535226077813
04/2016,20386.9610935857
05/2016,20777.07676130389
06/2016,20501.577287066248
07/2016,22369.08517350158
08/2016,23113.56466876972
09/2016,23980.02103049422
10/2016,22635.120925341747
11/2016,22831.756046267088
12/2016,22374.34279705573
01/2017,24051.524710830705
02/2017,24720.6309148265
03/2017,26075.562565720295
04/2017,25075.772870662462
05/2017,26377.655099894848
06/2017,26185.16298633018
07/2017,25474.185068349107
08/2017,25831.976866456363
09/2017,26306.940063091482
10/2017,26939.001051524712
11/2017,27515.930599369083
12/2017,27786.214511041013
01/2018,29362.50262881178
02/2018,30651.030494216622
03/2018,31284.069400630917
04/2018,32191.062039957942
05/2018,33649.93690851735
06/2018,33078.58044164038
07/2018,32688.527865404838
08/2018,35981.59831756046
09/2018,35965.25762355416
10/2018,32428.569926393266
11/2018,33349.76866456362
12/2018,30587.066246056784
01/2019,34332.302839116724
02/2019,37177.11882229232
03/2019,36910.7570977918
04/2019,38976.88748685594
05/2019,36418.70662460568
06/2019,38089.31650893796
07/2019,38812.96529968455
08/2019,37128.42271293376
09/2019,37025.99369085174
10/2019,38255.17350157729
11/2019,40173.69085173502
12/2019,40124.60567823344
01/2020,41247.066246056784
02/2020,37664.3007360673
03/2020,34818.412197686645
04/2020,38388.03364879075
05/2020,43669.68454258675
06/2020,45801.08307045216
07/2020,49165.02628811778
08/2020,49356.36172450053
09/2020,47264.195583596214
10/2020,44527.69716088328
11/2020,50428.37013669821
12/2020,57190.76761303891
01/2021,59251.30389064144
02/2021,56412.46056782335
03/2021,55853.51209253419
04/2021,58610.31545741325
05/2021,59448.7276550999
06/2021,62037.7181913775
07/2021,63014.773922187174
08/2021,65013.554153522615
09/2021,61249.27444794953
10/2021,65971.28286014721
11/2021,61549.02208201893
12/2021,62148.307045215566
01/2022,56478.15983175605
02/2022,57730.35751840169
03/2022,60769.169295478445
04/2022,54512.082018927445
05/2022,51025.6887486856
06/2022,46306.792849631966
07/2022,48933.417455310206
08/2022,50670.2523659306
09/2022,45187.634069400636
10/2022,48399.94742376446
11/2022,47103.648790746585
12/2022,43118.66456361725
01/2023,46291.11461619348
02/2023,46751.57728706625
03/2023,48896.01472134596
04/2023,45353.9221871714
05/2023,50656.55099894848
06/2023,51704.37434279706
07/2023,53209.31650893796
08/2023,53993.71188222923
09/2023,52235.74132492114
10/2023,49031.230283911675
11/2023,55518.84332281809
12/2023,60683.98527865405
01/2024,62525.436382755
02/2024,62330.82018927446
03/2024,62007.61303890642
04/2024,59122.14511041011
05/2024,57341.81913774974
06/2024,60379.169295478445
07/2024,60446.44584647739
08/2024,63523.76445846478
09/2024,64672.10304942167
