Date,JP Morgan EMBI Global Core (Hedged EUR)
07/2013,10000
08/2013,9709.583553715702
09/2013,9992.766365497557
10/2013,10280.250177434715
11/2013,10071.723927492598
12/2013,10121.603420733385
01/2014,10032.673917522234
02/2014,10371.42124103809
03/2014,10505.840933440482
04/2014,10646.395137737536
05/2014,10996.149142973789
06/2014,11036.118616012376
07/2014,11076.369342368513
08/2014,11165.137004328682
09/2014,10921.171359721675
10/2014,11125.812238317267
11/2014,11129.72222055962
12/2014,10854.372860033387
01/2015,10963.504463195804
02/2015,11058.461765457298
03/2015,11073.947925549559
04/2015,11243.54633400821
05/2015,11179.814253496796
06/2015,10981.367543607357
07/2015,11021.394901472937
08/2015,10908.190293494186
09/2015,10752.132209259871
10/2015,11068.909582955177
11/2015,11062.857369896174
12/2015,10895.18018640962
01/2016,10886.834926964311
02/2016,11091.618450312137
03/2016,11435.509352612946
04/2016,11632.177679169687
05/2016,11587.666511414573
06/2016,12003.839713212577
07/2016,12172.3079893347
08/2016,12391.792191423468
09/2016,12421.1023901472
10/2016,12222.624867416182
11/2016,11664.02024063077
12/2016,11802.125562349127
01/2017,11959.307380087053
02/2017,12197.240106577385
03/2017,12221.098007438868
04/2017,12402.577276637809
05/2017,12489.537612851787
06/2017,12440.31788850642
07/2017,12530.870234188622
08/2017,12741.740130518867
09/2017,12713.137052054131
10/2017,12734.548925200834
11/2017,12722.150251212273
12/2017,12793.67611021523
01/2018,12759.301973565456
02/2018,12447.330615607892
03/2018,12455.069856354274
04/2018,12214.862590871304
05/2018,12055.35553569533
06/2018,11860.379257448714
07/2018,12163.063349312171
08/2018,11885.82298599392
09/2018,12075.82008623973
10/2018,11743.744678139887
11/2018,11650.402244419194
12/2018,11777.496848230237
01/2019,12311.892721223207
02/2019,12406.425731640587
03/2019,12560.181318904602
04/2019,12548.934041066568
05/2019,12564.209236559773
06/2019,12983.351201499998
07/2019,13117.941791963036
08/2019,13197.10067108597
09/2019,13091.705100354178
10/2019,13105.949689973591
11/2019,13022.390874894114
12/2019,13270.709891642755
01/2020,13460.288409772282
02/2020,13292.720990881131
03/2020,11384.425303686641
04/2020,11652.498797413187
05/2020,12386.305635194227
06/2020,12806.04367603146
07/2020,13286.033521378953
08/2020,13328.314154423173
09/2020,13051.173908229159
10/2020,13041.89373007305
11/2020,13555.276721762522
12/2020,13798.488386964873
01/2021,13599.429653317928
02/2021,13191.03319927155
03/2021,13034.423732527051
04/2021,13332.9520285206
05/2021,13479.398179723017
06/2021,13589.908288382683
07/2021,13641.494793358255
08/2021,13779.063892878261
09/2021,13447.20643887189
10/2021,13446.203889419347
11/2021,13184.653956628748
12/2021,13373.319804297307
01/2022,12963.063357187657
02/2022,12120.175516246029
03/2022,12009.46763442747
04/2022,11221.76844761872
05/2022,11240.736360365887
06/2022,10458.435130561393
07/2022,10789.031916039752
08/2022,10622.96221782525
09/2022,9867.985481225312
10/2022,9872.37813235669
11/2022,10603.510750196809
12/2022,10596.961200154863
01/2023,10920.732695114393
02/2023,10626.883914854021
03/2023,10724.376730047536
04/2023,10757.505752255462
05/2023,10647.85239810144
06/2023,10857.105949237131
07/2023,11049.805424288694
08/2023,10848.148764477903
09/2023,10506.296628787675
10/2023,10339.666491253327
11/2023,10932.032541825922
12/2023,11456.087014834584
01/2024,11297.02344800147
02/2024,11394.229398593185
03/2024,11619.068242509546
04/2024,11342.542185831875
05/2024,11543.326930825191
06/2024,11605.671252142527
07/2024,11810.69212296974
08/2024,12086.577213476407
09/2024,12296.138991471478
