Date,JP Morgan EMU Government Bond
10/2008,10000
11/2008,10388.24
12/2008,10512.99
01/2009,10386.14
02/2009,10468.25
03/2009,10598.84
04/2009,10669.13
05/2009,10530.15
06/2009,10662.24
07/2009,10861.72
08/2009,10909.96
09/2009,10979.81
10/2009,10988.14
11/2009,11062.29
12/2009,10967.51
01/2010,11018.42
02/2010,11149.68
03/2010,11224.19
04/2010,11150.5
05/2010,11317.89
06/2010,11235.8
07/2010,11338.5
08/2010,11643.14
09/2010,11504.27
10/2010,11442.02
11/2010,11147.44
12/2010,11099.39
01/2011,11034.34
02/2011,11032.63
03/2011,10965.66
04/2011,11001.22
05/2011,11136.74
06/2011,11094.74
07/2011,11099.83
08/2011,11440.25
09/2011,11536.04
10/2011,11313.11
11/2011,11051.75
12/2011,11506.07
01/2012,11696.41
02/2012,11903.77
03/2012,11908.07
04/2012,11880.96
05/2012,12044.57
06/2012,11925.67
07/2012,12123.56
08/2012,12211.95
09/2012,12358.31
10/2012,12447.73
11/2012,12629.89
12/2012,12729.45
01/2013,12654.24
02/2013,12679.97
03/2013,12764.6
04/2013,13094.07
05/2013,12920.86
06/2013,12727.15
07/2013,12820.83
08/2013,12752.65
09/2013,12846.619999999997
10/2013,13031.84
11/2013,13073.23
12/2013,12995.4
01/2014,13286.429999999998
02/2014,13372.72
03/2014,13498.070000000002
04/2014,13633.349999999999
05/2014,13765.81
06/2014,13916.17
07/2014,14047.6
08/2014,14315.73
09/2014,14327.11
10/2014,14365.75
11/2014,14566.92
12/2014,14733.63
01/2015,15072.15
02/2015,15180.97
03/2015,15370.88
04/2015,15147.26
05/2015,14913.45
06/2015,14528.33
07/2015,14868.99
08/2015,14708.24
09/2015,14907.22
10/2015,15053.53
11/2015,15128.27
12/2015,14978.99
01/2016,15275.89
02/2016,15423.83
03/2016,15502.45
04/2016,15319.6
05/2016,15480.350000000002
06/2016,15847.4
07/2016,15970.56
08/2016,15917.01
09/2016,15953.24
10/2016,15603.43
11/2016,15358.96
12/2016,15465.41
01/2017,15139.62
02/2017,15319.220000000003
03/2017,15227.84
04/2017,15308.54
05/2017,15393.6
06/2017,15311.66
07/2017,15344.18
08/2017,15475.91
09/2017,15401.21
10/2017,15572.98
11/2017,15622.900000000001
12/2017,15488.41
01/2018,15428.28
02/2018,15461.49
03/2018,15712.18
04/2018,15650.86
05/2018,15458.009999999998
06/2018,15575.980000000003
07/2018,15515.14
08/2018,15428.75
09/2018,15405.91
10/2018,15398.7
11/2018,15491.11
12/2018,15635.140000000003
01/2019,15810.12
02/2019,15749.6
03/2019,16035.5
04/2019,16031.5
05/2019,16209.41
06/2019,16582.27
07/2019,16868.14
08/2019,17287.56
09/2019,17219.01
10/2019,17022.52
11/2019,16866.87
12/2019,16720.64
01/2020,17121.74
02/2020,17205.22
03/2020,16755.78
04/2020,16849.440000000002
05/2020,16883.97
06/2020,17056.16
07/2020,17240.629999999997
08/2020,17101.67
09/2020,17348.88
10/2020,17523.97
11/2020,17545.72
12/2020,17581.36
01/2021,17459.62
