Date,JP Morgan ESG EMU Government Bond IG 3-5 Year
10/2019,10000
11/2019,9963.930836324878
12/2019,9947.371537475701
01/2020,10010.527699692597
02/2020,10009.684680842094
03/2020,9913.941825677752
04/2020,9919.361232573845
05/2020,9939.965014717704
06/2020,9986.652201533692
07/2020,10014.220925132902
08/2020,9998.896046743388
09/2020,10036.841930954748
10/2020,10076.684607579744
11/2020,10076.18281064492
12/2020,10080.598623671365
01/2021,10060.024949343599
02/2021,10007.687529041497
03/2021,10037.243368502606
04/2021,10007.205803984067
05/2021,10006.192174175723
06/2021,10015.24459087994
07/2021,10070.964122522753
08/2021,10046.978229038185
09/2021,10011.952802987498
10/2021,9929.02584153855
11/2021,10022.06902919354
12/2021,9957.738662149155
01/2022,9894.833398399667
02/2022,9825.3345229266
03/2022,9661.41753619712
04/2022,9522.51010869925
05/2022,9461.080127938147
06/2022,9391.94254625815
07/2022,9583.127178425942
08/2022,9286.986699370445
09/2022,9096.655121991853
10/2022,9108.116163983223
11/2022,9158.33600122037
12/2022,8992.883515870331
01/2023,9067.611115404263
02/2023,8942.84432552972
03/2023,9096.524654788798
04/2023,9111.899712871793
05/2023,9142.198211796442
06/2023,9055.407413949351
07/2023,9102.194960152305
08/2023,9141.26486949767
09/2023,9048.743550654895
10/2023,9118.061779231428
11/2023,9252.726011848428
12/2023,9448.544738709317
01/2024,9433.341295178032
02/2024,9321.19118563576
03/2024,9380.009815148045
04/2024,9308.933290111889
05/2024,9313.85391085477
06/2024,9360.64848221481
07/2024,9497.408218831635
08/2024,9548.257911581373
09/2024,9658.985828250967
