Date,JP Morgan Emerging Market Enhanced Multi-Factor Local Currency Bond
09/2018,10000
10/2018,9990.062505837446
11/2018,10230.309088047446
12/2018,10280.453078279324
01/2019,10843.60855912214
02/2019,10791.019478521346
03/2019,10806.354809266833
04/2019,10823.463345468508
05/2019,10928.180439433212
06/2019,11319.363966872992
07/2019,11672.15114311581
08/2019,11422.71203999782
09/2019,11689.885091702003
10/2019,11713.891829138227
11/2019,11691.902840780878
12/2019,11907.521994058518
01/2020,11941.157825980748
02/2020,11582.678075058056
03/2020,10114.81528064168
04/2020,10612.178781638306
05/2020,10979.75784714815
06/2020,10990.32951883058
07/2020,10734.294065020265
08/2020,10633.471346384316
09/2020,10614.931062993646
10/2020,10677.247279482512
11/2020,11031.06823720397
12/2020,11165.757683163754
01/2021,11191.659915433664
02/2021,10899.669544319451
03/2021,10942.554079885882
04/2021,10848.045237670154
05/2021,11031.098498094994
06/2021,11172.11984513339
07/2021,11129.989541906813
08/2021,11274.008074155887
09/2021,11139.572647654004
10/2021,10954.319305338424
11/2021,10939.504683205752
12/2021,11137.067937438498
01/2022,11283.422913013239
02/2022,10603.32862350881
03/2022,10476.02399241996
04/2022,10315.386903868715
05/2022,10317.095317666754
06/2022,10108.917189650829
07/2022,10333.149713364886
08/2022,10532.239453950313
09/2022,10228.066872327032
10/2022,9962.137117379714
11/2022,10233.864610689036
12/2022,10174.91778198288
01/2023,10492.818628832632
02/2023,10387.46075479405
03/2023,10579.720812268075
