Date,JP Morgan GBI-EM Global Diversified 10% Cap 1% Floor
06/2011,10000
07/2011,10254.180918899756
08/2011,10126.846725829657
09/2011,9597.45266596173
10/2011,9831.441098573221
11/2011,9829.177644078287
12/2011,10029.921898207585
01/2012,10630.707932669826
02/2012,10728.011075145465
03/2012,10564.796555009245
04/2012,10727.253673809671
05/2012,10555.338174298417
06/2012,11052.34872916788
07/2012,11593.418445306419
08/2012,11246.985954360109
09/2012,11277.82165781769
10/2012,11194.577854394232
11/2012,11340.354409854683
12/2012,11432.588471397235
01/2013,11138.877251241505
02/2013,11459.607365117046
03/2013,11716.12477980352
04/2013,11993.625045327386
05/2013,11155.182514767512
06/2013,10628.471929398363
07/2013,10405.000788755417
08/2013,9987.438699925688
09/2013,10176.93321756217
10/2013,10388.158433141813
11/2013,9975.91322792147
12/2013,9782.415578412576
01/2014,9538.033905609831
02/2014,9727.955023323695
03/2014,10001.624466403504
04/2014,10047.855250609437
05/2014,10438.878025405023
06/2014,10495.761102159606
07/2014,10608.626865517073
08/2014,10819.38475694319
09/2014,10776.196040899958
10/2014,10994.910110478828
11/2014,10944.968510863839
12/2014,10595.653227115956
01/2015,11404.52695613975
02/2015,11380.657522246576
03/2015,11570.847982519059
04/2015,11399.608270289906
05/2015,11372.774389812466
06/2015,11019.586288186161
07/2015,10918.914687442519
08/2015,10103.369680334823
09/2015,9779.96931561843
10/2015,10405.360966863367
11/2015,10623.207444417922
12/2015,10102.445405287195
01/2016,10097.705286280854
02/2016,10269.812993583146
03/2016,10730.382326927718
04/2016,11012.620218443979
05/2016,10631.790938261962
06/2016,11307.373705571714
07/2016,11365.319802953209
08/2016,11351.612634503375
09/2016,11535.827784259514
10/2016,11670.409921494333
11/2016,11146.795362858249
12/2016,11439.98297834151
01/2017,11471.564026587499
02/2017,11866.227692601966
03/2017,12029.260074056236
04/2017,11890.234554523699
05/2017,11802.782449613607
06/2017,11666.721050618038
07/2017,11583.552108100466
08/2017,11685.061754626468
09/2017,11659.451672748066
10/2017,11495.321657963255
11/2017,11485.089740513713
12/2017,11579.02294513879
01/2018,11648.287704865032
02/2018,11756.625698314283
03/2018,11782.515056426837
04/2018,11656.824021217803
05/2018,11425.2738581147
06/2018,11119.425261501307
07/2018,11274.669653531957
08/2018,10643.633649704163
09/2018,10991.136374958569
10/2018,11040.05968688943
11/2018,11319.028946097054
12/2018,11372.103339646199
01/2019,11961.504438119271
02/2019,11889.328401417457
03/2019,11910.993260962387
04/2019,11906.200985785401
05/2019,11999.9827676808
06/2019,12420.153177083399
07/2019,12784.115379981899
08/2019,12526.210925342035
09/2019,12812.366542382524
10/2019,12856.016333787818
11/2019,12812.362457631354
12/2019,13046.673966811431
01/2020,13083.840562665302
02/2020,12719.948878378595
03/2020,11321.432815603326
04/2020,11850.455313199507
05/2020,12175.428209980688
06/2020,12161.81099379752
07/2020,11848.320795421698
08/2020,11705.159259049004
09/2020,11695.05953719302
10/2020,11753.587203338197
11/2020,12121.009396744603
12/2020,12262.724567445955
01/2021,12259.127521496563
02/2021,11941.063569382592
03/2021,11952.668004010862
04/2021,11860.41481374319
05/2021,12040.290532819752
06/2021,12212.006401756578
07/2021,12141.583262273989
08/2021,12284.851828886696
09/2021,12104.057832621278
10/2021,11867.694742197282
11/2021,11786.151814074727
12/2021,11992.415430536133
01/2022,12209.90187865389
02/2022,11613.627966486065
03/2022,11544.978442329182
04/2022,11458.073687523705
05/2022,11444.062408575355
06/2022,11282.07558364022
07/2022,11499.194463769813
08/2022,11762.396847168711
09/2022,11493.623663908027
10/2022,11194.42236028229
11/2022,11459.427110943137
12/2022,11388.666021874396
01/2023,11694.79903110063
02/2023,11551.015200236057
03/2023,11745.888410131638
04/2023,11731.007167328944
05/2023,11865.492902808573
06/2023,12047.599055046194
07/2023,12219.849034225825
08/2023,12058.999004047551
09/2023,11952.307726081486
10/2023,11860.174447049207
11/2023,12127.022205113699
12/2023,12378.465598852905
01/2024,12424.104816402658
02/2024,12359.644223928173
03/2024,12368.039364755074
04/2024,12204.632542454743
05/2024,12245.810738769733
06/2024,12277.809005301191
07/2024,12412.01864626316
08/2024,12491.906783281209
09/2024,12789.422696618176
