Date,JP Morgan Global Government Bond (Hedged EUR)
02/2009,10000
03/2009,10103.11
04/2009,10051.87
05/2009,9958.02
06/2009,10037.16
07/2009,10095.699999999999
08/2009,10181.62
09/2009,10237.71
10/2009,10223.57
11/2009,10330.52
12/2009,10213.34
01/2010,10295.64
02/2010,10345.33
03/2010,10336.34
04/2010,10415.18
05/2010,10539.46
06/2010,10654.72
07/2010,10711.57
08/2010,10935.19
09/2010,10900.41
10/2010,10853.45
11/2010,10708.96
12/2010,10653.83
01/2011,10602.69
02/2011,10605.56
03/2011,10602.88
04/2011,10687.56
05/2011,10816.3
06/2011,10813.89
07/2011,10925.72
08/2011,11141.47
09/2011,11281.07
10/2011,11203.49
11/2011,11191.03
12/2011,11388.92
01/2012,11457.4
02/2012,11470.16
03/2012,11424.11
04/2012,11501.69
05/2012,11684.54
06/2012,11633.2
07/2012,11750.32
08/2012,11757.52
09/2012,11781.03
10/2012,11783.96
11/2012,11867.53
12/2012,11852.6
01/2013,11783.42
02/2013,11856.27
03/2013,11939.48
04/2013,12061.98
05/2013,11857.45
06/2013,11725.78
07/2013,11755.33
08/2013,11720.67
09/2013,11800.81
10/2013,11899.48
11/2013,11885.67
12/2013,11794.14
01/2014,11992.09
02/2014,12037.58
03/2014,12048.21
04/2014,12125.45
05/2014,12231.87
06/2014,12269.42
07/2014,12311.18
08/2014,12482.88
09/2014,12446.34
10/2014,12538.71
11/2014,12686.37
12/2014,12793.3
01/2015,13096.4
02/2015,12962.710000000003
03/2015,13066.53
04/2015,12962.38
05/2015,12880.06
06/2015,12709.49
07/2015,12870.1
08/2015,12840.16
09/2015,12956.49
10/2015,12965.87
11/2015,12965.6
12/2015,12928.26
01/2016,13193.98
02/2016,13354.31
03/2016,13403.01
04/2016,13368.15
05/2016,13436.38
06/2016,13755.690000000002
07/2016,13790.27
08/2016,13727
09/2016,13696.75
10/2016,13481.43
11/2016,13214.63
12/2016,13218.790000000003
01/2017,13109.35
02/2017,13213.56
03/2017,13180.009999999998
04/2017,13252.5
05/2017,13302.62
06/2017,13231.51
07/2017,13238.27
08/2017,13357.71
09/2017,13240.58
10/2017,13275.84
11/2017,13287.25
12/2017,13271.65
01/2018,13145.54
02/2018,13115.72
03/2018,13244.96
04/2018,13159.370000000003
05/2018,13172.28
06/2018,13184.94
07/2018,13120.96
08/2018,13113.43
09/2018,13014.99
10/2018,12980.3
11/2018,13043.65
12/2018,13236.44
01/2019,13315.710000000003
02/2019,13268.04
03/2019,13499.42
04/2019,13436.63
05/2019,13658.36
06/2019,13808.98
07/2019,13882.37
08/2019,14269.97
09/2019,14144.6
10/2019,14052.350000000002
11/2019,13966.03
12/2019,13849.81
01/2020,14144.649999999998
02/2020,14366.5
03/2020,14421
04/2020,14503.63
05/2020,14472.2
06/2020,14493.59
07/2020,14622.819999999998
08/2020,14454.669999999998
09/2020,14546.68
10/2020,14503.08
11/2020,14524.43
12/2020,14524.99
01/2021,14387.09
