Date,JP Morgan Government Bond Global
11/2016,10000
12/2016,9992.761536422004
01/2017,9841.12419781975
02/2017,10051.89198264563
03/2017,9996.384700992707
04/2017,9944.475557117876
05/2017,9776.708092921212
06/2017,9616.979949677549
07/2017,9457.559278461857
08/2017,9486.792002752636
09/2017,9431.042318733798
10/2017,9540.297856019035
11/2017,9429.312609813956
12/2017,9377.088843398937
01/2018,9157.901330367127
02/2018,9289.368503938353
03/2018,9355.198265114062
04/2018,9339.344149293584
05/2018,9584.560957116051
06/2018,9554.525945347783
07/2018,9482.097691442832
08/2018,9531.110877845511
09/2018,9440.8149238628
10/2018,9586.528063043468
11/2018,9640.19122757996
12/2018,9784.788886845436
01/2019,9876.39910498466
02/2019,9865.094145074752
03/2019,10143.004525130667
04/2019,10130.117156853326
05/2019,10355.08013865163
06/2019,10349.962517014685
07/2019,10539.885843501977
08/2019,10970.738530650162
09/2019,10934.890152400338
10/2019,10733.636124159533
11/2019,10736.971123085643
12/2019,10564.617320313733
01/2020,10890.371778014549
02/2020,11120.7133751473
03/2020,11142.57392128052
04/2020,11275.600621580044
05/2020,11097.720187869685
06/2020,11044.325167543411
07/2020,10837.98283476643
08/2020,10648.71735540858
09/2020,10846.476213248714
10/2020,10888.09966314859
11/2020,10745.809309283732
12/2020,10630.283143076496
01/2021,10561.76720779349
02/2021,10316.792812178914
03/2021,10441.027488873304
04/2021,10305.420559770113
05/2021,10227.918507162063
06/2021,10458.540789675819
07/2021,10624.206281234918
08/2021,10616.840874355308
09/2021,10586.320168722621
10/2021,10570.99562935515
11/2021,10876.331058779248
12/2021,10694.49055603387
01/2022,10630.255863791737
02/2022,10516.421013237485
03/2022,10248.747043392204
04/2022,10215.209569801129
05/2022,10059.332527472778
06/2022,9988.406387150164
07/2022,10436.877828265911
08/2022,10136.163830608604
09/2022,9896.715897149643
