Date,JPX-Nikkei 400
08/2013,10000
09/2013,10630.125974599285
10/2013,10436.534424265152
11/2013,10622.776487255278
12/2013,10571.164307910205
01/2014,10385.981528800496
02/2014,10143.236112889452
03/2014,9944.671770146302
04/2014,9689.23285561217
05/2014,10285.238015261575
06/2014,10768.011614310924
07/2014,11082.456850083947
08/2014,10994.23487806322
09/2014,11348.611674901065
10/2014,11275.359405910716
11/2014,11285.00930654878
12/2014,11429.6722727492
01/2015,12534.173642657195
02/2015,13412.969893675428
03/2015,14232.341244194415
04/2015,14163.55229292996
05/2015,14557.138651161174
06/2015,14077.935648033934
07/2015,14383.884940349792
08/2015,13309.798690929847
09/2015,12370.711840443972
10/2015,13901.960371433091
11/2015,14420.865893155516
12/2015,14065.516047885498
01/2016,12907.242276866564
02/2016,12618.900194475764
03/2016,12669.056185414925
04/2016,13204.517959056331
05/2016,13399.60431178089
06/2016,13160.706559108623
07/2016,13804.142215370823
08/2016,13888.67734293624
09/2016,14085.341903261076
10/2016,14605.038699771876
11/2016,14713.07796763841
12/2016,14852.376080155744
01/2017,15061.597956892501
02/2017,15582.6282301591
03/2017,15349.155178243771
04/2017,15259.144538165985
05/2017,15247.238646206972
06/2017,15272.75899643581
07/2017,15082.304735499109
08/2017,14889.830761541263
09/2017,15239.769736078511
10/2017,16208.910253613021
11/2017,16331.354165983774
12/2017,16320.505674395597
01/2018,16429.10116003603
02/2018,16378.086705689542
03/2018,15994.003109171908
04/2018,16433.852696273298
05/2018,16767.123934119227
06/2018,16427.23192763141
07/2018,16400.757055727256
08/2018,16452.53603498212
09/2018,17101.83734749365
10/2018,15868.217866223345
11/2018,15940.918734326468
12/2018,14713.297510756327
01/2019,15597.510666192515
02/2019,15774.148171692641
03/2019,16066.957135445018
04/2019,16246.91586294284
05/2019,15657.089136093373
06/2019,15931.871494603454
07/2019,16252.530099905853
08/2019,16262.471751174955
09/2019,17207.324372706953
10/2019,17600.520614475314
11/2019,17964.39932705635
12/2019,17995.114995314532
01/2020,17896.558241790004
02/2020,16246.87077190499
03/2020,15248.330786833507
04/2020,16336.799260223619
05/2020,17019.882523805973
06/2020,16812.464579800642
07/2020,15677.531851628315
08/2020,16681.598029498433
09/2020,17176.75284531182
10/2020,16890.053614711676
11/2020,18598.18915849887
12/2020,18815.745176372093
01/2021,18812.25954422324
02/2021,19079.488633167526
03/2021,19902.302084533316
04/2021,19065.211740064937
05/2021,19078.34277014215
06/2021,19579.578931407108
07/2021,19229.31888784437
08/2021,19976.47735672287
09/2021,20886.31909780715
10/2021,20129.231132879886
11/2021,20102.538759907373
12/2021,20459.5842946674
01/2022,19673.003379926584
02/2022,19469.385503430953
03/2022,19446.488365559457
04/2022,18710.74798966061
05/2022,18811.594420410773
06/2022,17817.157482918847
07/2022,19203.09710784192
08/2022,19123.355539163396
09/2022,17695.37994507439
10/2022,17807.176970808654
11/2022,18804.325293343158
12/2022,18389.132528425765
01/2023,19133.146061940064
02/2023,18791.321458902938
03/2023,19126.503118356482
04/2023,19023.027474632934
05/2023,19892.730577086495
06/2023,20299.84857060641
07/2023,20628.533413968118
08/2023,20440.105189231035
09/2023,20489.467691137776
10/2023,19506.08425180632
11/2023,20615.159233022696
12/2023,21215.071138288466
01/2024,22330.88968144607
02/2024,23074.95220042693
