Date,MDAX
03/1999,10000
04/1999,10220.41480492084
05/1999,10195.105662357486
06/1999,10579.43360524098
07/1999,10802.63109075779
08/1999,10875.8288412918
09/1999,10821.87133944993
10/1999,10644.574832906656
11/1999,10783.046319706149
12/1999,10875.8288412918
01/2000,10976.217356506437
02/2000,11232.038194278808
03/2000,11841.153990894009
04/2000,11824.669921077877
05/2000,11829.545972533617
06/2000,11722.426285465928
07/2000,12544.615645555396
08/2000,12940.683850381889
09/2000,13096.169441396745
10/2000,13071.549343552397
11/2000,12418.917987777406
12/2000,12390.455140538621
01/2001,12691.514414285486
02/2001,12838.65222852963
03/2001,12175.208171010298
04/2001,12232.425384407448
05/2001,12533.140400812012
06/2001,12754.588772811356
07/2001,12398.697175446687
08/2001,11933.830505599813
09/2001,10525.714618878765
10/2001,10865.57267566665
11/2001,11322.72734500469
12/2001,11464.962076038735
01/2002,11771.003938155585
02/2002,11592.329342174307
03/2002,11864.422501020315
04/2002,11943.026602426497
05/2002,11451.048673058882
06/2002,10448.568112070472
07/2002,9096.556366508186
08/2002,9021.238478377247
09/2002,7563.8558942475365
10/2002,8274.287501258832
11/2002,8454.737712477541
12/2002,8016.293257432407
01/2003,7854.924284586069
02/2003,7535.499053888597
03/2003,7341.400456889652
04/2003,8517.83830770617
05/2003,9009.604223314092
06/2003,9360.380988726169
07/2003,10173.00322790949
08/2003,10759.221273460647
09/2003,10496.165201121552
10/2003,11556.154494426688
11/2003,11563.256955376404
12/2003,11844.227925392357
01/2004,12507.698749648851
02/2004,12913.731601180916
03/2004,12588.52899553181
04/2004,13183.43960523038
05/2004,12952.26510200512
06/2004,13544.843560347066
07/2004,13288.730938637917
08/2004,12918.31639873428
09/2004,13288.916450677649
10/2004,13384.402147699386
11/2004,13972.263299888162
12/2004,14246.63560665087
01/2005,14938.940037208415
02/2005,15296.209724011087
03/2005,15087.87970339275
04/2005,14544.859461379045
05/2005,15834.512659871625
06/2005,16755.235414778417
07/2005,17739.00576147392
08/2005,17900.90476871949
09/2005,18830.664610133197
10/2005,17979.66788044544
11/2005,18784.127589880583
12/2005,19376.812055102375
01/2006,21212.18867104475
02/2006,22147.59337881029
03/2006,22976.964705009355
04/2006,23217.441311941144
05/2006,21559.705724901545
06/2006,20901.959537173963
07/2006,20855.343011761463
08/2006,21620.368161893704
09/2006,22650.51651852205
10/2006,22950.277473008
11/2006,23268.934153826583
12/2006,24924.576104989213
01/2007,25933.046054688948
02/2007,25693.39100107597
03/2007,27034.934567253415
04/2007,28465.497410781958
05/2007,29295.266262780453
06/2007,29215.231068496345
07/2007,28482.458511557397
08/2007,27259.934169727614
09/2007,27388.732528741115
10/2007,28197.83003916954
11/2007,26145.245326421682
12/2007,26142.939676785027
01/2008,23106.34610186201
02/2008,24099.445053984007
03/2008,23288.068130621676
04/2008,24788.675285025998
05/2008,25668.00235335273
06/2008,23944.5425008083
07/2008,21943.7156471455
08/2008,23008.316239723958
09/2008,18436.63703774375
10/2008,14585.40709292033
11/2008,14193.234640928196
12/2008,14846.025007022956
01/2009,13510.815351916339
02/2009,12210.93248951857
03/2009,11730.64181865403
04/2009,14748.949206803522
05/2009,15226.245183312396
06/2009,15249.116167639279
07/2009,16442.621126111084
08/2009,17816.655800961482
09/2009,19501.370138922015
10/2009,17841.143390206023
11/2009,18816.19467103415
12/2009,19894.947182072116
01/2010,19890.388886238718
02/2010,19593.41061234874
03/2010,21581.569643869887
04/2010,22153.185241722185
05/2010,21263.920028409844
06/2010,21224.352960507134
07/2010,22172.876019653675
08/2010,21596.64912252805
09/2010,23236.78756751313
10/2010,24649.93878102689
11/2010,24619.99157245305
12/2010,26841.20699433393
01/2011,26872.47902388865
02/2011,27280.340494098065
03/2011,27323.538297635514
04/2011,28464.172324783878
05/2011,28844.4720062332
06/2011,28972.475313647854
07/2011,27792.088706557053
08/2011,24320.866924263384
09/2011,22105.296633751528
10/2011,24053.59707845039
11/2011,23896.73339799753
12/2011,23580.72688917511
01/2012,26282.895259902365
02/2012,27637.583679180778
03/2012,28365.0558921274
04/2012,28696.72491744714
05/2012,26893.468386098255
06/2012,27412.61031340934
07/2012,28691.451075174777
08/2012,29196.894528454897
09/2012,29093.269888215746
10/2012,30455.829583339957
11/2012,30776.23537767601
12/2012,31575.129725919214
01/2013,33316.31896410077
02/2013,35250.94452129943
03/2013,35306.28037759651
04/2013,35628.14376653045
05/2013,37350.43754339656
06/2013,36324.42345508224
07/2013,38036.40806288328
08/2013,38125.79836431384
09/2013,39843.401336746756
10/2013,42375.64067908007
11/2013,43288.65143347803
12/2013,43925.1405916244
01/2014,42948.36934917076
02/2014,44765.989812738844
03/2014,43626.28334578914
04/2014,42619.74802164661
05/2014,44923.35437569898
06/2014,44564.17921523107
07/2014,41847.99143464411
08/2014,42628.78510815352
09/2014,42389.39507174015
10/2014,42758.53752908564
11/2014,45011.20996252657
12/2014,44880.26522921337
01/2015,49277.67177089793
02/2015,53247.28198360073
03/2015,54817.82982715578
04/2015,53842.35451880827
05/2015,54194.9572527257
06/2015,52002.92313971176
07/2015,55029.761431516905
08/2015,52151.409626484754
09/2015,51094.62704129499
10/2015,56116.146437903815
11/2015,57226.1709784965
12/2015,55056.31615491845
01/2016,51620.15614813401
02/2016,51471.72001462895
03/2016,54057.36032268494
