Date,MSCI AC Asia Pacific ex-Japan
12/1987,10000
01/1988,10070.142336874052
02/1988,10354.794822485206
03/1988,11382.341738284416
04/1988,11904.163552833079
05/1988,12806.857435897438
06/1988,13606.682522796355
07/1988,14851.699583148558
08/1988,14335.385762220007
09/1988,14034.353506797517
10/1988,14517.431506849316
11/1988,13864.331567850215
12/1988,13937.883130699087
01/1989,15998.779213483147
02/1989,15029.717650195522
03/1989,15412.814279323613
04/1989,16165.926153846154
05/1989,16226.852209815144
06/1989,15985.285173863203
07/1989,16618.419004111467
08/1989,17602.30337724995
09/1989,18405.341347150254
10/1989,17178.694106980965
11/1989,17121.461340482572
12/1989,17177.77789203085
01/1990,16586.928880385956
02/1990,16194.37793646885
03/1990,16352.65016286645
04/1990,15341.722955145115
05/1990,16554.375602238622
06/1990,17176.311856932876
07/1990,17602.05773342837
08/1990,15292.581268927925
09/1990,13616.34121037464
10/1990,13100.019964664309
11/1990,12566.157973733583
12/1990,12901.425613317757
01/1991,13669.413570487483
02/1991,14838.142517814726
03/1991,16674.64888749608
04/1991,18021.0377785113
05/1991,18235.812945308582
06/1991,18670.467678695353
07/1991,19528.464379397203
08/1991,18768.91758409786
09/1991,18240.742045266812
10/1991,18809.384952978056
11/1991,18060.16099420313
12/1991,17987.827371982163
01/1992,18712.63526132404
02/1992,19624.915954415952
03/1992,20065.23198179898
04/1992,20604.347515903053
05/1992,21250.444577837457
06/1992,20653.281341107875
07/1992,19208.096996711727
08/1992,17842.329282712446
09/1992,18266.780279842587
10/1992,19839.039942310614
11/1992,20718.41753477839
12/1992,20778.968525703196
01/1993,21447.461161928306
02/1993,23405.304375000003
03/1993,23815.33922933288
04/1993,24510.601918504548
05/1993,25512.469170707656
06/1993,25632.96653696498
07/1993,27576.36980865885
08/1993,29844.326894713457
09/1993,29270.134630151013
10/1993,34554.32203711696
11/1993,34731.09126041482
12/1993,42127.83088508904
01/1994,41312.87828663793
02/1994,39308.899955273286
03/1994,34620.85624178713
04/1994,36068.791723774375
05/1994,36716.6166437414
06/1994,34766.39411366712
07/1994,35433.48186885246
08/1994,38095.43500738553
09/1994,36732.760155869466
10/1994,36718.969708552315
11/1994,34361.94006788427
12/1994,34396.31860465117
01/1995,30628.01596251717
02/1995,32462.82799616491
03/1995,31162.248425741054
04/1995,30727.79322084966
05/1995,33744.09678751721
06/1995,32969.313622572816
07/1995,33665.388799760105
08/1995,33525.623125048274
09/1995,34251.526073691624
10/1995,33149.87431651906
11/1995,32748.438712664967
12/1995,34689.222218737756
01/1996,37457.02486906841
02/1996,38238.50959297685
03/1996,38423.83365768065
04/1996,40206.17142857142
05/1996,40224.122706179274
06/1996,39246.31097826965
07/1996,36117.65684964201
08/1996,37105.59802916831
09/1996,37954.252242366405
10/1996,37806.360947595116
11/1996,39017.26388976378
12/1996,39754.437826961774
01/1997,41225.92857142857
02/1997,43475.676731947206
03/1997,41945.28217839064
04/1997,41891.557792207794
05/1997,43470.713165952235
06/1997,45563.24347133758
07/1997,47064.52684124385
08/1997,40897.16470588236
09/1997,40114.71263090793
10/1997,31480.558744635193
11/1997,29082.258569051584
12/1997,29228.702886950265
01/1998,28542.69257521391
02/1998,32796.779619939414
03/1998,32565.190841242053
04/1998,30180.0274000183
05/1998,26008.668493150686
06/1998,24107.84575163399
07/1998,23775.012229299362
08/1998,20298.69020389669
09/1998,20996.784933045357
10/1998,23757.703386305016
11/1998,26279.50134406301
12/1998,26424.105188839745
01/1999,27542.458081517918
02/1999,27873.02483209294
03/1999,31216.576913051573
04/1999,36644.297914504095
05/1999,35584.29210022953
06/1999,40558.716460108444
07/1999,38562.04146250234
08/1999,39131.65423247896
09/1999,36768.02717299578
10/1999,38196.848942887205
11/1999,42866.69390908191
12/1999,46331.82870794346
01/2000,46884.03284649168
02/2000,46231.520568252
03/2000,47788.22242227572
04/2000,46432.31042377545
05/2000,41953.11757497581
06/2000,43793.221682712436
07/2000,43176.521324245376
08/2000,44626.733640242535
09/2000,40869.027313177416
10/2000,39362.25372460497
11/2000,37260.08477660065
12/2000,35030.16135411069
01/2001,38824.20949101475
02/2001,37187.54455017301
03/2001,34653.64952445652
04/2001,35493.21543488058
05/2001,37128.1491509434
06/2001,36794.34021226415
07/2001,34185.60123358081
08/2001,32375.89045643154
09/2001,27647.278501807035
10/2001,29694.49608493696
11/2001,33735.467296021576
