Date,MSCI AC Far East ex-Japan
12/1987,10000
01/1988,10632.048254931715
02/1988,11047.187426035502
03/1988,11508.94329495703
04/1988,11959.646554364472
05/1988,12009.815091575094
06/1988,13557.002431610943
07/1988,14523.088390243904
08/1988,13617.595157341073
09/1988,13617.148608985324
10/1988,13977.958640674395
11/1988,13594.859104326559
12/1988,13888.630395136783
01/1989,16169.394943820227
02/1989,16269.476768574477
03/1989,16721.349056097344
04/1989,17928.036923076925
05/1989,17874.591329642488
06/1989,16894.081238058847
07/1989,17600.448021927823
08/1989,17591.26722954166
09/1989,19053.8364955252
10/1989,18045.65945602901
11/1989,18536.47029490617
12/1989,18625.560308483287
01/1990,18065.263849609048
02/1990,18538.21905934499
03/1990,18976.455424705586
04/1990,17969.034746042216
05/1990,19418.845437586177
06/1990,20012.147035766782
07/1990,20588.028937990024
08/1990,16874.618685645062
09/1990,14333.778674351588
10/1990,14798.398409893993
11/1990,13981.21814114591
12/1990,14831.955183995327
01/1991,15677.270487483529
02/1991,17319.94048801555
03/1991,19740.59689752429
04/1991,20592.353969301865
05/1991,21161.746211741094
06/1991,21349.01476405274
07/1991,22103.77814644315
08/1991,21135.146788990827
09/1991,19978.289063274413
10/1991,20261.849529780564
11/1991,20128.632287778924
12/1991,20457.235137628788
01/1992,22047.35372822299
02/1992,23335.09358974359
03/1992,23785.55116600309
04/1992,24450.984185522182
05/1992,25625.02462680673
06/1992,25359.163556851312
07/1992,23518.871421264153
08/1992,22184.83524467555
09/1992,23168.845080891995
10/1992,26300.225747684835
11/1992,27012.359932060826
12/1992,26195.580116391848
01/1993,27553.602719406674
02/1993,29917.51875
03/1993,30086.061042267866
04/1993,31646.619644174792
05/1993,33582.76125585601
06/1993,33660.688969717485
07/1993,35317.837298298204
08/1993,38566.31141714794
09/1993,38462.718812388026
10/1993,46081.85935261113
11/1993,47001.05211841872
12/1993,58401.11928767609
01/1994,55149.668211206896
02/1994,51782.3549154665
03/1994,45195.56515111695
04/1994,47461.94992092778
05/1994,48422.00178817057
06/1994,45518.120348443845
