Date,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped
07/2021,10000
08/2021,9947.861612818464
09/2021,9717.375330106874
10/2021,10300.663537049384
11/2021,11564.714746735774
12/2021,11972.098163375398
01/2022,10765.214022384662
02/2022,10606.617577706204
03/2022,10749.097824491353
04/2022,9638.281190709744
05/2022,10019.643299192872
06/2022,8524.473351964554
07/2022,9858.022996453557
08/2022,9184.380186981109
09/2022,8060.684656936633
10/2022,8219.190961382561
11/2022,9365.261882869556
12/2022,8300.415532889874
01/2023,9444.763929898367
02/2023,9713.333619736319
03/2023,10377.069188654037
04/2023,9534.568043024627
05/2023,11288.124102604383
06/2023,11673.893826655409
07/2023,12025.151420153588
08/2023,11664.132226487767
09/2023,11152.478403178016
10/2023,10590.47241469174
11/2023,12030.446347421808
12/2023,13194.481912493748
01/2024,13789.082747793245
02/2024,15350.449075186372
03/2024,16052.252363060152
04/2024,15205.535661704149
05/2024,16418.909812767597
06/2024,17717.289053583303
07/2024,16438.950891263623
08/2024,15829.930489443348
09/2024,15669.360217789832
10/2024,15396.12147445683
