Date,MSCI ACWI IMI
05/1994,10000
06/1994,9855.608075319053
07/1994,9702.024669687631
08/1994,10032.578486160131
09/1994,9705.44452616344
10/1994,9726.167291863354
11/1994,9396.864768742491
12/1994,9676.816760149884
01/1995,9286.71571941079
02/1995,9238.223673648425
03/1995,9280.119128394652
04/1995,9383.230197081271
05/1995,9589.397702773296
06/1995,9532.323500236726
07/1995,9882.562512624116
08/1995,10006.805036524396
09/1995,10376.979727438129
10/1995,10010.171168920706
11/1995,10315.311603265389
12/1995,10784.317026278277
01/1996,11112.555053337685
02/1996,11266.852476886592
03/1996,11434.295260689436
04/1996,11893.373104252702
05/1996,12067.49413345938
06/1996,11978.513552506332
07/1996,11289.215720701828
08/1996,11359.420424127842
09/1996,11835.264946063275
10/1996,11852.335918396484
11/1996,12227.860053721686
12/1996,12333.261410919795
01/1997,12803.214033136986
02/1997,13496.783875011175
03/1997,13344.572085428701
04/1997,13668.263141227977
05/1997,14561.933484020947
06/1997,15408.383057981244
07/1997,16458.243443151976
08/1997,15935.475477008364
09/1997,16259.50517691481
10/1997,15028.385982938396
11/1997,14767.23267018594
12/1997,15310.644063579695
01/1998,15945.241070414415
02/1998,17037.222863794163
03/1998,17810.368695019377
04/1998,17846.01613306387
05/1998,17218.190342483158
06/1998,17521.890970698096
07/1998,17439.75038838829
08/1998,14816.676795739759
09/1998,14429.099206004536
10/1998,15088.403063654632
11/1998,16395.376717230014
12/1998,17061.275243665645
01/1999,17938.09689458431
02/1999,18006.853937574328
03/1999,19308.044865037085
04/1999,20558.813340311473
05/1999,20206.275178005653
06/1999,21501.727670213797
07/1999,20741.226708515103
08/1999,21025.388115031
09/1999,20722.611997304582
10/1999,22160.906807446794
11/1999,23940.404996542817
12/1999,26088.46409834127
01/2000,25531.632240162417
02/2000,26465.329746833882
03/2000,27978.013220972512
04/2000,27611.639075854815
05/2000,26005.774417898592
06/2000,26459.167955515757
07/2000,26453.02295760565
08/2000,28723.51041172095
09/2000,27652.21433208956
10/2000,27857.94698455679
11/2000,25013.06445272072
12/2000,23839.432207059694
01/2001,24554.589151097443
02/2001,22548.787417794385
03/2001,21919.973952634173
04/2001,23454.19698767549
05/2001,24364.289432489113
06/2001,23697.47360590777
07/2001,22405.18003993572
08/2001,20512.918759067223
09/2001,18543.062484015878
10/2001,19266.246513961378
11/2001,20751.52399471484
12/2001,21231.78591804332
01/2002,21091.65116223697
02/2002,20888.885650271102
03/2002,21760.237330695403
04/2002,20616.468785620473
05/2002,19821.897440433975
06/2002,17518.057190765514
07/2002,16345.248051644045
08/2002,16313.99951457346
09/2002,14580.409911478699
10/2002,15528.439946766459
11/2002,16262.342527876554
12/2002,14705.421362019035
01/2003,13849.653237741833
02/2003,13648.844742586429
03/2003,13471.90020428387
04/2003,14332.490596747519
05/2003,14343.264678146057
06/2003,15133.22190890568
07/2003,15638.808210871848
08/2003,16630.12714437692
09/2003,15705.007514631367
10/2003,16723.37961398727
11/2003,16465.54072712061
12/2003,16550.41519695079
01/2004,17222.877867072395
02/2004,17515.23623866662
03/2004,17769.00931784673
04/2004,17699.881497612856
05/2004,17471.334489219782
06/2004,17919.51072635897
07/2004,17472.20962780748
08/2004,17461.698749844563
09/2004,17432.169148527602
10/2004,17395.77698457545
11/2004,17608.69146260181
12/2004,17866.74794730403
01/2005,18295.643574405793
02/2005,18608.728415080892
03/2005,18611.859929200255
04/2005,18175.30500539993
05/2005,19509.114548230355
06/2005,20155.847501932836
07/2005,20939.014867955742
08/2005,20907.680724828075
09/2005,21786.463553310456
10/2005,21235.45951245468
11/2005,22488.33196160946
12/2005,23010.65098586898
01/2006,23570.016349508514
02/2006,24008.77497792188
03/2006,24108.649860749734
04/2006,24022.114616067298
05/2006,22467.680357230853
06/2006,22704.179658394285
07/2006,22698.90246578957
08/2006,23132.987715599633
09/2006,23738.40523320391
10/2006,24575.214335394863
11/2006,24343.995985228867
12/2006,24929.816966277773
01/2007,25623.532345507254
02/2007,25036.72981142489
03/2007,25344.298992806787
04/2007,25883.80715134115
05/2007,26981.79943020986
06/2007,26784.856696864565
07/2007,25969.147070884865
08/2007,25849.778424929063
09/2007,26265.17998093831
10/2007,26801.8046978549
11/2007,25019.240122078612
12/2007,24793.130063037268
01/2008,22524.694078465684
02/2008,22172.95630225345
03/2008,20942.983028557355
04/2008,22469.519932049538
05/2008,22924.840967066608
06/2008,20692.835415851496
07/2008,20372.054027339374
08/2008,21152.177114355625
09/2008,19028.387102271405
10/2008,17018.635555380788
11/2008,15905.136330354606
12/2008,15120.406161590696
01/2009,15035.658887584517
02/2009,13747.942450493356
03/2009,14146.722306379306
04/2009,15941.175834165037
05/2009,16512.625555758455
06/2009,16408.00628478854
07/2009,17856.207240844513
08/2009,18361.727531481185
09/2009,18751.532714400175
10/2009,18223.621442652005
11/2009,18659.585257595823
12/2009,19926.216044539397
01/2010,19710.205001534465
02/2010,20563.66012868928
03/2010,22071.19511127867
04/2010,22480.769427208448
05/2010,22009.135792969846
06/2010,21368.942159098908
07/2010,21753.090031233718
08/2010,21554.449521827843
09/2010,21994.199857953867
10/2010,22456.02525949533
11/2010,23482.059256180288
12/2010,24564.887881109695
01/2011,24311.005197771727
02/2011,24768.93730441368
03/2011,24147.86618021167
04/2011,24024.2113180467
05/2011,24283.205526175967
