Date,MSCI ACWI Select ESG Screened
11/2021,10000
12/2021,10277.0160497532
01/2022,9873.547399029358
02/2022,9566.573879569936
03/2022,9858.646274201394
04/2022,9537.59947018223
05/2022,9391.899582975464
06/2022,8827.985140267185
07/2022,9702.494903608349
08/2022,9446.174860560655
09/2022,8769.26022124031
10/2022,9169.107070790691
11/2022,9498.794457609405
12/2022,8778.469944224262
01/2023,9279.468526547802
02/2023,9249.718016908637
03/2023,9309.322516220494
04/2023,9274.863665055827
05/2023,9546.602233099124
06/2023,9881.463621594214
07/2023,10127.228701222099
08/2023,10002.328300754369
09/2023,9809.338038225524
10/2023,9518.507403996398
11/2023,10116.984177902874
12/2023,10486.71833769674
01/2024,10731.034696855244
02/2024,11230.63629872616
03/2024,11580.295332015687
04/2024,11287.912497283649
05/2024,11578.225731345137
06/2024,12033.58961888304
07/2024,12089.675797054959
08/2024,12118.339766342084
09/2024,12317.745790949637
10/2024,12379.6268509991
