Date,MSCI ACWI Semiconductors & Semiconductor Equipment ESG Filtered
10/2012,10000
11/2012,10679.027423174246
12/2012,10629.830194689752
01/2013,10349.14140946126
02/2013,10787.754621832031
03/2013,10891.107965681127
04/2013,11035.879567169051
05/2013,11217.689134516499
06/2013,10930.454307920116
07/2013,10790.854015760819
08/2013,10815.19400172968
09/2013,10822.887878736945
10/2013,11254.805092549133
11/2013,11066.743065865883
12/2013,11091.619597743464
01/2014,10960.017211756862
02/2014,10883.939926649551
03/2014,11211.472287655832
04/2014,11276.775169116818
05/2014,11909.949503525326
06/2014,12448.26483710325
07/2014,12748.253789223696
08/2014,13417.207553591827
09/2014,13010.928065264292
10/2014,13446.562316976535
11/2014,13705.78047138203
12/2014,13813.243457129787
01/2015,14964.48381476628
02/2015,15606.796850151579
03/2015,16177.435211859316
04/2015,16205.817026874325
05/2015,16532.937926759623
06/2015,15753.151186617255
07/2015,14726.671291556657
08/2015,13364.513292384365
09/2015,13059.078304988816
10/2015,13931.648474762864
11/2015,14081.095098016636
12/2015,13584.02810836205
01/2016,13011.594684121394
02/2016,13487.753468523819
03/2016,13948.610289061426
04/2016,13140.794454644389
05/2016,13756.555446120963
06/2016,14408.987725535579
07/2016,15265.04884192836
08/2016,15608.620117009994
09/2016,15911.724027094466
10/2016,16545.047784321832
11/2016,16703.119212195896
12/2016,16584.10630451126
01/2017,16987.922668085233
02/2017,18084.146282164813
03/2017,18280.994027848108
04/2017,18324.128399154517
05/2017,18174.14566927244
06/2017,18646.222507213628
07/2017,18536.42303932517
08/2017,18662.777429364083
09/2017,18139.337683348665
10/2017,19575.727874918844
11/2017,18490.972243878474
12/2017,18578.032732690008
01/2018,19268.162411616926
02/2018,19019.340694553608
03/2018,19171.353733948385
04/2018,18622.87578227708
05/2018,19243.95410624263
06/2018,18918.113748139844
07/2018,19847.52411527175
08/2018,20165.046088663883
09/2018,20260.204194485672
10/2018,18318.98901737971
11/2018,18196.088939093297
12/2018,17766.619911728558
01/2019,18009.179110586098
02/2019,19017.233992009067
03/2019,19718.180064217293
04/2019,20539.45035103441
05/2019,19049.133585907668
06/2019,19609.346762971658
07/2019,20704.60443334665
08/2019,20466.119517223204
09/2019,21456.7928070635
10/2019,22768.1049673381
11/2019,23390.818383503574
12/2019,24679.94824738551
01/2020,23824.58009057395
02/2020,23579.17769391683
03/2020,20433.83710567146
04/2020,23359.477313979987
05/2020,22421.613154562074
06/2020,24232.21963807112
07/2020,26762.010467689368
08/2020,25903.70669141474
09/2020,26874.742513782192
10/2020,27425.87289153253
11/2020,29278.761884352432
12/2020,31483.566243214875
01/2021,33426.69628087184
02/2021,35182.60231588836
03/2021,36737.14306863625
04/2021,38764.29300773142
05/2021,37715.9144363088
06/2021,39281.23049058945
07/2021,38480.46415088188
08/2021,40162.59041694517
09/2021,39362.96236470673
10/2021,39559.15868667622
11/2021,42438.36833342977
12/2021,42537.238769854004
01/2022,43436.62230939944
02/2022,42713.511118450304
03/2022,43624.1200593947
04/2022,38354.69066273015
05/2022,39799.39653282275
06/2022,33563.44445507904
07/2022,39174.94694930047
08/2022,36015.69790067248
09/2022,31316.421072594156
10/2022,32148.065116479844
11/2022,37132.0968857721
12/2022,32496.045905817646
01/2023,37415.730800019955
02/2023,39002.27188092898
03/2023,42117.3922596084
04/2023,39030.62008726929
05/2023,47811.54949684268
06/2023,49600.05666411264
07/2023,51584.89859591885
08/2023,51231.195251789424
09/2023,48269.58096426558
10/2023,46244.07944261056
11/2023,51828.459629668825
12/2023,56287.51782861744
01/2024,61717.4820440586
02/2024,71650.23866406048
03/2024,77078.43795064767
04/2024,73740.46253491267
05/2024,82322.37299088093
06/2024,91677.36626414269
07/2024,85786.39611679096
08/2024,83750.75899498347
09/2024,84001.45760409048
10/2024,86622.19428224575
