Date,MSCI Canada
12/1978,10000
01/1979,10376.128841499532
02/1979,10674.581110527275
03/1979,11749.663210396911
04/1979,12210.028514106005
05/1979,12672.743022786202
06/1979,13397.545898614304
07/1979,12307.94807219246
08/1979,13602.173536257025
09/1979,14329.00148643321
10/1979,12909.879985096999
11/1979,14003.792746111065
12/1979,14578.403616811338
01/1980,16545.875655381707
02/1980,18927.85719437893
03/1980,15541.27333861991
04/1980,16263.342722991752
05/1980,16910.4729454122
06/1980,17875.740385532434
07/1980,18378.980194488773
08/1980,19054.311198092786
09/1980,18891.907217833832
10/1980,18801.524835488075
11/1980,20242.040040812033
12/1980,19670.532336001015
01/1981,19550.62336905601
02/1981,20417.413353158565
03/1981,22000.91658989114
04/1981,22111.26257368444
05/1981,24305.299691264277
06/1981,25237.562493601567
07/1981,24254.940314232772
08/1981,24971.130507995524
09/1981,20372.017751464773
10/1981,19276.337901217037
11/1981,21589.475069699027
12/1981,20822.391951881804
01/1982,19279.730416805203
02/1982,18377.644388174227
03/1982,17590.32964500307
04/1982,17712.760459778205
05/1982,16756.766958347078
06/1982,15327.655072473295
07/1982,16670.596258440197
08/1982,19769.615736867665
09/1982,19695.41381887848
10/1982,22186.62424774196
11/1982,22886.49919741726
12/1982,23930.503368936686
01/1983,24491.44847693449
02/1983,25848.19389717099
03/1983,26625.645862565016
04/1983,29820.35346934277
05/1983,30737.13883970552
06/1983,32347.317605673376
07/1983,32959.877227442026
08/1983,34187.201964301814
09/1983,34675.15689052419
10/1983,32114.10469694312
11/1983,35845.3871287627
12/1983,36743.40468737852
01/1984,35763.00609849665
02/1984,34296.643324968
03/1984,32071.236295689872
04/1984,31774.597226023965
05/1984,31530.7964173831
06/1984,30920.91045470866
07/1984,31125.559076195696
08/1984,36062.04053634757
09/1984,37407.48646017404
10/1984,37389.4914258786
11/1984,36429.130236504956
12/1984,38474.898336989
01/1985,42554.17229493947
02/1985,42287.801844422174
03/1985,43457.54679087862
04/1985,40657.100188747165
05/1985,42216.9734136163
06/1985,41229.40240257751
07/1985,41072.29354506368
08/1985,39218.87634233765
09/1985,37338.72457261187
10/1985,35658.77521850397
11/1985,37223.101982413275
12/1985,36467.98964667486
01/1986,34156.66219987253
02/1986,33193.57567973931
03/1986,35162.77310240966
04/1986,35992.47320034123
05/1986,35805.37741874859
06/1986,35250.67920078386
07/1986,32620.072552485108
08/1986,32927.87687044377
09/1986,32427.854212195256
10/1986,32757.278696065703
11/1986,33432.50387093523
12/1986,33519.712918043784
01/1987,35949.3023118955
02/1987,37017.61884163978
03/1987,40424.58503893407
04/1987,38858.49183569563
05/1987,38194.63263070435
06/1987,40077.46694619166
07/1987,44095.40705865819
08/1987,44429.242627026215
09/1987,42657.39273454282
10/1987,33003.794694810036
11/1987,30230.439486285864
12/1987,31510.06462436599
01/1988,31410.06806653377
02/1988,34451.904312468716
03/1988,35526.48990376249
04/1988,35882.006219037234
05/1988,34890.62408564329
06/1988,39237.15974568844
07/1988,40441.20230974692
08/1988,39187.47554177337
09/1988,39736.972623327
10/1988,40037.19082661448
11/1988,38282.199736236675
12/1988,39412.282074351024
01/1989,44350.95356963619
02/1989,43473.72622843318
03/1989,44252.2780417413
04/1989,45676.69034606543
05/1989,47975.03400866153
06/1989,49998.36097335112
07/1989,51509.98404567083
08/1989,53115.661440159456
09/1989,53066.902153973126
10/1989,51071.26253694865
11/1989,50843.71799535761
12/1989,49718.76044658458
01/1990,43810.79802443938
02/1990,43308.99853811082
03/1990,44449.55189172935
04/1990,40583.966899673585
05/1990,42846.968346970556
06/1990,42967.36625525827
07/1990,42517.762835033034
08/1990,38564.8762282851
09/1990,36904.51514214897
10/1990,34707.357208190406
11/1990,34928.613232088624
12/1990,36857.19720254749
01/1991,36933.876417402804
02/1991,38736.84899795561
03/1991,42082.49371300239
04/1991,44803.773089696544
05/1991,47023.55337372019
06/1991,47576.9038148757
07/1991,48398.86523848708
08/1991,47879.93408077034
09/1991,45344.11276847526
10/1991,47291.208418745555
11/1991,44384.76560490132
12/1991,43113.65049258954
01/1992,43993.946633562715
02/1992,44592.83307143959
03/1992,43265.67191752505
04/1992,42294.68102423447
05/1992,41700.02099120946
06/1992,40637.597495764225
07/1992,39575.68952732528
08/1992,37732.75678890547
09/1992,35747.59137323345
10/1992,38161.34336419206
11/1992,38826.04593782837
12/1992,39815.60938575616
01/1993,39809.1093556151
02/1993,43067.91767367439
03/1993,44434.749659341825
04/1993,44425.43575528304
05/1993,45170.77537366198
06/1993,46152.65822994757
07/1993,47754.861253186406
08/1993,48469.104087436186
09/1993,44248.88280136194
10/1993,48952.816009456066
11/1993,49110.14880823299
12/1993,51314.32075351431
01/1994,55288.970943223714
02/1994,52386.25321001659
03/1994,49075.51868281177
04/1994,48664.43360177703
05/1994,48189.86822077855
06/1994,44332.47761185294
07/1994,44941.9053395526
08/1994,47533.855886711004
09/1994,48067.59104465821
10/1994,46555.866937736
11/1994,44623.99915012169
12/1994,46309.5677876301
01/1995,43042.59884082418
02/1995,44910.682164542406
03/1995,44996.46371149669
04/1995,44901.67002049068
05/1995,47488.2100402691
06/1995,47895.37842049948
07/1995,48175.620329596364
08/1995,49665.22147015962
09/1995,50067.26829174947
10/1995,48870.60728150938
11/1995,50797.31417588788
12/1995,52086.955449566165
01/1996,55453.952109690545
02/1996,55275.441089367625
03/1996,56320.904741090904
