Date,MSCI China A Inclusion
08/2017,10000
09/2017,9994.649055564967
10/2017,10619.008506616257
11/2017,10370.442168115453
12/2017,10463.601642624866
01/2018,11068.710704824598
02/2018,10475.96829457999
03/2018,10076.462462462463
04/2018,9841.39761155725
05/2018,10046.913796050945
06/2018,9081.23078572654
07/2018,8895.068081117928
08/2018,8451.003025491373
09/2018,8770.204928299932
10/2018,8110.2072804382415
11/2018,8153.347389735012
12/2018,7862.902074235808
01/2019,8560.721513753482
02/2019,9774.083435529083
03/2019,10412.830818869606
04/2019,10514.44678195757
05/2019,9585.0686485517
06/2019,10014.39299209139
07/2019,10306.116872926197
08/2019,10001.822014316784
09/2019,10181.92336302691
10/2019,10269.356262327417
11/2019,10311.91253869969
12/2019,10912.788721737583
01/2020,10891.946299312343
02/2020,10918.804477543958
03/2020,10160.994979919682
04/2020,10940.930121368152
05/2020,10473.566877693967
06/2020,11500.95825147348
07/2020,12503.111052498312
08/2020,13001.973743718596
09/2020,12684.908182439358
10/2020,13111.891156607968
11/2020,13595.137353923206
12/2020,14306.737062994052
01/2021,15011.58221407383
02/2021,14805.385838627177
03/2021,14345.979061833687
04/2021,14515.613246978977
05/2021,15274.660990902388
06/2021,15454.978479468196
07/2021,14430.706521739132
08/2021,14662.57032702383
09/2021,15168.873888073236
10/2021,15390.321275225419
11/2021,15727.239593417231
12/2021,15996.815314321033
01/2022,14811.60747579778
02/2022,15135.060250915263
03/2022,13947.098031708856
04/2022,13269.344093927893
05/2022,13417.020512461497
06/2022,15159.611292962358
07/2022,14484.001642478917
08/2022,14221.47815
09/2022,13204.745075913008
10/2022,11750.416859995968
11/2022,12685.708654587512
12/2022,12586.407603600228
01/2023,13571.810001846212
02/2023,13233.710613052077
03/2023,12920.913816091957
04/2023,12533.01393315727
05/2023,11851.299915754002
06/2023,11553.12076661145
07/2023,12155.977705706251
08/2023,11348.735829959514
09/2023,11433.370823107423
10/2023,10967.194745267918
11/2023,10803.556262007136
12/2023,10512.093257918552
01/2024,9825.574397896096
02/2024,10817.384606502863
03/2024,10820.339862177414
04/2024,11181.057146855755
05/2024,10944.194411168448
06/2024,10700.13928070995
07/2024,10670.533593461398
08/2024,10254.185216920718
09/2024,12425.776750625226
10/2024,12184.16182687006
