Date,MSCI China A
11/2008,10000
12/2008,8909.369718691962
01/2009,10484.778632728374
02/2009,11085.469678662477
03/2009,11995.35880957998
04/2009,12644.317252018514
05/2009,12353.131961801964
06/2009,14396.15631356663
07/2009,16995.700166353923
08/2009,12738.523559275782
09/2009,13202.901347144165
10/2009,14094.254048013065
11/2009,14740.579249697244
12/2009,15685.645940624741
01/2010,14263.937118567754
02/2010,14936.369067970738
03/2010,15347.700622754099
04/2010,14194.088378520675
05/2010,13866.608186303501
06/2010,13132.630742323525
07/2010,13782.691963124253
08/2010,14067.377194790663
09/2010,13394.660833650902
10/2010,15279.006031330651
11/2010,15030.454237341879
12/2010,14839.052648370029
01/2011,14379.02776695936
02/2011,14820.455568436513
03/2011,14493.496984367212
04/2011,13927.766332312933
05/2011,13633.252285314113
06/2011,13944.047218053609
07/2011,13793.686514989839
08/2011,13115.316649913473
09/2011,12859.626279456774
10/2011,13058.326402705632
11/2011,12709.120655305394
12/2011,12672.977482324384
01/2012,13079.485854458166
02/2012,13583.684976698532
03/2012,12768.012520063561
04/2012,13757.825156845323
05/2012,14493.413141570774
06/2012,13653.412290347593
07/2012,13421.759842421488
08/2012,12370.256508691806
09/2012,12689.023443067323
10/2012,12546.048665673365
11/2012,12040.532997113325
12/2012,13840.920600527528
01/2013,14236.345787654507
02/2013,14571.182830262112
03/2013,13995.503040201369
04/2013,13555.724172167882
05/2013,14478.550863556153
06/2013,12403.979037605086
07/2013,12302.425961863955
08/2013,13023.950322653254
09/2013,13283.828303084574
10/2013,13011.39756930357
11/2013,13430.762901543661
12/2013,12760.643723162988
01/2014,12290.489142377153
02/2014,11696.752938931786
03/2014,11428.987845152387
04/2014,11352.091459204159
05/2014,11567.510584025542
06/2014,11750.01943182787
07/2014,13251.393483323738
08/2014,13420.123003600642
09/2014,14696.51257242174
10/2014,15217.771303526817
11/2014,16935.485298718017
12/2014,21502.793962074375
01/2015,22349.89087860994
02/2015,23315.92821502619
03/2015,28037.765365773404
04/2015,31951.244271213676
05/2015,33307.2620625755
06/2015,30218.223942555192
07/2015,26391.931122975646
08/2015,22162.194682461435
09/2015,21099.997518458385
10/2015,24041.9680980996
11/2015,24964.530126953174
12/2015,24774.292267786295
01/2016,19038.580002303734
02/2016,18839.063887114204
03/2016,20449.298321207545
04/2016,19873.565788660166
05/2016,20017.18908216957
06/2016,20101.05853943086
07/2016,20782.74713770615
08/2016,21382.675500448688
09/2016,20810.02016525393
10/2016,21462.774658351333
11/2016,22938.89980657409
12/2016,21634.419341329074
01/2017,21937.425872578297
02/2017,22779.147662027295
03/2017,22530.54757168164
04/2017,22007.450694364376
05/2017,21821.13872071085
06/2017,22788.477930573023
07/2017,23076.252900832853
08/2017,23830.554377922468
09/2017,23935.401031178924
10/2017,25271.516105696915
11/2017,24495.005649530023
12/2017,24688.79825216829
01/2018,25828.161948004912
02/2018,24547.868619919307
03/2018,23743.810889764016
04/2018,23137.83878351566
05/2018,23575.588856169776
06/2018,21203.875404063117
07/2018,20682.06119738767
08/2018,19521.45390422761
09/2018,20152.208481342735
10/2018,18547.57576406636
11/2018,18710.093373141583
12/2018,18020.24930002131
01/2019,19539.15694107636
02/2019,22420.809254168304
03/2019,24046.399037235864
04/2019,24121.332625389114
05/2019,22034.2396097163
06/2019,22926.123829960234
07/2019,23554.222508062376
08/2019,22927.48140770461
09/2019,23370.039355900342
10/2019,23513.51559411815
11/2019,23622.553645770287
12/2019,24999.05496006865
01/2020,24951.309165249335
02/2020,25012.83083415476
03/2020,23276.859485085686
04/2020,25063.538257964876
05/2020,23992.891629282898
06/2020,26346.431341651172
07/2020,28642.172556575515
08/2020,29784.969190475942
09/2020,29058.636911038106
10/2020,30036.77689058703
11/2020,31143.80218015316
12/2020,32773.9284042224
01/2021,34388.5917992138
02/2021,33916.229257438776
03/2021,32863.8317021688
04/2021,33252.439394496476
05/2021,34991.25810695915
06/2021,35404.32711469968
07/2021,33057.91453154567
08/2021,33589.07770151906
09/2021,34748.909863511246
10/2021,35256.198302988945
11/2021,36028.664433772225
12/2021,36645.56839121163
01/2022,33930.486153007136
02/2022,34671.46259443248
03/2022,31950.063484559705
04/2022,30397.459600417136
05/2022,30735.759445069038
06/2022,34727.69463364
07/2022,33180.02076309021
08/2022,32578.63517183971
09/2022,30249.46786665426
10/2022,26917.888868260437
11/2022,29060.480516527343
12/2022,28832.98595614871
01/2023,31090.35524203822
02/2023,30315.851881690458
03/2023,29599.271964210286
04/2023,28710.690601532173
05/2023,27149.011494059072
06/2023,26465.93594743972
07/2023,27846.960324415617
08/2023,25997.723770445755
09/2023,26191.62299656021
10/2023,25123.686216834336
11/2023,24748.84235038856
12/2023,24081.135454144503
01/2024,22508.468512937114
02/2024,24780.50753459353
03/2024,24787.276624768117
04/2024,25613.604336897843
05/2024,25071.004127477103
06/2024,24511.91993479693
07/2024,24444.100121610176
08/2024,23490.320716052964
09/2024,28465.0249243064
10/2024,27911.533735043147
