Date,MSCI China
12/1992,10000
01/1993,10081.115451174288
02/1993,11370.53675675676
03/1993,10202.857205907316
04/1993,9312.321324915963
05/1993,8776.62582395003
06/1993,8613.51575029606
07/1993,7916.945454545455
08/1993,9329.510297645493
09/1993,9561.515638597391
10/1993,10609.377125593439
11/1993,11791.781492643146
12/1993,14654.46793656419
01/1994,12880.167456896552
02/1994,12140.03191698721
03/1994,9719.308804204995
04/1994,9524.657353716395
05/1994,9751.458940852819
06/1994,8551.5799729364
07/1994,9255.675737704918
08/1994,9799.322501230921
09/1994,9822.070336093522
10/1994,9262.448829431438
11/1994,8175.478390172942
12/1994,7308.825828797625
01/1995,6170.708651748929
02/1995,6802.820709491849
03/1995,6549.122285363231
04/1995,5748.562759867431
05/1995,6879.358145938505
06/1995,6742.195722087378
07/1995,6996.269075642851
08/1995,6788.785015833785
09/1995,6576.72020652429
10/1995,6073.189464767039
11/1995,5657.681129891179
12/1995,5481.217938063504
01/1996,6397.370544358038
02/1996,6624.894972067039
03/1996,6316.252352847344
04/1996,6033.041795366794
05/1996,6386.441911585118
06/1996,6437.657613700621
07/1996,6118.185298329357
08/1996,6043.11486007095
09/1996,6024.955438931298
10/1996,5895.277243359655
11/1996,6491.598141732283
12/1996,7734.765295774648
01/1997,7768.707738095237
02/1997,8345.843154171338
03/1997,8198.690521906092
04/1997,9332.19656019656
05/1997,9198.63773948036
06/1997,9510.044692144373
07/1997,11113.201309328968
08/1997,12104.381595436269
09/1997,9826.95758127675
10/1997,8081.624034334762
11/1997,6482.542289167178
12/1997,6460.500620559402
01/1998,4927.969417609716
02/1998,6661.889837510327
03/1998,6513.852870174146
04/1998,5803.415685915622
05/1998,4964.967447728912
06/1998,4221.2599128540305
07/1998,3465.736050955414
08/1998,2516.6677299501584
09/1998,3435.9422203023755
10/1998,3638.5147183625927
11/1998,3862.7415461005053
12/1998,3521.642021095611
01/1999,2960.7378425860857
02/1999,2929.507242693774
03/1999,3413.068776764104
04/1999,4328.623874681513
05/1999,4397.526587605203
06/1999,6537.226800929513
07/1999,5524.941387694034
08/1999,5543.587439704909
09/1999,5275.935864978903
10/1999,4948.326566535923
11/1999,5025.137090224819
12/1999,4670.596257216802
01/2000,4583.111428863242
02/2000,3771.460407659048
03/2000,3922.8292682926826
04/2000,4514.247969179966
05/2000,4487.193937439535
06/2000,4952.03670992047
07/2000,5022.820512820512
08/2000,5000.75517628565
09/2000,4463.094900171135
10/2000,4430.813448972318
11/2000,3722.7125748502995
12/2000,3502.718624395486
01/2001,4015.80768320241
02/2001,3667.1849480968863
03/2001,3217.11222826087
04/2001,3526.075754844525
05/2001,3791.405235849056
06/2001,3916.438301886793
07/2001,3279.6045231296403
08/2001,2456.7025551430443
09/2001,2380.0958493045664
10/2001,2464.8220305242203
11/2001,2748.869858395145
12/2001,2784.6475887892884
01/2002,2574.8141715873567
02/2002,2591.3841174430704
03/2002,2714.635763411279
04/2002,2744.0074156305504
05/2002,2673.5487376158517
06/2002,2431.3615639097743
07/2002,2370.8257589696414
08/2002,2312.8455608664704
09/2002,2122.8143610547663
10/2002,2134.1198296836983
11/2002,2208.315382290722
12/2002,2011.467531229141
01/2003,2043.507581360947
02/2003,1998.8892598775735
03/2003,1901.9607893529144
04/2003,1864.0806037193427
05/2003,1979.3944171882931
06/2003,2179.039747965345
07/2003,2418.1040113094186
08/2003,2671.296751166834
09/2003,2524.51658084449
10/2003,2915.6488384099125
11/2003,2853.5851925962984
12/2003,3132.6726840855113
01/2004,3174.321124031008
02/2004,3362.6972459333224
03/2004,3128.221335078534
04/2004,2782.5867581819703
