Date,MSCI EM ESG Enhanced Focus CTB
05/2013,10000
06/2013,9315.408292048929
07/2013,9236.797517137476
08/2013,9104.986157914622
09/2013,9521.162440577564
10/2013,9848.538690711825
11/2013,9691.146991404012
12/2013,9459.108852149953
01/2014,9010.25387836638
02/2014,9146.448549916746
03/2014,9482.211636205395
04/2014,9509.123263537906
05/2014,9949.508754317629
06/2014,10217.042420559379
07/2014,10609.791047163464
08/2014,11034.172845010615
09/2014,10737.149140904396
10/2014,10963.941689556052
11/2014,10922.393581671073
12/2014,10753.790583971666
01/2015,11674.210910216718
02/2015,12125.942761565833
03/2015,12469.283396226414
04/2015,12873.806157824345
05/2015,12643.242860528715
06/2015,12110.295878094557
07/2015,11533.1804942099
08/2015,10246.953663843067
09/2015,10008.234835311969
10/2015,10924.626811291639
11/2015,10961.774973059837
12/2015,10437.473289244052
01/2016,9758.120717948717
02/2016,9783.216407053636
03/2016,10634.82970223979
04/2016,10634.19285451197
05/2016,10454.111793078715
06/2016,10970.072484237073
07/2016,11539.5860811662
08/2016,11788.597741645706
09/2016,11877.003221933517
10/2016,12128.980206468115
11/2016,11877.419178185239
12/2016,12053.407048667106
01/2017,12458.478237099025
02/2017,13065.09586675474
03/2017,13292.94464689926
04/2017,13242.321280878314
05/2017,13301.054572676232
06/2017,13203.335164738872
07/2017,13576.458442909523
08/2017,13768.520057505284
09/2017,13734.792080298152
10/2017,14391.15352809761
11/2017,14254.516727149969
12/2017,14664.88585674977
01/2018,15312.364619089669
02/2018,14919.492043556573
03/2018,14512.029564158753
04/2018,14649.230951237683
05/2018,14475.58128045132
06/2018,13910.406761022474
07/2018,14166.444170074985
08/2018,13941.559054158442
09/2018,13964.3947926745
10/2018,13075.62657183248
11/2018,13627.526271678846
12/2018,13206.65588646288
01/2019,14315.555210654595
02/2019,14420.41389278206
03/2019,14727.688785046726
04/2019,15092.525056159744
05/2019,14133.314965473946
06/2019,14661.316363796135
07/2019,14822.057953546768
08/2019,14237.845918811165
09/2019,14684.847780328771
10/2019,14925.778416711493
11/2019,15134.391278455652
12/2019,15864.08991810575
01/2020,15394.281471226925
02/2020,14656.554646989161
03/2020,12334.43882256298
04/2020,13561.266272526662
05/2020,13336.580845905175
06/2020,14319.991603857832
07/2020,14829.419684334905
08/2020,15047.97467839196
09/2020,15124.229499487528
10/2020,15505.74697384168
11/2020,16508.03377462437
12/2020,17372.73455790074
01/2021,18131.538569545155
02/2021,18148.118085966504
03/2021,18543.572107462685
04/2021,18430.832526071845
05/2021,18745.31189902467
06/2021,19338.06368731067
07/2021,18068.48514674964
08/2021,18688.459219198918
09/2021,18295.035528111235
10/2021,18395.186040360666
11/2021,18082.700895890168
12/2021,18428.718838071694
01/2022,18350.56131588383
02/2022,17671.05326011251
03/2022,17514.574831096295
04/2022,17322.350825426947
05/2022,17082.74302249603
06/2022,16402.272669683258
07/2022,16621.675652088645
08/2022,16927.465072
09/2022,15267.093366844481
10/2022,14623.576973976196
11/2022,16019.365855821121
12/2022,15299.597003562722
01/2023,16292.08902058525
02/2023,15482.357587343442
03/2023,15581.33151448276
04/2023,15185.159386212546
05/2023,15447.945590190018
06/2023,15765.603648076569
07/2023,16509.986069128183
08/2023,15639.320080971658
09/2023,15561.886477251275
10/2023,15004.899353988132
11/2023,15681.885446894155
12/2023,16086.209214479639
01/2024,15527.390181784624
02/2024,16245.173973766858
03/2024,16595.865327906762
04/2024,16750.55821235305
05/2024,16667.838580906744
06/2024,17613.829586174685
07/2024,17565.246813816033
08/2024,17489.321991521603
09/2024,18517.077591997142
10/2024,18139.19880536666
