Date,MSCI EMU High Dividend Yield
06/1995,10000
07/1995,10354.099010798594
08/1995,10011.11237817225
09/1995,10343.844725290845
10/1995,10295.100968494058
11/1995,10695.745043527731
12/1995,11396.308613410843
01/1996,11766.541465238462
02/1996,12085.541861244817
03/1996,12155.769702788579
04/1996,12506.448145601717
05/1996,12955.868409206761
06/1996,13029.772206238711
07/1996,12589.165104110936
08/1996,12700.331923448624
09/1996,13204.295887311975
10/1996,13647.618241025088
11/1996,14292.670582198843
12/1996,15004.465823913093
01/1997,15575.915006337156
02/1997,16356.068047389657
03/1997,17102.31614380088
04/1997,16919.748655237177
05/1997,17708.392085756317
06/1997,18626.5952199449
07/1997,20643.62782434202
08/1997,19637.521175343223
09/1997,21202.09915513079
10/1997,19747.23306034076
11/1997,19551.35806858601
12/1997,21105.21520418138
01/1998,21897.597361893146
02/1998,23368.67314622695
03/1998,25601.24007610935
04/1998,26272.94247589891
05/1998,26888.533254233003
06/1998,27562.16861237871
07/1998,27814.935542248335
08/1998,23963.449909672072
09/1998,22116.552810369303
10/1998,22857.709944041493
11/1998,24437.27728981618
12/1998,25276.12973145848
01/1999,25384.285872089786
02/1999,25566.180572441695
03/1999,27146.960228909826
04/1999,29094.296861923434
05/1999,28353.99748404591
06/1999,29292.6033417775
07/1999,28507.91565609154
08/1999,29286.60414016782
09/1999,28460.890694323243
10/1999,29851.816930734498
11/1999,30222.238404794243
12/1999,32986.123417768285
01/2000,29695.143378256435
02/2000,31255.66562665385
03/2000,32311.617027168388
04/2000,32711.36475578069
05/2000,32643.412876268303
06/2000,32863.58192118758
07/2000,33956.55363660887
08/2000,35019.48349979311
09/2000,34656.067444589746
10/2000,35963.73046153345
11/2000,34952.825430363635
12/2000,35346.33199268017
01/2001,35753.44698509009
02/2001,34458.0092084882
03/2001,33645.096768531956
04/2001,35399.99435137579
05/2001,35930.004411256654
06/2001,35226.7797335324
07/2001,34662.04476832316
08/2001,32582.81507004124
09/2001,28802.776623861413
10/2001,29524.73488117859
11/2001,30729.44842565221
12/2001,31907.45726888608
01/2002,31628.940482424354
02/2002,31817.84803546705
03/2002,33752.8499374277
04/2002,32851.209518569056
05/2002,32145.256294269868
06/2002,29772.791536595087
07/2002,25870.617321085938
08/2002,26227.26962190588
09/2002,21789.466563958715
10/2002,23774.241201187528
11/2002,24961.153682119544
12/2002,23270.534078530414
01/2003,21804.646238815265
02/2003,20824.32066618131
03/2003,19731.80672778996
04/2003,22048.06161437698
05/2003,22647.28471841596
06/2003,24005.96242282696
07/2003,24688.44266521386
08/2003,25463.284836518174
09/2003,23703.137707463007
10/2003,25152.668228601473
11/2003,25612.153374947764
12/2003,27031.667081369837
01/2004,27260.81354204566
02/2004,27970.46991474498
03/2004,27730.61585174606
04/2004,28553.029176294425
05/2004,28565.472982062744
06/2004,29293.348982602794
07/2004,29186.201502778968
08/2004,29444.181580138757
09/2004,29942.62559765919
10/2004,30772.144597507253
11/2004,31301.9453178891
12/2004,31964.532792656166
01/2005,32880.63876182635
02/2005,34121.56258851883
03/2005,34036.291379538845
04/2005,32688.24067131386
05/2005,34504.4194138837
06/2005,36549.678084513784
07/2005,37982.76226238475
08/2005,38071.6316604778
09/2005,39756.47604038184
10/2005,38039.80511379819
11/2005,40085.75455487168
12/2005,41434.37713408207
01/2006,43569.80010863157
02/2006,44949.671336340245
03/2006,45296.5931805456
04/2006,45540.958019050275
05/2006,43719.28366330425
06/2006,44509.51432714118
07/2006,45270.285544627826
08/2006,46884.46150953506
09/2006,48311.46870328834
10/2006,50175.94483131612
11/2006,49782.7666248099
12/2006,51310.604394118076
01/2007,52193.14666438384
02/2007,51030.42414675237
03/2007,51983.6269907356
04/2007,54897.52779988021
05/2007,56257.51421815072
06/2007,55543.76246824233
07/2007,53618.44216867316
08/2007,52352.71436007933
09/2007,53237.28722085958
10/2007,54242.1965233378
11/2007,52034.83395022954
12/2007,51487.64500677604
01/2008,44827.12565421434
02/2008,44253.47876073305
03/2008,43150.06546918699
04/2008,46775.89901514902
05/2008,46860.81023845231
06/2008,40645.03024265933
07/2008,40359.50169610808
08/2008,40734.66767608251
09/2008,35148.35233230321
10/2008,29551.99589792071
11/2008,27800.59825812917
12/2008,27708.98254467852
01/2009,25303.753433376292
02/2009,22182.389312206535
03/2009,22712.9945609689
04/2009,27364.89575292517
05/2009,28999.63293212715
06/2009,28434.795808500472
07/2009,31578.319572619625
08/2009,33791.48308317209
09/2009,34535.58819806655
10/2009,33595.513644295585
11/2009,34368.405755243184
12/2009,36153.22684823113
01/2010,33900.484869261934
02/2010,33757.562190507946
03/2010,35422.86539551221
04/2010,34304.18178104999
05/2010,32091.13562064149
06/2010,31628.067141780324
07/2010,33792.22363396241
08/2010,33018.1955023994
09/2010,33917.40008490359
10/2010,35813.35462726437
11/2010,33200.644783177944
12/2010,35041.45096700121
01/2011,37508.27449626003
02/2011,37457.34328356196
03/2011,36099.30897612297
04/2011,37108.72140421045
05/2011,35772.28895619382
06/2011,35317.06921436682
07/2011,33439.84244929002
08/2011,29941.194670161964
09/2011,29457.046937282958
10/2011,31252.086206241132
11/2011,30722.145141020457
12/2011,30755.750579410193
01/2012,30789.45642706333
02/2012,31562.008308866007
03/2012,30951.9950695018
04/2012,28894.860196760572
05/2012,26799.98715364815
06/2012,29872.71620182673
07/2012,29610.361607548177
08/2012,31692.899217661747
09/2012,31668.32289453263
10/2012,31823.83662171812
11/2012,32254.15310543265
12/2012,33117.97018716464
01/2013,34176.98920959954
02/2013,33285.57528582035
03/2013,33125.38059585867
04/2013,35128.99916873292
05/2013,35452.861798081845
06/2013,34258.56866838988
07/2013,36718.933494002806
08/2013,36111.753486117595
09/2013,38633.08614406722
10/2013,40441.527914552295
11/2013,40968.75064064119
12/2013,41841.1493435214
01/2014,40954.6897277681
02/2014,43493.89393993695
03/2014,44076.7436878263
04/2014,44863.11448260704
05/2014,46644.95954206369
06/2014,47068.74612725721
07/2014,45723.19654042803
08/2014,46009.53566924811
09/2014,46278.946107376825
10/2014,45750.840733912715
11/2014,47558.38133547111
12/2014,46203.685853074734
01/2015,50135.63361459209
02/2015,52739.54845670832
03/2015,53930.21491107121
04/2015,53778.409647638735
05/2015,53116.91253801776
06/2015,50916.20691175692
07/2015,53498.886590251284
08/2015,49880.63246290191
09/2015,48894.77307215031
10/2015,53309.3455483688
11/2015,54691.748812261896
12/2015,52664.01618831033
01/2016,49516.033012783584
02/2016,48459.259044712
03/2016,50256.58007938653
04/2016,51504.58735310095
05/2016,51592.40569444352
06/2016,48200.293855510754
07/2016,50512.24955694652
08/2016,50339.970897000996
09/2016,51123.885906885094
10/2016,52225.70730101274
11/2016,51156.457738763704
12/2016,54894.728382204354
01/2017,53489.694802261794
02/2017,54836.10262835881
03/2017,57920.66546418839
04/2017,58057.8176236608
05/2017,60104.984840626596
06/2017,58108.98579867529
07/2017,58362.64706256296
08/2017,58484.41030880769
09/2017,59705.69313257348
10/2017,61529.92358055249
11/2017,60746.69490368406
12/2017,59162.3924049473
01/2018,60503.22253973534
02/2018,59386.569797421944
03/2018,58748.73997850207
04/2018,62212.265299936844
05/2018,60045.902149490765
06/2018,60309.72583167011
07/2018,62670.45331568023
08/2018,61527.1798110501
09/2018,62353.47906960294
10/2018,59195.78571308296
11/2018,58789.360185237325
12/2018,56461.68213157098
