Date,MSCI Emerging Markets Asia
12/1987,10000
01/1988,10800.013657056144
02/1988,11092.528846153846
03/1988,11548.544754337601
04/1988,12547.113629402758
05/1988,12968.161172161173
06/1988,14883.193768996964
07/1988,15810.822279379156
08/1988,14772.830652035911
09/1988,14901.460682452505
10/1988,14727.553688092728
11/1988,13972.333996795143
12/1988,14088.419148936173
01/1989,15919.802791432585
02/1989,16042.644934233915
03/1989,16639.04201485193
04/1989,18697.864615384617
05/1989,19889.589734446843
06/1989,20693.303305311427
07/1989,20802.505436272273
08/1989,21584.00458341065
09/1989,23106.454338200656
10/1989,21925.378150498644
11/1989,23331.08107238606
12/1989,24134.767095115683
01/1990,23519.262052903014
02/1990,23595.97601575967
03/1990,23942.090904535205
04/1990,22124.67595646438
05/1990,24438.262016384135
06/1990,24888.989955903973
07/1990,26034.249607982892
08/1990,20867.507525741978
09/1990,16869.856772334293
10/1990,16908.050485865726
11/1990,15369.06736902872
12/1990,16963.06765478972
01/1991,17508.40487483531
02/1991,19447.794428849065
03/1991,22341.091052961456
04/1991,23342.860323485726
05/1991,23295.50817862519
06/1991,22930.874531575293
07/1991,22425.59619560497
08/1991,20707.1122324159
09/1991,18948.49220221378
10/1991,19079.960501567402
11/1991,19055.65990629715
12/1991,19633.061417807166
01/1992,21207.868850174214
02/1992,22044.457692307693
03/1992,22545.23913220119
04/1992,22165.540752073433
05/1992,21259.139767790854
06/1992,21464.519825072886
07/1992,20271.550807453415
08/1992,19454.296915734743
09/1992,21123.10585920419
10/1992,23813.513997267346
11/1992,24982.848285344553
12/1992,24542.33685741998
01/1993,25530.943980222495
02/1993,26885.688749999998
03/1993,26952.74075708709
04/1993,28921.190604246945
05/1993,29788.745311087372
06/1993,30297.135459313144
07/1993,32652.363301296176
08/1993,35160.46848511773
09/1993,35694.7305349373
10/1993,42109.584704359084
11/1993,44023.06635348342
12/1993,53738.299105165235
01/1994,49153.5630387931
02/1994,48913.78287861169
03/1994,42659.77671484888
04/1994,44394.50558777016
05/1994,44357.42646148556
06/1994,43531.08704330176
07/1994,43723.4076885246
08/1994,48085.6153618907
09/1994,46785.591670725764
10/1994,46387.117439082656
11/1994,43383.76961370616
12/1994,42826.05734784761
01/1995,37783.31681072784
02/1995,39573.6763662512
03/1995,37336.10218092459
04/1995,36081.533247966254
05/1995,40583.58669114273
06/1995,39977.67547026699
07/1995,40227.368618337205
08/1995,39389.05687804125
09/1995,39358.85984510678
10/1995,37478.74096264921
11/1995,35769.89006714517
12/1995,38382.5433633869
01/1996,40535.27454372322
02/1996,41863.22920989625
03/1996,42613.03633753389
04/1996,45688.85892857142
05/1996,45281.601888789395
06/1996,44393.06149123516
07/1996,39907.6154176611
08/1996,40559.43675206937
09/1996,40931.10171755725
10/1996,39465.19870782483
11/1996,40023.904535433074
12/1996,40556.961126760565
01/1997,43207.50982142857
02/1997,46044.03152445863
03/1997,44563.659609006805
04/1997,43703.380519480525
05/1997,43739.600979791794
06/1997,45845.33901273885
07/1997,46347.83502454992
08/1997,38340.211764705884
09/1997,35455.745141608226
10/1997,28259.015987124465
11/1997,24320.635607321132
12/1997,23474.48445004047
01/1998,23174.9004692244
02/1998,28093.668961718537
03/1998,27938.83807242237
04/1998,25527.566065708794
05/1998,21254.751369863014
06/1998,18395.741013071896
07/1998,18365.22573248408
08/1998,15026.209315813325
09/1998,15003.21646652268
10/1998,16365.868075547052
11/1998,18849.379333961133
12/1998,19759.44273562436
01/1999,20862.760066760362
02/1999,20720.95371210746
03/1999,24018.922342208156
04/1999,27600.216514107764
05/1999,28784.703442999235
06/1999,34952.509275755234
07/1999,32946.07462128297
08/1999,34730.58034616477
09/1999,31249.506835443037
10/1999,32493.409203099593
11/1999,36493.32389818758
12/1999,39172.73310770457
01/2000,42766.927096312946
02/2000,41214.8621988882
03/2000,42999.09471370251
04/2000,39871.17312052834
05/2000,36935.452241212515
