Date,MSCI Emerging Markets IMI ESG Screened
05/2012,10000
06/2012,10224.997734710087
07/2012,10668.87199039401
08/2012,10379.553473951311
09/2012,10724.671699922663
10/2012,10608.06357577157
11/2012,10799.635746958264
12/2012,11148.185651053507
01/2013,11038.248938745388
02/2013,11312.19918120192
03/2013,11408.580636470131
04/2013,11276.625046664627
05/2013,11097.928989697062
06/2013,10327.545701834862
07/2013,10282.315906591337
08/2013,10122.872214582547
09/2013,10561.000667900777
10/2013,10939.144130928817
11/2013,10805.66382117405
12/2013,10530.579589587413
01/2014,10107.233697839598
02/2014,10233.07211829436
03/2014,10524.352096750798
04/2014,10498.32009602888
05/2014,11047.046833247592
06/2014,11279.174504319813
07/2014,11707.128567904923
08/2014,12122.973214285716
09/2014,11865.608950965587
10/2014,12052.331022836155
11/2014,11991.991029399982
12/2014,11812.261281607774
01/2015,12800.400677576294
02/2015,13251.28133629893
03/2015,13683.567384515287
04/2015,14157.070635755685
05/2015,13990.73098176846
06/2015,13322.733052998481
07/2015,12621.542511169871
08/2015,11211.736916629514
09/2015,10946.469532268144
10/2015,11918.46453934828
11/2015,11962.745672558842
12/2015,11404.528309910902
01/2016,10610.175880952378
02/2016,10614.213549779572
03/2016,11430.140708827405
04/2016,11448.13324212926
05/2016,11299.784618970772
06/2016,11755.512456314176
07/2016,12320.599793935029
08/2016,12611.607050844414
09/2016,12751.864240659435
10/2016,12959.390013703636
11/2016,12711.821288199344
12/2016,12850.312824210227
01/2017,13261.073099023712
02/2017,13914.12477776729
03/2017,14163.144754466373
04/2017,14156.055679780422
05/2017,14187.3585179574
06/2017,14095.957331756048
07/2017,14492.081065916262
08/2017,14683.085707399576
09/2017,14672.835146535657
10/2017,15409.198173225639
11/2017,15204.96425267955
12/2017,15544.207380138416
01/2018,16157.304563699125
02/2018,15712.145583756344
03/2018,15314.851132213294
04/2018,15540.879934597235
05/2018,15532.152117274984
06/2018,14902.345999313775
07/2018,15066.601319018404
08/2018,14794.508328040509
09/2018,14737.637604526608
10/2018,13648.954663368087
11/2018,14223.147620389122
12/2018,13751.11402532751
01/2019,14873.591659993035
02/2019,15025.643467063768
03/2019,15398.332779706276
04/2019,15738.453943661974
05/2019,14690.75342659851
06/2019,15262.425548330406
07/2019,15388.41800556004
08/2019,14812.26813972454
09/2019,15290.362359261642
10/2019,15548.940776403086
11/2019,15792.027704425425
12/2019,16568.67021096671
01/2020,16081.681319218244
02/2020,15368.443518265467
03/2020,12955.633121577217
04/2020,14302.8052344612
05/2020,14068.951446659483
06/2020,15077.054900875157
07/2020,15538.442388588792
08/2020,15810.168504187606
09/2020,15887.959091219678
10/2020,16207.141539579414
11/2020,17285.75464858097
12/2020,18088.70055985657
01/2021,18829.59564518787
02/2021,19102.073036878148
03/2021,19483.298829850744
04/2021,19443.894223638472
05/2021,19666.06912056389
06/2021,20267.633340626053
07/2021,18998.4420603818
08/2021,19550.00603261788
09/2021,19231.82679419639
10/2021,19309.01596221554
11/2021,18996.008231980988
12/2021,19437.086691682856
01/2022,19262.861824130512
02/2022,18575.25067148853
03/2022,18395.422134041975
04/2022,18308.710808349144
05/2022,18008.03761131336
06/2022,17277.437510349475
07/2022,17590.842385761913
08/2022,18017.59004
09/2022,16317.846377718506
10/2022,15606.46195279403
11/2022,17040.581631649962
12/2022,16362.494369023063
01/2023,17383.137101449276
02/2023,16657.30258404746
03/2023,16718.365810574716
04/2023,16389.68179856115
05/2023,16665.136594589534
06/2023,17011.0352475612
07/2023,17800.527255738005
08/2023,17035.10052355539
09/2023,16991.231932225794
10/2023,16283.378822864675
11/2023,17115.810947763246
12/2023,17591.494796380088
01/2024,17142.223267509456
02/2024,17955.479170515424
03/2024,18399.794858014986
04/2024,18659.710592461277
05/2024,18517.123539439734
06/2024,19523.005584306396
07/2024,19341.429262098263
08/2024,19206.57184720844
09/2024,20246.712147195427
10/2024,19915.53425657048
