Date,MSCI Emerging Markets IMI
05/1994,10000
06/1994,9714.868696839834
07/1994,9944.476675173462
08/1994,11355.998973334254
09/1994,11443.10029326741
10/1994,11182.976107905375
11/1994,10691.146309241145
12/1994,10470.752149038992
01/1995,9378.73930938337
02/1995,9278.42112704387
03/1995,8944.298261978714
04/1995,8972.859382495431
05/1995,9661.713218955627
06/1995,9550.811024925215
07/1995,9612.48912819008
08/1995,9632.90262248988
09/1995,9702.42721354317
10/1995,9262.536179339626
11/1995,9021.387188799388
12/1995,9575.452325007533
01/1996,10446.791524134005
02/1996,10360.051887681475
03/1996,10359.242273414364
04/1996,10809.144724192718
05/1996,10791.261259565523
06/1996,10742.050907200733
07/1996,9856.472028809398
08/1996,10011.11432924443
09/1996,10169.294506514925
10/1996,9914.375968393317
11/1996,9920.647281413841
12/1996,10143.327942083533
01/1997,11118.51688622152
02/1997,12158.824250591726
03/1997,11990.815749951638
04/1997,11830.530519284894
05/1997,11960.454090860687
06/1997,12694.177344672444
07/1997,13168.39031387553
08/1997,11805.927189443779
09/1997,11630.575493046843
10/1997,9487.46153978501
11/1997,8820.334107729124
12/1997,9097.224776346638
01/1998,8651.689246646936
02/1998,9547.557668345333
03/1998,9908.828324620466
04/1998,9775.77370741349
05/1998,8353.711147819959
06/1998,7453.580495836675
07/1998,7607.908940843033
08/1998,5452.039634245975
09/1998,5377.259186027749
10/1998,5692.147686260012
11/1998,6282.7068912192335
12/1998,6051.520741060339
01/1999,5933.903663791516
02/1999,6210.084817183373
03/1999,7226.307085534513
04/1999,8247.219238015423
05/1999,8269.894161484342
06/1999,9231.894363920936
07/1999,8703.03716906339
08/1999,8753.30104936825
09/1999,8330.174759565907
10/1999,8691.058535382885
11/1999,9889.191884773449
12/1999,11516.524594939357
01/2000,11865.577887729576
02/2000,11935.142111262367
03/2000,12131.241553736265
04/2000,11409.695071352726
05/2000,10545.393774935588
06/2000,10593.466467068232
07/2000,10416.844900953474
08/2000,10922.71121572192
09/2000,9995.494280815497
10/2000,9573.323008091445
11/2000,8514.482314508294
12/2000,8043.097664320129
01/2001,9145.433840926444
02/2001,8506.312806721124
03/2001,8070.494985110859
04/2001,8362.98817935005
05/2001,8846.672611953692
06/2001,8686.167882235437
07/2001,7869.710908121343
08/2001,7442.502452726233
09/2001,6315.636516998281
10/2001,6726.765890446008
11/2001,7592.697006802593
12/2001,8320.536723127481
01/2002,8771.301933122659
02/2002,8882.966778537164
03/2002,9381.243467858238
04/2002,9146.636369872667
05/2002,8590.852386027334
06/2002,7469.288070975495
07/2002,7068.003630118323
08/2002,7137.104095489236
09/2002,6346.570299536496
10/2002,6734.399373705317
11/2002,7139.270655303809
12/2002,6538.600622211214
01/2003,6344.931886928249
02/2003,6179.798344054671
03/2003,5915.658492690843
04/2003,6278.079244357039
05/2003,6341.6537833502625
06/2003,6949.090957827293
07/2003,7432.198964916585
08/2003,8204.142597492402
09/2003,7729.659531310323
10/2003,8373.959411176767
11/2003,8243.95371575696
12/2003,8359.230759071628
01/2004,8839.253385069853
02/2004,9245.364149436673
03/2004,9515.706806282726
04/2004,8976.312481953315
05/2004,8613.606936554546
06/2004,8663.979939683531
07/2004,8550.979042412833
08/2004,8857.66419950173
09/2004,9142.814091876722
10/2004,9135.188779928478
11/2004,9561.042941738086
12/2004,9814.039709203467
01/2005,10276.780149487819
02/2005,10984.012832201755
03/2005,10514.189461817692
04/2005,10231.522875682687
05/2005,11119.06360136825
06/2005,11734.656396755574
07/2005,12521.477439897739
08/2005,12488.12479390045
09/2005,13753.567356492227
10/2005,12883.123471803006
11/2005,14259.647383538811
12/2005,15123.939591454695
01/2006,16283.422627213882
02/2006,16606.96365562631
03/2006,16422.49702990309
04/2006,17005.52923468195
05/2006,14909.073335607023
06/2006,14934.373063438878
07/2006,15073.510881181508
08/2006,15365.402016556902
09/2006,15755.337553942798
10/2006,16451.532135709713
11/2006,17034.32963698868
12/2006,17842.237050219137
01/2007,17947.990641781864
02/2007,17566.897282144553
03/2007,18120.746678469855
04/2007,18611.866825606285
05/2007,19802.893051463256
06/2007,20657.40570117278
07/2007,21513.477667354935
08/2007,20975.675129610714
09/2007,22431.621898295107
10/2007,24374.249875550475
11/2007,22175.889216911895
12/2007,22319.609802574367
01/2008,19279.900262699874
02/2008,20299.88541492169
03/2008,18422.054470554438
04/2008,20217.168547000005
05/2008,20585.746087776082
06/2008,18186.153408501807
07/2008,17705.530068830773
08/2008,17275.463128364194
09/2008,14624.015641609358
10/2008,11858.60555350046
11/2008,11012.667281637861
12/2008,10911.753245493004
01/2009,11087.105251108924
02/2009,10627.361641477233
03/2009,11545.701793108985
04/2009,13575.084303617325
05/2009,15057.002180147498
06/2009,14835.931405086585
07/2009,16524.193703268742
08/2009,16339.722751243391
09/2009,17352.782388782805
10/2009,17200.689196214855
11/2009,17681.670769346332
12/2009,19223.581297948127
01/2010,18768.395580272936
02/2010,19381.1365835656
03/2010,21105.09679368689
04/2010,21656.765526919466
05/2010,21322.796363937705
06/2010,21286.461164727658
07/2010,21690.050139481813
08/2010,21914.353431153075
09/2010,22648.5526495787
10/2010,22992.228096082803
11/2010,23878.654480746496
12/2010,24850.002675433876
01/2011,23578.031371923113
02/2011,23035.24941442493
03/2011,23716.34110943141
04/2011,23413.347213508605
05/2011,23537.36492021553
06/2011,23048.144491676172
07/2011,23322.18021433847
08/2011,20896.939582227857
09/2011,19066.11920589886
10/2011,20749.119069603443
11/2011,20168.547310004138
12/2011,20660.491296429216
01/2012,22576.851547694572
02/2012,23525.18443811823
03/2012,22890.470689421985
04/2012,22841.43889648261
05/2012,21668.621328640293
06/2012,22149.069245458104
07/2012,23087.91142200815
08/2012,22480.438635985713
09/2012,23252.789875788912
10/2012,22977.158885408477
11/2012,23294.04929117185
12/2012,24045.884949102965
01/2013,23772.902217406892
02/2013,24294.981867831746
03/2013,24540.232064346143
04/2013,24256.99521001836
05/2013,23812.512166718974
06/2013,22098.99788213992
07/2013,21988.871143119835
08/2013,21632.375731048363
09/2013,22577.715537549386
10/2013,23405.555788506525
11/2013,23106.101924020855
12/2013,22499.864235344594
01/2014,21573.830921267974
02/2014,21832.675834879592
03/2014,22517.608732418365
04/2014,22493.248799071767
05/2014,23679.523516085363
06/2014,24191.876756932983
07/2014,25134.556711337274
08/2014,26077.552555872386
09/2014,25412.364250997653
10/2014,25734.673603648313
11/2014,25530.33850820281
12/2014,25100.069892079853
01/2015,27147.72657922868
02/2015,28119.801130095348
03/2015,29009.016030495677
04/2015,30020.785143044166
05/2015,29644.00905983005
06/2015,28226.972255236084
07/2015,26768.291168317643
08/2015,23786.640412721645
09/2015,23193.052256391253
10/2015,25226.814909948476
11/2015,25294.38588759583
12/2015,24110.919557476293
01/2016,22430.53151888463
02/2016,22453.464802313672
03/2016,24217.159806477386
04/2016,24341.702285690353
05/2016,23963.898929631563
06/2016,24988.67809966558
07/2016,26193.861525370554
08/2016,26775.567814699636
09/2016,27050.433919364772
10/2016,27582.43672638374
11/2016,27079.83585963976
12/2016,27367.724128943668
01/2017,28262.888371092482
02/2017,29643.173594506163
03/2017,30128.361388570425
04/2017,30072.86828429322
05/2017,30071.09140310657
06/2017,29856.711006424655
07/2017,30694.772905863134
08/2017,31108.31368597538
09/2017,31052.229764385713
10/2017,32604.98591244348
