Date,MSCI Emerging Markets Latin America
12/1987,10000
01/1988,11945.250682852808
02/1988,12707.348964497041
03/1988,14846.85386735852
04/1988,15380.214395099541
05/1988,16563.50402930403
06/1988,16922.214285714286
07/1988,16535.83194678492
08/1988,17750.600181372993
09/1988,20095.21734041595
10/1988,18796.323603793466
11/1988,18035.338416125494
12/1988,19237.627051671738
01/1989,17987.518820224723
02/1989,21606.15394596516
03/1989,26040.27227341863
04/1989,33648.027692307696
05/1989,35474.658421694665
06/1989,27086.90966755827
07/1989,27784.692444038377
08/1989,28670.737687882724
09/1989,32571.26487046631
10/1989,32885.9448413418
11/1989,26955.73399463807
12/1989,30407.984884318765
01/1990,30058.986508068545
02/1990,32065.732479684808
03/1990,22579.246755199198
04/1990,27269.43260224274
05/1990,28421.362284045743
06/1990,28113.76565409113
07/1990,31080.41667854598
08/1990,26478.26506662629
09/1990,24444.79106628242
10/1990,23050.233524734984
11/1990,23344.703319382308
12/1990,23882.115201518693
01/1991,27094.305401844533
02/1991,30130.965579788382
03/1991,36696.302585396435
04/1991,41661.712988942076
05/1991,50910.28645258404
06/1991,51878.43627689104
07/1991,58433.276956483984
08/1991,61037.921253822635
09/1991,58378.67396332397
10/1991,62354.30219435737
11/1991,56568.79610894942
12/1991,62786.15914193449
01/1992,72963.36571428571
02/1992,80974.08361823362
03/1992,88049.91887543676
04/1992,86874.56516627748
05/1992,86314.65204960114
06/1992,67588.02944606415
07/1992,66275.52149068324
08/1992,59929.61079848993
09/1992,59851.52033231307
10/1992,66282.40889631092
11/1992,70108.11352313167
12/1992,74856.40824442288
01/1993,75215.75139678615
02/1993,76721.92875
03/1993,82401.36156849432
04/1993,75638.17750266459
05/1993,77720.95744226186
06/1993,85028.73603451194
07/1993,91132.34284454634
08/1993,99725.66244335851
09/1993,97437.63532121835
10/1993,102487.89721191194
11/1993,112135.95247296579
12/1993,126296.49430318065
01/1994,149075.9603987069
02/1994,144204.43613918958
03/1994,131640.17724047307
04/1994,121946.6713758566
05/1994,126374.53633081156
06/1994,116359.65152232748
07/1994,123461.96636065576
08/1994,143707.94534711968
09/1994,148266.50092547495
10/1994,138248.12408026756
11/1994,136302.11002101182
12/1994,118310.51712023752
01/1995,103236.66591808709
02/1995,87315.22866730584
03/1995,81027.28765166641
04/1995,90947.62258210305
05/1995,94450.96975676918
06/1995,95122.58660497573
07/1995,96923.53071444636
08/1995,101001.53632501738
09/1995,101425.23013377143
10/1995,91814.0521986908
11/1995,93665.96860384347
12/1995,98041.2673618189
01/1996,109405.58831931438
02/1996,103697.86367118916
03/1996,104931.31182006699
04/1996,111685.49464285713
05/1996,116676.2054546935
06/1996,118741.8281121254
07/1996,112329.064725537
08/1996,114443.43438707135
09/1996,118074.31703244273
10/1996,117286.64264178032
11/1996,116885.69546456692
12/1996,122999.9352917505
01/1997,138781.51056547617
02/1997,154410.56873436287
03/1997,153820.7561703613
04/1997,162392.7038961039
05/1997,173369.09871402328
06/1997,190345.7576433121
07/1997,206635.74697217674
08/1997,192162.3446366782
09/1997,205063.9412439668
10/1997,163095.0571351931
11/1997,165201.02296173046
12/1997,180931.3736487094
01/1998,164533.55059343085
02/1998,172794.53456348114
03/1998,185727.79371602324
04/1998,180243.47409169946
05/1998,154540.16815068494
