Date,MSCI Emerging Markets SRI Select Reduced Fossil Fuels
05/2013,10000
06/2013,9467.642129969418
07/2013,9363.12472165725
08/2013,9071.829947865508
09/2013,9573.937620140689
10/2013,10013.990723553989
11/2013,9595.955034898243
12/2013,9433.890924515988
01/2014,8936.515362533293
02/2014,9162.041061319047
03/2014,9661.80347983754
04/2014,9802.251270758123
05/2014,10089.624102300286
06/2014,10474.762719285403
07/2014,10850.760273563044
08/2014,11412.271900212314
09/2014,11210.287224032425
10/2014,11620.337603002235
11/2014,11625.14267563887
12/2014,11334.309607116382
01/2015,12442.951219814238
02/2015,12880.950318505336
03/2015,13162.32827586207
04/2015,13064.216781096744
05/2015,12779.622092980857
06/2015,12476.030782018053
07/2015,12117.507686696452
08/2015,10814.022222024074
09/2015,10569.421155047754
10/2015,11288.823144231643
11/2015,11371.66252386804
12/2015,10809.47093230458
01/2016,10392.294230769228
02/2016,10372.762810433505
03/2016,11334.126394378565
04/2016,11406.238047882136
05/2016,11078.129272010041
06/2016,11751.521979823454
07/2016,12355.512745433278
08/2016,12230.628826805605
09/2016,12328.606594391182
10/2016,12623.32940252147
11/2016,12063.722331922898
12/2016,12469.30045726212
01/2017,12707.013162250118
02/2017,13395.161317353966
03/2017,13644.511753811617
04/2017,13462.530828911253
05/2017,13589.177866500308
06/2017,13368.611200490712
07/2017,13658.850848469341
08/2017,13831.410804228328
09/2017,13676.041446722005
10/2017,14018.787210860972
11/2017,14030.015319436237
12/2017,14773.050489452182
01/2018,15180.686308099861
02/2018,14939.937041100375
03/2018,14578.067658469281
04/2018,14576.367633082209
05/2018,14117.930176938202
06/2018,13549.500859495625
07/2018,14131.601920586232
08/2018,13822.126220925242
09/2018,13864.19825846579
10/2018,13380.735518642872
11/2018,13987.11200105643
12/2018,13786.053308296941
01/2019,14733.597123955431
02/2019,14660.699059215134
03/2019,14801.742529595016
04/2019,15185.844091638439
05/2019,14816.109554300063
06/2019,15116.000637961335
07/2019,15210.476760828624
08/2019,14631.054681043857
09/2019,14919.729762145284
10/2019,15117.125431235432
11/2019,15195.749943543979
12/2019,15754.869156133167
01/2020,15340.925332971408
02/2020,14369.124061218912
03/2020,11596.17381708653
04/2020,12773.205036778229
05/2020,12574.031684626436
06/2020,13497.981741382393
07/2020,13927.61692775152
08/2020,14295.674524288106
09/2020,14130.328042364192
10/2020,14698.381012138827
11/2020,16244.678559265441
12/2020,17163.775801483167
01/2021,17727.362330257085
02/2021,17326.071500701262
03/2021,17930.89799402985
04/2021,17952.984206257242
05/2021,18379.41488238669
06/2021,19543.900819589362
07/2021,18218.53923303338
08/2021,18910.11293560926
09/2021,18530.039873909664
10/2021,18702.42696264491
11/2021,18482.896076740293
12/2021,18514.212101359703
01/2022,18219.323827536755
02/2022,17968.54562193053
03/2022,18239.799045131065
04/2022,18040.222795066413
05/2022,17941.95485671614
06/2022,17128.114402618656
07/2022,17632.52931555207
08/2022,17807.919248
09/2022,16150.708838736153
10/2022,15389.073348799679
11/2022,16883.84619699306
12/2022,16055.81310706919
01/2023,16910.717435613402
02/2023,16052.385128543176
03/2023,15929.68900229885
04/2023,15700.87494217284
05/2023,15664.15223064682
06/2023,15994.02855512608
07/2023,16950.689240678577
08/2023,15873.47116304748
09/2023,15678.012354162736
10/2023,15129.839749505602
11/2023,15623.833782819504
12/2023,15889.565556561085
01/2024,15144.819117837036
02/2024,15824.31105856272
03/2024,16055.029386735732
04/2024,16115.026174659448
05/2024,15909.734517139697
06/2024,16795.526813638488
07/2024,16921.985524565942
08/2024,17046.79891223956
09/2024,18124.67881207574
10/2024,17917.778886234148
