Date,MSCI Emerging Markets Small Cap
05/1994,10000
06/1994,9919.142019772937
07/1994,9959.083055244915
08/1994,11419.435908656695
09/1994,11948.017606469046
10/1994,11726.557136900941
11/1994,11391.31714035304
12/1994,11263.935434953086
01/1995,9839.58674096019
02/1995,9992.478149062665
03/1995,9781.766489614145
04/1995,9527.970531816547
05/1995,10160.07932969653
06/1995,10149.450730028228
07/1995,10273.694790553398
08/1995,10261.185654819334
09/1995,10259.035388723716
10/1995,9686.123503790452
11/1995,9482.364875608035
12/1995,9924.336175551682
01/1996,10769.037277886231
02/1996,10877.232206608733
03/1996,10840.17038854147
04/1996,11418.520132299765
05/1996,11063.496257451716
06/1996,11107.457173121886
07/1996,10271.767575226171
08/1996,10308.990651037953
09/1996,10601.273679275788
10/1996,10416.469705703596
11/1996,10302.531740957425
12/1996,10401.582147425946
01/1997,11457.88227880153
02/1997,12728.426573921526
03/1997,12637.409401080491
04/1997,12138.599527099846
05/1997,11992.29211576288
06/1997,12306.368497255746
07/1997,12640.913424646536
08/1997,11431.640313678008
09/1997,10882.0938239433
10/1997,9066.656845142415
11/1997,7895.723647683901
12/1997,7600.1748478599475
01/1998,7269.214801878905
02/1998,8287.33785668973
03/1998,8679.71660731598
04/1998,8496.074728260624
05/1998,7611.582577434402
06/1998,6705.479836993745
07/1998,6680.915033388662
08/1998,5200.814868939022
09/1998,4991.491316747681
10/1998,5230.305759321756
11/1998,5972.242553632031
12/1998,6005.443465920838
01/1999,5965.344484622809
02/1999,6035.3953219661
03/1999,6943.429347185966
04/1999,7948.297513464511
05/1999,8035.529833869273
06/1999,8766.04187682322
07/1999,8354.37944015395
08/1999,8329.04462656195
09/1999,7893.122908257822
10/1999,8121.006784669402
11/1999,8907.052376965481
12/1999,9885.605856521877
01/2000,10834.57985620884
02/2000,10795.823299209966
03/2000,10713.087640781252
04/2000,10394.19337245547
05/2000,9423.072042939597
06/2000,9051.71116175842
07/2000,9093.43890552414
08/2000,9411.279068866657
09/2000,8648.747654200695
10/2000,8169.716858990963
11/2000,7474.835909746103
12/2000,6881.032046805018
01/2001,7595.162133856627
02/2001,7376.959764628741
03/2001,7204.823490081205
04/2001,7257.9597480846915
05/2001,7722.57689677571
06/2001,7584.273244703733
07/2001,6902.6713623224905
08/2001,6665.153837226575
09/2001,5813.175404996611
10/2001,6067.876778251105
11/2001,6791.372974914218
12/2001,7280.701016976146
01/2002,7835.114543140952
02/2002,7854.565804155689
03/2002,8404.529937820882
04/2002,8232.008090959278
05/2002,7733.457811654968
06/2002,6730.236296667591
07/2002,6674.758490961727
08/2002,6633.599220838916
09/2002,5855.318014935161
10/2002,6158.00384647771
11/2002,6517.921635342666
12/2002,6029.822436056739
01/2003,6031.914323585045
02/2003,5879.191570109807
03/2003,5595.087067754244
04/2003,5866.423710095999
05/2003,6034.272385762015
06/2003,6636.355663121301
07/2003,7094.273552574446
08/2003,7742.495653022996
09/2003,7330.106929133622
10/2003,7916.558005046642
11/2003,7908.03787262867
12/2003,8031.131263495889
01/2004,8410.809200596415
02/2004,8780.875119161627
03/2004,8959.038700575731
04/2004,8601.199555142644
05/2004,8027.025681843454
06/2004,8030.5926612868425
07/2004,7928.054171397606
08/2004,8188.148518970242
09/2004,8488.486639729295
10/2004,8480.618700802914
11/2004,8963.68945680086
12/2004,9289.3062279765
01/2005,9741.312896554118
02/2005,10337.71184908775
03/2005,9978.39763164109
04/2005,9678.40955253052
05/2005,10388.729014970184
06/2005,10995.985846127855
07/2005,11583.98650412165
08/2005,11474.27730417626
09/2005,12402.499734508701
10/2005,11708.620568632554
11/2005,13035.515392714067
12/2005,13854.219501927824
01/2006,14595.457838041204
02/2006,15024.94453844597
03/2006,15032.149993495388
04/2006,15540.037841462305
05/2006,13801.556632561633
06/2006,13187.711509239693
07/2006,13286.352714475295
08/2006,13609.20820669047
09/2006,14263.067057641421
10/2006,15032.034934712949
