Date,MSCI Emerging Markets ex China
12/1998,10000
01/1999,10202.223193956428
02/1999,10638.699858413505
03/1999,12349.107819772853
04/1999,14057.222855525148
05/1999,14163.67512241775
06/1999,15934.980263361733
07/1999,14972.39938657191
08/1999,15288.415038305115
09/1999,14638.066347866854
10/1999,15260.97048120157
11/1999,17227.109901951073
12/1999,19543.150527573165
01/2000,20184.959546522314
02/2000,20631.598468190234
03/2000,21084.416149900553
04/2000,20057.482901485964
05/2000,18758.951770396645
06/2000,18759.55457513604
07/2000,18347.042163799626
08/2000,19197.181037502804
09/2000,17833.29538391329
10/2000,17191.17716526078
11/2000,15261.65436204514
12/2000,14602.27857710908
01/2001,16624.841076078766
02/2001,15411.355826124569
03/2001,14616.134171195652
04/2001,15211.1329022082
05/2001,16088.585075471696
06/2001,15690.101037735849
07/2001,14314.229135351228
08/2001,13749.962913299847
09/2001,11561.152443324938
10/2001,12426.463844282236
11/2001,13950.308001798156
12/2001,15278.0111607852
01/2002,16246.078772722007
02/2002,16490.253038955034
03/2002,17333.98213663457
04/2002,16857.944782415627
05/2002,15887.431856823263
06/2002,13782.9936802005
07/2002,12946.16431769396
08/2002,13110.492533306213
09/2002,11636.91386612576
10/2002,12439.537984590428
11/2002,13235.13383298076
12/2002,12116.538258796607
01/2003,11652.21112795858
02/2003,11357.77667594138
03/2003,10927.630913262963
04/2003,11717.661773425567
05/2003,11779.607464050076
06/2003,12871.086486391876
07/2003,13768.469733168404
08/2003,15215.71968518349
09/2003,14381.839612083762
10/2003,15573.837370504218
11/2003,15265.255194263798
12/2003,15449.962315122724
01/2004,16367.932719638244
02/2004,17047.89457561604
03/2004,17680.912441099477
04/2004,16683.53227086298
05/2004,15897.961275618953
06/2004,16037.456858905798
07/2004,15869.70162638093
08/2004,16487.210014036824
09/2004,16994.586906277702
10/2004,17026.64204757792
11/2004,17810.114518239938
12/2004,18321.70140224653
01/2005,19232.960300728802
02/2005,20581.220420909707
03/2005,19630.60661215674
04/2005,19062.902468163928
05/2005,20771.10066012489
06/2005,21887.81118425405
07/2005,23410.003843545852
08/2005,23413.445436956874
09/2005,25993.929609699386
10/2005,24404.57794227731
11/2005,27019.291572775932
12/2005,28610.33913028736
01/2006,30896.60736095065
02/2006,31403.310285473683
03/2006,31016.58984137475
04/2006,32129.531521097542
05/2006,27871.11164438918
06/2006,28076.181694328636
07/2006,28316.00233727579
08/2006,28858.49633802817
09/2006,29451.584353870458
10/2006,30696.419760554505
11/2006,31603.200590909088
12/2006,32716.965852695517
01/2007,33048.045385209196
02/2007,32262.304655211563
03/2007,33280.1520258297
04/2007,34164.53457405365
05/2007,36109.821529770314
06/2007,37325.852762680486
07/2007,38445.49919603122
08/2007,37083.433488507835
09/2007,39237.69583750617
10/2007,42394.29076486467
11/2007,39100.24415148025
12/2007,39720.01900142653
01/2008,35089.73097242771
02/2008,36747.83600975802
03/2008,33808.581669618005
04/2008,36775.385487773485
05/2008,37972.456125870514
06/2008,33766.708685612786
07/2008,32472.17905835628
08/2008,31666.56316253817
09/2008,27080.142851150104
10/2008,21816.314265109348
11/2008,19736.944907676592
12/2008,19353.812330243585
01/2009,19744.090090511858
02/2009,18776.21199304018
03/2009,20412.967165614667
04/2009,24133.752922033895
05/2009,26599.655278762944
06/2009,25849.03524267723
07/2009,28773.321383505445
08/2009,28859.711485426003
09/2009,30960.36492248856
10/2009,30258.72074054054
11/2009,31215.282745124143
12/2009,34094.309554352345
01/2010,33443.3452298439
02/2010,34406.06948563007
03/2010,37636.29456191111
04/2010,38688.6295906872
05/2010,37885.90941415455
06/2010,37544.24364436475
07/2010,38638.3932238256
08/2010,39001.47567192429
09/2010,40430.63947538101
10/2010,40890.9770080104
11/2010,42417.66129866132
12/2010,44947.99527316269
01/2011,42473.94203038271
02/2011,41724.52878704641
03/2011,43066.14115013726
04/2011,42581.86961238223
05/2011,42565.309194299625
06/2011,41915.29285823012
07/2011,42327.69234502104
08/2011,38071.86701730103
09/2011,34995.25174553802
10/2011,38090.29644739662
11/2011,37239.333483380535
12/2011,37857.65445552206
01/2012,41435.26041287189
02/2012,42998.69592799226
03/2012,42167.784411500455
04/2012,41689.73501740578
05/2012,39370.6762331694
06/2012,40439.14598888007
07/2012,42302.43094431781
08/2012,41318.410768376816
09/2012,42688.690873936575
10/2012,41660.28541522358
11/2012,42155.154738949626
12/2012,43526.39843262088
01/2013,42705.71320147601
02/2013,43795.509955061316
03/2013,44421.87986255369
04/2013,43805.570168298655
05/2013,42733.032883284635
06/2013,39846.692366972464
07/2013,39408.963549529195
08/2013,38469.540303740076
09/2013,40266.698206590154
10/2013,42027.06656696722
11/2013,40881.392832268015
12/2013,39966.89647161192
01/2014,38152.54282627997
02/2014,38632.38796206472
03/2014,40346.23730780389
04/2014,40545.391477256315
05/2014,42599.99611082531
06/2014,43519.94077610191
07/2014,44673.18662381343
08/2014,46563.71712162571
09/2014,45066.33590717635
10/2014,45474.73116576173
11/2014,44844.906785227904
12/2014,43300.01757351124
01/2015,46565.33401857585
02/2015,48265.366661921704
03/2015,49153.95686587973
04/2015,49508.8399857334
05/2015,48534.27628076572
06/2015,46845.46934310483
07/2015,45085.69104404122
08/2015,40467.98855461436
09/2015,39160.24023922163
10/2015,42424.6904202596
11/2015,42384.47498629359
12/2015,40131.0664131533
01/2016,38316.60424542124
