Date,MSCI Europe Enhanced Value
11/1997,10000
12/1997,10524.841588358313
01/1998,11229.744692619286
02/1998,11919.339698710373
03/1998,13549.703424644187
04/1998,13597.937806659413
05/1998,13730.174685868133
06/1998,13820.282640741656
07/1998,14186.190915737041
08/1998,11727.482183980323
09/1998,10123.774041588085
10/1998,10708.780617339486
11/1998,11483.015616889777
12/1998,11715.535621563806
01/1999,12069.335943259886
02/1999,11885.788087875304
03/1999,12700.31029276174
04/1999,13513.66132766184
05/1999,13292.421002267569
06/1999,13687.45202689512
07/1999,13606.657614398415
08/1999,13771.181935361148
09/1999,13537.93140222473
10/1999,14037.190492061876
11/1999,14677.244630652483
12/1999,16366.976038772464
01/2000,15517.939086625645
02/2000,16029.469659210146
03/2000,16457.097673578926
04/2000,16937.13853742469
05/2000,17367.029799352447
06/2000,17495.060106221015
07/2000,18387.653856569537
08/2000,19035.979464141124
09/2000,18167.675563908087
10/2000,19039.399414890002
11/2000,17412.682573716582
12/2000,17823.38438336695
01/2001,18057.96061185298
02/2001,17269.216498263162
03/2001,16774.265764215234
04/2001,17711.89208847497
05/2001,18092.67721512972
06/2001,17160.817648592096
07/2001,16584.757807643677
08/2001,15836.896310483033
09/2001,14017.382038867288
10/2001,14383.24753502684
11/2001,15565.352229349006
12/2001,16012.572157284083
01/2002,15917.30413135132
02/2002,16174.142248210721
03/2002,17170.516376114727
04/2002,17160.115759349726
05/2002,16833.034602142947
06/2002,15222.847758992428
07/2002,13355.896288136486
08/2002,13272.713037588299
09/2002,11532.2882908858
10/2002,12506.490621302613
11/2002,13045.723884337734
12/2002,12053.305932426785
01/2003,11640.246615654252
02/2003,11138.91750429864
03/2003,10814.387825201693
04/2003,12193.226260392334
05/2003,12470.718493177876
06/2003,13366.759263425069
07/2003,14076.185003929291
08/2003,14815.607647553386
09/2003,14037.015214397983
10/2003,15347.712561086199
11/2003,15543.54514298898
12/2003,15898.107183181713
01/2004,16797.055117714677
02/2004,17256.100393406785
03/2004,17108.355608265643
04/2004,17475.483230152386
05/2004,17372.699748889776
06/2004,18060.17118833578
07/2004,17773.465429102984
08/2004,17695.65614005423
09/2004,17995.545142600102
10/2004,18117.36578241033
11/2004,18959.424251135042
12/2004,19561.228678445037
01/2005,20248.655429303722
02/2005,21262.234580341927
03/2005,21010.34913705031
04/2005,20124.86929501453
05/2005,21560.095377110494
06/2005,22461.82796616553
07/2005,23548.0592866853
08/2005,23904.22227820359
09/2005,24837.886778225933
10/2005,23906.94805638601
11/2005,24972.612833125702
12/2005,25850.794041586454
01/2006,26971.025329926157
02/2006,27486.31968647809
03/2006,28400.96818062416
04/2006,28883.30170090424
05/2006,27262.920429084104
06/2006,27685.888860440307
07/2006,28096.02331900328
08/2006,28783.259134285803
09/2006,29680.583364771504
10/2006,30994.41638973136
11/2006,30910.904903320654
12/2006,32346.02232100275
01/2007,33082.452134852225
02/2007,32687.220837199184
03/2007,33665.97978330898
04/2007,35486.35220809549
05/2007,36991.56394520694
06/2007,37182.809503966884
07/2007,35590.129344820096
08/2007,35329.43709346873
09/2007,36059.75769039723
10/2007,36860.57926176377
11/2007,33940.29182330196
12/2007,33533.17210890632
01/2008,29259.892531951577
02/2008,29126.554574545225
03/2008,28591.197939766265
04/2008,30456.16115672297
05/2008,30576.059699767477
06/2008,27157.7183017736
07/2008,26428.113272948136
08/2008,27387.55589663974
09/2008,23364.353182989682
10/2008,20419.6304657754
11/2008,19168.091010759435
12/2008,18525.217943232416
01/2009,17476.51097538072
02/2009,15686.727503677745
03/2009,16059.497628746127
04/2009,19074.65276426101
05/2009,20303.164826589484
06/2009,19762.03289556585
07/2009,21677.35821182758
08/2009,23368.13680910486
09/2009,24096.747231380472
10/2009,22860.91453814108
11/2009,23055.97839973954
12/2009,24452.12742016242
01/2010,23699.680595828355
02/2010,23914.71869467271
03/2010,25836.899204213707
04/2010,25394.335583239015
05/2010,24130.482686247786
06/2010,23694.043890485867
07/2010,25041.572989300195
08/2010,24547.676703730893
09/2010,25401.131525604433
10/2010,26163.999555556296
11/2010,25396.59561108014
12/2010,26822.345088710474
01/2011,27956.46380431056
02/2011,28560.328273742743
03/2011,27299.288769733867
04/2011,28209.964909235656
05/2011,27966.38557125357
06/2011,27378.28242193993
07/2011,26174.615230819472
08/2011,22628.11462040751
09/2011,21437.455263206015
10/2011,23386.890699712487
11/2011,23213.776078861683
12/2011,23475.796915776737
01/2012,24428.937207850886
02/2012,25314.38176808118
03/2012,25043.181780051877
04/2012,24156.556208332422
05/2012,22162.022385539898
06/2012,23731.919439010617
07/2012,24309.67885297349
08/2012,24998.96411536562
09/2012,25084.06806075905
10/2012,25635.986456208117
11/2012,26197.918842208586
12/2012,26987.930919760736
01/2013,28055.703564651707
02/2013,27509.707729748887
03/2013,27631.90700756112
04/2013,28575.698485049157
05/2013,29435.334726130866
06/2013,27506.843568716293
07/2013,29449.66777400892
08/2013,29342.094445240116
09/2013,31080.500883246266
10/2013,32437.47137670496
11/2013,32984.4916556136
12/2013,33165.573285461935
01/2014,32994.65958730973
02/2014,34609.76308175487
03/2014,34421.56024055093
04/2014,35126.046952522214
05/2014,35826.2144087259
06/2014,35278.725594633026
07/2014,34685.01831607121
08/2014,35044.41512463655
09/2014,35350.05454510442
10/2014,34197.561020781206
11/2014,35249.904751226
12/2014,34701.49893401711
01/2015,37312.16147288314
02/2015,40389.71062442008
03/2015,41095.963202629995
04/2015,40774.324462498356
05/2015,41198.18714390514
06/2015,39224.79919253876
07/2015,41041.478842343546
08/2015,37045.68776632014
09/2015,34466.827196260274
10/2015,37594.7090238728
11/2015,38427.12296930706
12/2015,36167.64410929089
01/2016,33102.84292647724
02/2016,32745.911655410968
03/2016,33421.33282900709
04/2016,34537.25463155055
05/2016,34840.04510708813
06/2016,32716.141203820196
07/2016,34478.11280745109
08/2016,34600.343838705456
09/2016,34669.03449483081
10/2016,35202.40828488926
11/2016,35621.73061876742
12/2016,38336.452598062606
01/2017,38404.525943521214
02/2017,39287.28091870594
03/2017,40362.40718575336
04/2017,40650.77646687097
05/2017,41191.00420286641
06/2017,40000.91303219408
07/2017,40342.431943795425
08/2017,39686.3719678568
09/2017,41327.823842373175
10/2017,42176.48967616473
11/2017,41821.958768115124
12/2017,41975.123795987885
01/2018,42781.677209797745
02/2018,41229.15653183228
03/2018,40022.38680456888
04/2018,42388.67335833616
05/2018,41655.35012936253
06/2018,41077.76729164273
07/2018,42307.63369697651
08/2018,40476.75959229706
09/2018,41155.660448402356
10/2018,39116.05326935597
11/2018,38514.02872444532
12/2018,36110.37689943245
01/2019,38735.33853618971
02/2019,40010.59696694104
03/2019,40257.772923796096
04/2019,41618.283027445796
05/2019,38195.46709154285
06/2019,39921.954198779815
07/2019,39844.11932338017
08/2019,38706.65059795302
09/2019,40988.240147798104
10/2019,41392.45306807716
11/2019,43072.13521437579
12/2019,44008.551679640215
01/2020,42820.67795667874
02/2020,38715.604485335934
