Date,MSCI Europe Growth
12/1978,10000
01/1979,10159.904391046815
02/1979,10353.197348695036
03/1979,11040.711824006501
04/1979,11224.202292398955
05/1979,10717.826104625134
06/1979,10940.669805982214
07/1979,10780.069994628384
08/1979,11098.28717736143
09/1979,11614.951723469192
10/1979,10687.610700725245
11/1979,11145.969059094883
12/1979,10854.543018187493
01/1980,11343.438595520605
02/1980,11660.714363672767
03/1980,10372.156284511553
04/1980,11455.85965292241
05/1980,11415.624802352393
06/1980,12087.273596713789
07/1980,12148.104436067515
08/1980,12554.838607271828
09/1980,12974.116067331175
10/1980,14135.586653314022
11/1980,14639.917037795554
12/1980,14256.553282411138
01/1981,13728.64094788067
02/1981,14390.886597643695
03/1981,14530.297259886274
04/1981,14512.401320243482
05/1981,14206.02317155854
06/1981,14244.742663760528
07/1981,14474.083316675475
08/1981,15358.793362701053
09/1981,13287.28708998364
10/1981,13307.342761244374
11/1981,14679.962816491026
12/1981,14386.836520628192
01/1982,14824.873061589904
02/1982,14610.037069419266
03/1982,14771.556413306742
04/1982,15462.492699854953
05/1982,15001.735800234495
06/1982,14717.493969964842
07/1982,15563.437204614247
08/1982,15808.754325845808
09/1982,16612.804935203123
10/1982,16827.717509498158
11/1982,17544.410172760945
12/1982,17544.12278750026
01/1983,17056.56766681408
02/1983,17980.788418486307
03/1983,18814.217201376723
04/1983,20584.630582174377
05/1983,20494.01841266731
06/1983,21139.0533903132
07/1983,21261.750602036474
08/1983,21268.429699076725
09/1983,21676.805015343256
10/1983,21613.221496409562
11/1983,22731.06340103474
12/1983,23272.03714568749
01/1984,24147.907725088317
02/1984,24115.708829806274
03/1984,23828.258329826895
04/1984,23779.842052854878
05/1984,22639.440843739743
06/1984,22785.510273304073
07/1984,22218.698110769354
08/1984,24378.98908399215
09/1984,25049.489525298515
10/1984,25671.06684580308
11/1984,24865.31498587385
12/1984,26584.09756651259
01/1985,28349.666676732286
02/1985,28105.147361931555
03/1985,31644.19894703817
04/1985,30471.685951293206
