Date,MSCI Europe Low Carbon SRI Leaders
11/2010,10000
12/2010,10458.409476126328
01/2011,10577.260150452821
02/2011,10725.93381523782
03/2011,10366.918252973885
04/2011,10702.969555854643
05/2011,10751.528145985403
06/2011,10439.112617449666
07/2011,10294.352194950912
08/2011,9218.964178546714
09/2011,8910.777311708509
10/2011,9582.01679594315
11/2011,9529.874376211059
12/2011,9766.95376458768
01/2012,9956.402891621128
02/2012,10436.814828535298
03/2012,10500.42982330039
04/2012,10462.337490540336
05/2012,9856.179150205597
06/2012,10457.298800635428
07/2012,10890.565397264736
08/2012,11038.374479422724
09/2012,11060.855686001547
10/2012,11151.70977911183
11/2012,11486.84487294009
12/2012,11619.49678490223
01/2013,12035.092811808117
02/2013,12125.642036712625
03/2013,12496.14828582585
04/2013,12885.072914626686
05/2013,12916.17036444718
06/2013,12298.463142201836
07/2013,12979.934983050847
08/2013,12830.621901020028
09/2013,13425.158264346539
10/2013,13838.262908877648
11/2013,14085.378053045331
12/2013,14186.18930026829
01/2014,13854.044664101806
02/2014,14606.127277202635
03/2014,14460.303281114011
04/2014,14653.475958122744
05/2014,15075.779065187038
06/2014,14959.262871577099
07/2014,14740.231362583154
08/2014,14994.88033515317
09/2014,15173.427009457206
10/2014,14981.066791759822
11/2014,15514.40363694625
12/2014,15273.436881640726
01/2015,16600.60179389651
02/2015,17582.304400355868
03/2015,17987.424675155682
04/2015,18061.367133303615
05/2015,18361.541166818595
06/2015,17470.954610778444
07/2015,18497.83578736209
08/2015,16846.24246812305
09/2015,16142.812903686514
10/2015,17511.941003903063
11/2015,18002.32214954155
12/2015,17209.939399283554
01/2016,16114.282402930405
02/2016,15814.344753857458
03/2016,15978.806166007904
04/2016,16297.836900815573
05/2016,16794.968208714366
06/2016,16008.813073320123
07/2016,16593.0411805993
08/2016,16547.976582824293
09/2016,16616.593821342172
10/2016,16247.868114379682
11/2016,16256.67865350259
12/2016,17165.94230528413
01/2017,17102.70918084612
02/2017,17634.411254128525
03/2017,18234.65845851651
04/2017,18515.775866422693
05/2017,18919.961081900008
06/2017,18370.32443042412
07/2017,18404.955190585828
08/2017,18228.702975052856
09/2017,18762.920169405388
10/2017,18974.846282866478
11/2017,18701.861144400373
12/2017,18624.238435754192
01/2018,18926.066736774508
02/2018,18144.054419518587
03/2018,17861.800751562372
04/2018,18685.709153075586
05/2018,18577.240676980942
06/2018,18619.495632183913
07/2018,19145.347394342196
08/2018,18989.50792206678
09/2018,19084.288797512098
10/2018,17982.327602049834
11/2018,17934.50514481909
12/2018,16956.101011353716
01/2019,17895.648210306405
02/2019,18606.632445690262
03/2019,18987.619544281268
04/2019,19707.762720627565
05/2019,18810.33586046095
06/2019,19709.125532513182
07/2019,19587.91955878397
08/2019,19373.898245741217
09/2019,20339.14243732207
10/2019,20717.418275058277
11/2019,21320.389076670916
12/2019,21642.01710699662
01/2020,21521.839542164318
02/2020,19830.647304363676
03/2020,17372.023939393945
04/2020,18557.84789076867
05/2020,18978.212189295977
06/2020,19773.117542418295
07/2020,19478.931375759625
08/2020,20097.455346733666
09/2020,20021.993527502564
10/2020,18698.941911437854
11/2020,21083.417834724547
12/2020,21610.10978404368
01/2021,21538.19795154911
02/2021,21860.939536341888
03/2021,23322.436114285712
04/2021,23643.65462175137
05/2021,24270.454510286047
06/2021,24761.102500841465
07/2021,25281.498048944584
08/2021,26082.836393442627
09/2021,25189.167587874606
10/2021,26217.094361528554
11/2021,25594.74694710904
12/2021,27305.910575666607
01/2022,26015.876826819655
02/2022,24881.821050093764
03/2022,25170.338376722822
04/2022,24888.210303605316
05/2022,24251.771044525347
06/2022,22922.768246847023
07/2022,24672.671555206904
08/2022,23265.887082
09/2022,21723.474195732455
10/2022,22756.582168650395
11/2022,24246.20563222822
12/2022,23599.87609788112
01/2023,25420.99478076249
02/2023,25693.443672662208
03/2023,25697.852772413797
04/2023,26505.195851015385
05/2023,25903.09283160161
06/2023,26518.778937971656
07/2023,26874.883182436723
08/2023,26115.53902281929
09/2023,25723.255484236364
10/2023,24651.40041435164
11/2023,26417.581824169796
12/2023,27591.095739366516
01/2024,28224.322810740978
02/2024,28707.15035839646
03/2024,29696.203936731108
04/2024,29641.697667475277
05/2024,30953.661419093256
06/2024,30999.276853806634
07/2024,31313.5360583672
08/2024,31874.327035266528
09/2024,31810.294708824586
10/2024,30820.333953317404
