Date,MSCI Europe Mid Cap
05/1994,10000
06/1994,9680.449237268116
07/1994,9794.462859420733
08/1994,10032.046940438051
09/1994,9554.324353787677
10/1994,9606.213200919257
11/1994,9358.589176961219
12/1994,9640.09301644541
01/1995,9360.126090622865
02/1995,9368.835460258277
03/1995,9209.64467773278
04/1995,9343.277857251865
05/1995,9673.248633008523
06/1995,9699.809597184687
07/1995,10030.024193928899
08/1995,9915.606593406605
09/1995,10274.116839882294
10/1995,9940.71502588722
11/1995,9806.182081279054
12/1995,10253.684019966062
01/1996,10506.700892802628
02/1996,10998.951461080542
03/1996,11160.10049021135
04/1996,11456.161932647628
05/1996,11852.665854350349
06/1996,11869.721764611553
07/1996,11526.313283876758
08/1996,11668.257454965325
09/1996,11798.061083175351
10/1996,12071.739772612395
11/1996,12288.955511063288
12/1996,12958.100442369232
01/1997,13303.64064525491
02/1997,14024.279432594018
03/1997,14393.263859304798
04/1997,14134.62873563839
05/1997,14717.608404060386
06/1997,15434.23153943041
07/1997,15989.754354899253
08/1997,16100.604568438368
09/1997,16794.49006622308
10/1997,16140.594223020007
11/1997,15767.87701671632
12/1997,16449.697174133104
01/1998,17383.069494161762
02/1998,18688.990469670138
03/1998,20502.453121428374
04/1998,21082.912543873867
05/1998,21476.138945653714
06/1998,21051.81919537503
07/1998,21541.00286515992
08/1998,18840.7552856543
09/1998,17009.516693628644
10/1998,17546.398752200872
11/1998,18687.944363782637
12/1998,19195.58094497717
01/1999,19935.510355786755
02/1999,20015.739763892394
03/1999,20430.11493482976
04/1999,21236.08882599323
05/1999,21095.507723830295
06/1999,21590.033423932375
07/1999,21459.89933358577
08/1999,21895.710285342688
09/1999,21492.38617223163
10/1999,21735.712250219698
11/1999,23317.462959639368
12/1999,25959.553177672828
01/2000,25289.372776131215
02/2000,28096.740293082017
03/2000,27977.08124412686
04/2000,27271.63225182859
05/2000,26207.5778061282
06/2000,26365.39185711007
07/2000,27202.05319989248
08/2000,28183.49303399123
09/2000,27262.55300332792
10/2000,27207.722068226758
11/2000,25257.29861456425
12/2000,25327.790085501223
01/2001,25676.933002838567
02/2001,24598.475934141814
03/2001,23292.927539369495
04/2001,24363.524790514042
05/2001,24861.42930855116
06/2001,23819.214650654954
07/2001,23020.30943693223
08/2001,21840.05717041449
09/2001,18755.390508038457
10/2001,19930.158166839148
11/2001,21311.81618019636
12/2001,21827.917978874033
01/2002,21760.285167462047
02/2002,21724.408698674186
03/2002,22907.002299438755
04/2002,22336.906688528008
05/2002,21749.78620581491
06/2002,19759.950304322392
07/2002,18022.75575281737
08/2002,17889.261816911847
09/2002,15803.149364726258
10/2002,16888.608305819136
11/2002,17662.32720858151
12/2002,15993.859491123634
01/2003,14749.715930447011
02/2003,14108.121218456314
03/2003,13832.304715883442
04/2003,15428.952045646109
05/2003,15673.777192657742
06/2003,16355.01632869436
07/2003,17102.45794556792
08/2003,17886.809731737216
09/2003,17111.025568480225
10/2003,18584.99507667135
11/2003,18711.32018772485
12/2003,18871.24938925261
01/2004,19946.742726218592
02/2004,20634.16314509737
03/2004,20416.504759153497
04/2004,20647.040559652112
05/2004,20667.83252014293
06/2004,21206.678389421544
07/2004,20690.971539412185
08/2004,20588.9930604148
09/2004,20891.548471871476
10/2004,21156.493655925995
11/2004,22033.284404912818
12/2004,22538.762482035043
01/2005,23400.13661369418
02/2005,24135.161845137944
03/2005,23952.642266293708
04/2005,23269.391025910863
05/2005,24734.237888488064
06/2005,25623.207573389474
07/2005,26557.656644360697
08/2005,26920.995774589104
09/2005,27826.207600296493
10/2005,26800.63158483859
11/2005,28326.32218999264
12/2005,29509.181471081272
01/2006,31107.184194411697
02/2006,32118.704498381725
03/2006,32941.873773455736
04/2006,33381.3972146692
05/2006,31510.299968716306
06/2006,31940.851406339403
07/2006,32217.68780950318
08/2006,33396.00231140415
09/2006,34537.41318262699
10/2006,36123.03349415682
11/2006,36459.1445109734
12/2006,38204.0492594971
01/2007,39090.97185153498
02/2007,38440.77202147791
03/2007,39891.56206755236
04/2007,41145.2344137535
05/2007,42543.218162002384
06/2007,41675.82571597892
07/2007,40309.68591509947
08/2007,39376.489756705414
09/2007,38805.886252596625
10/2007,40002.04823997766
11/2007,36436.046401577376
12/2007,35558.53338886068
01/2008,31816.415620479023
02/2008,31983.114948725633
03/2008,31020.51985289606
04/2008,32595.631779406463
05/2008,33187.21084390177
06/2008,29398.880538194724
07/2008,27948.490077854007
08/2008,29196.254185289872
09/2008,24777.220665151257
10/2008,20486.92507065798
11/2008,19338.203740496905
12/2008,18446.736995358504
01/2009,18453.883498813386
02/2009,16993.256588050786
03/2009,17147.008803338096
04/2009,20219.705684367455
05/2009,21254.869057950084
06/2009,20658.079609336248
07/2009,22748.674041535472
08/2009,24126.569318076658
09/2009,24936.09966625581
10/2009,24032.533073326627
11/2009,24352.935663415206
12/2009,25818.23473848986
01/2010,25557.00826418509
02/2010,25660.1291994909
03/2010,27853.45642796007
04/2010,27938.792718327386
05/2010,26358.285697292617
06/2010,26341.772165410002
07/2010,27807.74906701401
08/2010,27246.524695774773
09/2010,28699.39224402411
10/2010,29367.953657307036
11/2010,29250.058600042055
12/2010,31097.066321431896
01/2011,31335.36538906906
02/2011,32095.17358806947
03/2011,31338.77654164035
04/2011,32103.695914159183
05/2011,32167.234879535295
06/2011,31041.224598247558
07/2011,30066.394222005754
08/2011,26884.167664610304
09/2011,25005.68958960998
10/2011,26794.555548568474
11/2011,26473.53594815513
12/2011,26878.550465353666
01/2012,28064.560270137226
02/2012,29491.226004348224
03/2012,29892.83405822655
04/2012,29443.36173884838
05/2012,27310.151921849425
06/2012,28711.52401632659
07/2012,29719.989988590743
08/2012,30235.85016875103
09/2012,30636.551934923784
10/2012,30836.69758956834
11/2012,31809.090177023063
12/2012,32283.076986618333
01/2013,32941.5548687415
02/2013,33602.134298176534
03/2013,34423.169633343314
04/2013,35026.42397070017
05/2013,35509.82973329034
06/2013,33901.90184822103
07/2013,36412.76743459363
08/2013,36206.92017022643
09/2013,37881.131085285684
10/2013,39022.29770479971
11/2013,39401.390814142156
12/2013,40077.40115704541
01/2014,40027.973623752376
02/2014,42364.22840527647
03/2014,41869.20619116167
04/2014,42282.50058271388
05/2014,43344.987823444746
06/2014,42832.18280746964
07/2014,41743.971190586155
08/2014,42371.28401044536
09/2014,42003.20523667856
10/2014,41588.21154370531
11/2014,43165.65945306712
12/2014,43485.82801417297
01/2015,46917.256116181365
02/2015,50309.16942249465
03/2015,51111.18993532811
04/2015,51376.09090544987
05/2015,52632.024981367525
06/2015,50336.5349912084
07/2015,52755.70176542156
08/2015,48719.72667111529
09/2015,46871.455236832524
10/2015,50813.817424695146
11/2015,52385.29736787611
12/2015,50107.99976162181
01/2016,46340.44093525096
02/2016,46020.78759288298
03/2016,47563.43665618848
04/2016,48317.77113553061
05/2016,49063.54797908998
06/2016,45869.4030442311
07/2016,48551.09673424423
08/2016,48725.759843922795
09/2016,49212.97334757921
10/2016,47804.05160063901
11/2016,48313.9696198194
12/2016,50652.06719490736
01/2017,51379.83364987977
02/2017,52759.87570426082
03/2017,54176.64327327032
04/2017,55649.81204977598
05/2017,56568.074258207
06/2017,54949.823210452705
07/2017,55608.92355627572
08/2017,55472.006548025514
09/2017,57300.19438617597
10/2017,58751.76307169669
11/2017,57554.84317806852
12/2017,57992.60595489994
01/2018,58842.23916280527
02/2018,57151.247840768905
03/2018,55848.98528694153
04/2018,58152.281333975196
05/2018,59170.9317524608
06/2018,58540.95199238989
07/2018,59840.20266084325
08/2018,59747.956728535144
09/2018,59619.187265565124
10/2018,55087.46791112953
11/2018,53352.212675463714
12/2018,50216.977492475424
01/2019,54154.755058773946
02/2019,56288.05780179235
03/2019,56979.75093428756
04/2019,59483.85038278761
05/2019,56195.22458524107
06/2019,58722.21396400709
07/2019,58872.89118822791
08/2019,58190.168158307155
09/2019,60481.43497359981
10/2019,61565.45729057534
11/2019,64095.87410313277
12/2019,65319.93873382567
01/2020,64921.16363900517
02/2020,59774.612367305635
03/2020,48988.8785268942
04/2020,53711.874917936286
05/2020,55932.32880073904
06/2020,57375.68266110307
07/2020,57283.87155371151
08/2020,60473.45325083053
09/2020,59997.24407184209
10/2020,57531.6919467058
11/2020,65557.6012011609
12/2020,67937.96186461103
01/2021,68056.23702422577
02/2021,69315.58177065136
03/2021,73188.93821188476
04/2021,74884.64869146764
05/2021,76908.94699222506
06/2021,77732.5197280863
07/2021,80061.38511701259
08/2021,81321.66547742797
09/2021,78159.39028228074
10/2021,80411.41587936056
11/2021,78514.91502101351
12/2021,83191.86236737864
01/2022,77759.63726684132
02/2022,75014.53203152613
03/2022,75085.76529732837
04/2022,73797.24529320025
05/2022,71998.94391221233
06/2022,65478.59233809666
07/2022,70802.1051318784
08/2022,66452.77501254687
09/2022,60615.02291846583
10/2022,64374.345177677904
11/2022,68219.43353908243
12/2022,66931.19409326294
01/2023,72844.21759302965
02/2023,73814.69016157555
03/2023,72226.80320100335
04/2023,74059.67489253996
05/2023,70954.61882954616
06/2023,72054.65914356237
07/2023,74913.02120046315
08/2023,72688.03960095116
09/2023,70636.45328776161
10/2023,66972.82331569082
11/2023,72539.27887467144
12/2023,76358.7190000231
01/2024,76345.18245844131
02/2024,77019.35438027594
03/2024,79938.86403054628
04/2024,78947.10356807885
05/2024,82730.78287515903
06/2024,80564.24523397765
07/2024,82490.294616309
08/2024,83247.66356668579
09/2024,84088.45802534145
