Date,MSCI Europe Minimum Volatility
11/2001,10000
12/2001,10362.504907536064
01/2002,10298.391201378896
02/2002,10503.947172418766
03/2002,10818.125209872129
04/2002,10806.459277157737
05/2002,10500.272210022009
06/2002,9840.14146597194
07/2002,9168.52290028403
08/2002,9151.550363221953
09/2002,8415.70810848455
10/2002,8771.652436469101
11/2002,8799.365989561595
12/2002,8525.78993736127
01/2003,7908.126062307672
02/2003,7763.738203361859
03/2003,7667.444023626466
04/2003,8178.929016464488
05/2003,8234.631729303568
06/2003,8515.213063764737
07/2003,8538.005900584169
08/2003,8866.389501865342
09/2003,8671.95445549994
10/2003,9104.057367134565
11/2003,9209.893899854605
12/2003,9438.934934678851
01/2004,9680.014341414804
02/2004,10139.946075523818
03/2004,10147.125691273928
04/2004,10368.247973884449
05/2004,10431.327067461665
06/2004,10671.479371540714
07/2004,10690.90922831072
08/2004,10788.578813311331
09/2004,10978.081186443731
10/2004,11081.216907904232
11/2004,11505.546420099226
12/2004,11837.078161500569
01/2005,12119.745786517247
02/2005,12449.082484793616
03/2005,12441.343669766959
04/2005,12384.555184841198
05/2005,13005.197369546035
06/2005,13449.001785134551
07/2005,13697.934914670612
08/2005,13945.735207004882
09/2005,14370.634713237712
10/2005,13836.825993006936
11/2005,14181.919767080752
12/2005,14623.120787880436
01/2006,14951.159773008743
02/2006,15484.990366530728
03/2006,15796.647284634082
04/2006,15905.050518731514
05/2006,15245.683264605535
06/2006,15651.877821766415
07/2006,16003.152339163018
08/2006,16417.221860832058
09/2006,16914.3851977254
10/2006,17458.162533547365
11/2006,17506.438986246427
12/2006,18137.0157506341
01/2007,18583.23173988475
02/2007,18238.902032147867
03/2007,18767.763305730914
04/2007,19242.51185231255
05/2007,19609.496024771786
06/2007,19141.294700202972
07/2007,18475.309354360885
08/2007,18387.308801175008
09/2007,18364.554703242127
10/2007,18782.296323804643
11/2007,18064.744661412307
12/2007,17790.7881030148
01/2008,16189.607061628283
02/2008,15986.055283436872
03/2008,15417.897826939565
04/2008,16026.870370068365
05/2008,16063.405035163298
06/2008,14532.103870103987
07/2008,14307.886664566553
08/2008,14682.557068610564
09/2008,13702.221233953398
10/2008,12789.281919730094
11/2008,12112.810817045944
12/2008,11735.610470915191
01/2009,11611.447871366305
02/2009,10661.765250794571
03/2009,10460.380562499664
04/2009,11471.016330337214
05/2009,11946.647875325201
06/2009,11776.20369778528
07/2009,12659.546962409875
08/2009,13217.34543915449
09/2009,13504.82791783966
10/2009,13246.06899857266
11/2009,13392.63178483181
12/2009,14107.596034461654
01/2010,13923.484092351931
02/2010,14095.983356198265
03/2010,14807.205109061624
04/2010,14588.428557352427
05/2010,14095.906843651088
06/2010,14361.36362599939
07/2010,14682.151810407297
08/2010,14936.233341677018
09/2010,15106.515625122101
10/2010,15475.510571327508
11/2010,15142.85996710061
12/2010,15625.376057775991
01/2011,15665.471267792065
02/2011,16076.719253533223
03/2011,15795.413428132819
04/2011,16360.999479003272
05/2011,16675.937546947247
06/2011,16284.093498126278
07/2011,16297.35082213857
08/2011,15161.92390522656
09/2011,15020.854885593199
10/2011,15658.888291442005
11/2011,15886.580967394044
12/2011,16317.197145762102
01/2012,16131.608732022605
02/2012,16630.815632528873
03/2012,16849.944759980768
04/2012,16902.280709100338
05/2012,16263.889641016858
06/2012,17208.74720867779
07/2012,17823.357331501382
08/2012,17995.905312284453
09/2012,17994.557322967936
10/2012,17932.066574321077
11/2012,18256.667390352115
12/2012,18323.35312895238
01/2013,18683.58658984327
02/2013,18952.73162960749
03/2013,19886.95555126583
04/2013,20302.493845730343
05/2013,19977.384079598225
06/2013,19317.360304436832
07/2013,20093.71251434172
08/2013,19772.49310592257
09/2013,20414.284215683503
10/2013,20962.609139183565
11/2013,21143.94966419601
12/2013,21502.719166640116
01/2014,21263.73034238865
02/2014,22356.19947203755
03/2014,22309.444431285538
04/2014,22864.447902368815
05/2014,23632.848177089996
06/2014,23807.905212418133
07/2014,23657.106381781025
08/2014,24089.98413216985
09/2014,24321.089825483665
10/2014,24211.7198995728
11/2014,24961.12719865409
12/2014,24836.747656173076
01/2015,27122.31384522903
02/2015,28278.775054997543
03/2015,28754.35709128668
04/2015,28792.376907186856
05/2015,29276.08972362396
06/2015,27857.807940149956
07/2015,29661.194404192473
08/2015,27430.046429289807
09/2015,26927.061768766107
10/2015,29144.345575285108
11/2015,29869.30000358561
12/2015,28904.377267433352
01/2016,27788.21315936128
02/2016,27354.656392504432
03/2016,27557.272392300147
04/2016,27780.23598541042
05/2016,28451.878126903295
06/2016,27860.689810216252
07/2016,28397.888465162814
08/2016,28051.364213116416
09/2016,28137.70844928088
10/2016,26994.39714973823
11/2016,26605.404876926426
12/2016,27806.007044609516
01/2017,27566.41562619196
02/2017,28647.851773151775
03/2017,29368.399853846906
04/2017,29642.872379567343
05/2017,30883.754614539095
06/2017,29899.79724555364
07/2017,29695.25600716963
08/2017,29580.406322826017
09/2017,29958.813279831138
10/2017,30488.873475718756
11/2017,30017.89039993754
12/2017,30045.58389730068
01/2018,30027.04418563951
02/2018,29014.1004995524
03/2018,28959.638613129555
04/2018,30097.957796969
05/2018,30425.400399048754
06/2018,30578.914612339544
07/2018,31244.501961766353
08/2018,31182.22896880498
09/2018,31451.293063339366
10/2018,30169.77776375277
11/2018,30242.61212739573
12/2018,28978.766912199713
01/2019,30259.295965021218
02/2019,31233.375128612457
03/2019,32328.311606548963
04/2019,32867.66998990581
05/2019,32318.425424580717
06/2019,33378.9670203218
07/2019,33444.777822655335
08/2019,33918.69836473093
09/2019,34945.728788055276
10/2019,34953.71068114836
11/2019,35787.52569424424
12/2019,36060.524999589754
01/2020,36927.825443368165
02/2020,34056.79755539351
03/2020,30540.169237268037
04/2020,32245.35989936851
05/2020,32542.161085429685
06/2020,33102.07468929135
07/2020,32994.591152557994
08/2020,33481.55691220772
09/2020,33454.000389953704
10/2020,31774.552343372536
11/2020,34403.36301512927
12/2020,34684.59093247779
01/2021,34549.885958974846
02/2021,33835.09315731378
03/2021,36049.13652351956
