Date,MSCI Europe Momentum
06/1994,10000
07/1994,10308.49854746069
08/1994,10583.608043648614
09/1994,10141.504280457748
10/1994,10296.690523990253
11/1994,9883.590174110805
12/1994,10214.099748228358
01/1995,9937.606797863944
02/1995,9996.613204853715
03/1995,9946.079484428501
04/1995,10263.754888467924
05/1995,10675.417278763123
06/1995,10955.175851809607
07/1995,11473.139348316556
08/1995,11595.78137975461
09/1995,12443.12255637499
10/1995,12297.802632918172
11/1995,12516.18104721933
12/1995,12905.497090593286
01/1996,12954.175908273013
02/1996,13311.519070631306
03/1996,13720.00017581151
04/1996,13817.301744166563
05/1996,14230.590818273173
06/1996,14457.843383408812
07/1996,13871.033202520397
08/1996,14223.649182161273
09/1996,14561.335125605872
10/1996,14883.602349694298
11/1996,15325.665748653762
12/1996,16005.57464605236
01/1997,16454.64234124906
02/1997,17515.501888786897
03/1997,18183.655841971697
04/1997,18337.329620034056
05/1997,19451.84841738142
06/1997,20813.226821691696
07/1997,22792.22285813735
08/1997,21709.861357994556
09/1997,23347.011035233612
10/1997,21513.884478082568
11/1997,20857.62922844005
12/1997,22609.790622623517
01/1998,24196.929161818683
02/1998,26044.51931054438
03/1998,27900.770921785486
04/1998,28432.089501274506
05/1998,29062.757109963517
06/1998,29884.664202310236
07/1998,32226.400238093072
08/1998,26766.074990329085
09/1998,24054.25701461742
10/1998,23782.186281149672
11/1998,25649.56590814104
12/1998,27506.185521924315
01/1999,28925.341268909906
02/1999,28716.123233782084
03/1999,28803.228518100197
04/1999,29184.505010481014
05/1999,28433.105208883528
06/1999,29663.143691852176
07/1999,29207.31954364074
08/1999,29670.189128961065
09/1999,29520.377463584722
10/1999,31705.52792298062
11/1999,36031.84809350431
12/1999,42699.166219583894
01/2000,42804.109398710985
02/2000,48453.97692416999
03/2000,47905.14197775825
04/2000,47224.52621810173
05/2000,44304.429577117924
06/2000,43951.53275999274
07/2000,43668.972091091935
08/2000,44748.44094012908
09/2000,41343.52481727745
10/2000,41631.877049292605
11/2000,36480.75315469402
12/2000,36542.77205391377
