Date,MSCI Europe Quality
06/1994,10000
07/1994,10184.703883606151
08/1994,10872.08859129613
09/1994,10319.283318882397
10/1994,10640.47371820801
11/1994,10420.876863443667
12/1994,10795.199442622068
01/1995,10503.299164931057
02/1995,10714.78392507567
03/1995,11013.790906650345
04/1995,11039.559974139724
05/1995,11385.755831031725
06/1995,11577.22178893473
07/1995,12039.218968272282
08/1995,12168.180682776685
09/1995,12827.046382945016
10/1995,12553.383247120131
11/1995,12555.900625844697
12/1995,13019.70864306068
01/1996,13138.720977389583
02/1996,13493.590938215559
03/1996,13773.254555460771
04/1996,13980.178398985323
05/1996,14461.928211911458
06/1996,14508.146348240365
07/1996,14021.871604515656
08/1996,14475.783969850894
09/1996,14799.67481582768
10/1996,15230.022654182098
11/1996,15889.968929070537
12/1996,16680.603831957582
01/1997,16960.085768091565
02/1997,17967.530367057203
03/1997,18749.796547487767
04/1997,18999.885457586282
05/1997,19594.914081906358
06/1997,20801.927221533784
07/1997,22050.744251875905
08/1997,21657.681937177673
09/1997,23008.062076564558
10/1997,21728.61010029723
11/1997,21833.712883688087
12/1997,23177.52253945157
01/1998,24841.433998379624
02/1998,26706.466739168736
03/1998,28136.18091768962
04/1998,28545.031930712477
05/1998,28360.635405482382
06/1998,29402.292051899934
07/1998,29561.192536516242
08/1998,27102.517203870557
09/1998,25705.688031771275
10/1998,26099.963752995696
11/1998,27948.08169670159
12/1998,29433.956063621208
01/1999,30259.4206626598
02/1999,30445.011636175295
03/1999,31543.792165582276
04/1999,31756.652864342293
05/1999,31160.799550036663
06/1999,32102.427675649436
07/1999,31443.92670200106
08/1999,31794.969411859132
09/1999,31811.562088536615
10/1999,33974.35741344333
11/1999,36595.24442724234
12/1999,40579.27656572877
01/2000,38962.952539955084
02/2000,41046.830802656135
03/2000,43034.66353512755
04/2000,44196.983962553684
05/2000,42156.846532813885
06/2000,42039.09403104353
07/2000,43206.70276130181
08/2000,44803.71873951456
09/2000,44183.02533507092
10/2000,45415.13669972642
11/2000,42981.02368144019
12/2000,42421.66281518343
01/2001,41343.950938178
02/2001,38207.288307761526
03/2001,36824.78319933056
04/2001,39258.330799401476
05/2001,39796.0950244435
06/2001,38227.88722698122
07/2001,37219.13665607329
08/2001,34618.14818374213
09/2001,31945.69944302797
10/2001,33496.459765111475
11/2001,35305.48785755042
12/2001,36881.64242798919
01/2002,36351.33466520209
02/2002,37074.86897490158
03/2002,38639.30172359533
04/2002,36867.132925566904
05/2002,34621.29016929572
06/2002,32301.306884453545
07/2002,29633.63110288367
08/2002,29470.777314429604
09/2002,27908.777822365057
10/2002,29328.126290422475
11/2002,29659.148208717208
12/2002,27860.544195890485
01/2003,25625.87725239605
02/2003,24743.070701076525
03/2003,24424.343792834465
04/2003,26555.621351459395
05/2003,26650.05906125438
06/2003,27378.882727717195
07/2003,27381.047263134315
08/2003,28690.589212425235
09/2003,27748.857791125483
10/2003,29270.269913948425
11/2003,29489.204053354588
12/2003,30096.611779708146
01/2004,30673.464904887634
02/2004,31759.031131204094
03/2004,31555.242039016484
04/2004,31674.38883990663
05/2004,31904.493465829633
06/2004,32364.84384622371
07/2004,31529.744080759712
08/2004,31460.381856492957
09/2004,31509.195032613883
10/2004,31592.860515040993
11/2004,32082.818623769803
12/2004,32373.664937004953
01/2005,33256.97154222881
02/2005,34788.609476212834
03/2005,34734.52517731226
04/2005,34339.955407960624
05/2005,36193.737969773865
06/2005,37441.3444302632
07/2005,38061.202879257544
08/2005,38576.2602121028
09/2005,40085.104720933305
10/2005,38821.746935570314
11/2005,40087.016775842436
12/2005,41559.02811804435
01/2006,42590.57094538028
02/2006,43152.18467305541
03/2006,44317.50835591644
04/2006,45368.03043080553
05/2006,43195.74204817465
06/2006,44223.33787771808
07/2006,44479.58620308492
08/2006,45111.775098299295
09/2006,45613.09379598155
10/2006,47509.36600986927
11/2006,47174.850631530695
12/2006,48119.77395117762
01/2007,48795.61585700188
02/2007,47821.205643671216
03/2007,49724.677857258
04/2007,51332.75602967722
