Date,MSCI Europe SRI Filtered PAB
10/2018,10000
11/2018,10058.54752314911
12/2018,9544.699580617033
01/2019,10057.094215836898
02/2019,10462.774571274345
03/2019,10714.819582277956
04/2019,11103.060249968858
05/2019,10640.285678694516
06/2019,11145.621392683637
07/2019,11144.998546692688
08/2019,11132.54162687373
09/2019,11600.921812066605
10/2019,11841.547979902836
11/2019,12169.995432462734
12/2019,12365.361458290081
01/2020,12297.471245276753
02/2020,11344.516879126355
03/2020,10068.720674334594
04/2020,10685.338205373086
05/2020,11058.007723290288
06/2020,11419.050782709795
07/2020,11300.29481376905
08/2020,11645.766723414858
09/2020,11528.67167711664
10/2020,10859.942698168834
11/2020,12276.29448158452
12/2020,12647.09546152888
01/2021,12590.831707013247
02/2021,12773.117967030686
03/2021,13482.539550720427
04/2021,13828.634306357182
05/2021,14097.703774446705
06/2021,14593.281567910977
07/2021,15056.263754515634
08/2021,15548.93493335548
09/2021,14865.672881285554
10/2021,15618.070838350704
11/2021,15244.98608977287
12/2021,16133.579703525309
01/2022,15162.770418967737
02/2022,14392.309928165098
03/2022,14757.920524851555
04/2022,14570.2362662459
05/2022,14053.4817090894
06/2022,13161.77386538222
07/2022,14388.15762155878
08/2022,13452.227712494292
09/2022,12463.77112485986
10/2022,13150.147406884525
11/2022,14094.174313831334
12/2022,13551.052609724704
01/2023,14576.879956816012
02/2023,14793.837976996223
03/2023,14994.8096167421
04/2023,15341.734833700122
05/2023,14898.476103475481
06/2023,15143.046962587718
07/2023,15392.392974297223
08/2023,15011.6264584977
09/2023,14625.461944109951
10/2023,14221.857741975668
11/2023,15372.669517917204
12/2023,15928.870987833743
01/2024,16338.703649877509
02/2024,16736.28700743263
03/2024,17217.33172777478
04/2024,16836.980442635886
05/2024,17576.29863389113
06/2024,17490.553502470622
07/2024,17647.09546152888
08/2024,17947.722459826437
09/2024,17950.62907445086
10/2024,17132.41705767554
