Date,MSCI Europe Small Cap SRI S-Series 5% Capped
12/2010,10000
01/2011,9991.106056021516
02/2011,10117.90686687943
03/2011,10004.914902002332
04/2011,10308.80505667548
05/2011,10325.489920427424
06/2011,9902.398232001877
07/2011,9591.503029536661
08/2011,8581.728251294075
09/2011,7978.035430462062
10/2011,8514.22492853721
11/2011,8263.284353245755
12/2011,8197.49304463609
01/2012,9032.295935965318
02/2012,9570.865608405888
03/2012,9577.746904718171
04/2012,9600.297614289522
05/2012,8920.840418224427
06/2012,9113.857831248675
07/2012,9440.799142112202
08/2012,9660.959873668002
09/2012,9973.325513427173
10/2012,10086.018468932942
11/2012,10142.148873175141
12/2012,10459.61437358575
01/2013,10822.187295784559
02/2013,11239.389736665395
03/2013,11379.139250352982
04/2013,11453.0813861573
05/2013,11873.554488628894
06/2013,11349.928015015563
07/2013,12088.084701178697
08/2013,12223.128368931943
09/2013,12876.414501711994
10/2013,13468.608131201416
11/2013,13718.69709523618
12/2013,13946.225266282252
01/2014,14139.530463430521
02/2014,15064.945323753107
03/2014,14890.529754798788
04/2014,14702.88195455292
05/2014,15054.299797258549
06/2014,14898.950581770301
07/2014,14523.905639991384
08/2014,14740.357442597458
09/2014,14501.565331753221
10/2014,14291.83979813413
11/2014,14622.839825394003
12/2014,14840.02185108592
01/2015,15865.81113847976
02/2015,17294.21233335375
03/2015,17622.856106587744
04/2015,17864.167631960947
05/2015,18509.225277092894
06/2015,17955.77008268102
07/2015,18566.584177381195
08/2015,17554.881972231626
09/2015,17045.41333116128
10/2015,18126.5901773924
11/2015,18870.612882635836
12/2015,18509.81515183991
01/2016,16938.098970792864
02/2016,16845.32788666605
03/2016,17396.71706146556
04/2016,17530.56710165098
05/2016,18262.665939533323
06/2016,16631.417472862908
07/2016,17557.1136259
08/2016,17824.75602365839
09/2016,17999.378096457116
10/2016,17532.530545613743
11/2016,17743.890474174612
12/2016,18608.956335109775
01/2017,18770.203824401633
02/2017,19381.66393660834
03/2017,19897.566497405824
04/2017,20860.567248165484
05/2017,21071.190157445617
06/2017,20542.31777335015
07/2017,20760.192565695248
08/2017,20634.965773967222
09/2017,21568.17573711671
10/2017,21912.90279402626
11/2017,21609.155393503508
12/2017,22133.728957628082
01/2018,22563.408851222386
02/2018,21913.37345721208
03/2018,21538.240342117544
04/2018,22427.188408801645
05/2018,22797.128150666278
06/2018,22545.91965242774
07/2018,22845.158280092917
08/2018,22722.977932626924
09/2018,22295.420506279283
10/2018,20601.932254577398
11/2018,19896.654068670374
12/2018,18619.239875635398
01/2019,20293.97653018764
02/2019,20979.43918136217
03/2019,21263.82630384391
04/2019,22250.523386791574
05/2019,20939.620656091338
06/2019,21550.582343608432
07/2019,21518.76166182652
08/2019,21154.273517315363
09/2019,21901.548455305536
10/2019,22447.73949159336
11/2019,23478.16492672011
12/2019,24474.04155683123
01/2020,24050.058227403253
02/2020,22106.223309258192
03/2020,17397.65647279169
04/2020,19499.35174566112
05/2020,20447.231165133777
06/2020,20564.130366056794
07/2020,20778.048722741012
08/2020,21936.83614605162
09/2020,21985.780363702874
10/2020,21017.478544224137
11/2020,24205.46677502159
12/2020,25392.411296517643
01/2021,25258.05091524336
02/2021,25979.17498689262
03/2021,27412.730334778178
04/2021,28352.119160818143
05/2021,29087.60524228014
06/2021,28995.574995190727
07/2021,29928.349737764296
08/2021,30607.521622855347
09/2021,28920.74136511393
10/2021,29816.09929264911
11/2021,28804.522469918888
12/2021,30098.61514357039
01/2022,28240.813584769563
02/2022,26936.138377571842
03/2022,27071.632601726054
04/2022,26708.802880141517
05/2022,26319.51682469145
06/2022,23379.27326316344
07/2022,25895.837535216175
08/2022,23942.226253059434
09/2022,21093.257043367546
10/2022,22316.86248464871
