Date,MSCI Europe Small Cap
12/2000,10000
01/2001,10550.305982997956
02/2001,10191.128189878895
03/2001,9695.236865942028
04/2001,10224.07317485354
05/2001,10675.512382075472
06/2001,10174.381073113207
07/2001,9697.074757281554
08/2001,9345.032430661719
09/2001,7798.835286387033
10/2001,8383.350143773501
11/2001,9214.125140481006
12/2001,9463.373992964938
01/2002,9491.272374667129
02/2002,9507.857819905215
03/2002,10064.311038514441
04/2002,10045.020204262875
05/2002,9714.193991690636
06/2002,8825.804160401001
07/2002,8031.8994684657055
08/2002,7865.483474016069
09/2002,6989.697058823531
10/2002,7275.14405920519
11/2002,7545.045532386421
12/2002,6963.089348717461
01/2003,6539.30898668639
02/2003,6298.955110369134
03/2003,6220.983937586049
04/2003,6961.487557272481
05/2003,7286.424209101676
06/2003,7695.53710510195
07/2003,8118.649496377452
08/2003,8705.075729843507
09/2003,8541.16267593546
10/2003,9271.693512304251
11/2003,9326.722527930631
12/2003,9331.596239113223
01/2004,10102.657299741602
02/2004,10527.658117249155
03/2004,10436.611011125657
04/2004,10440.18351887503
05/2004,10244.806525659946
06/2004,10643.986055121348
07/2004,10295.941149597144
08/2004,10209.838452646354
09/2004,10445.760456120559
10/2004,10593.907238753238
11/2004,11177.89808198571
12/2004,11483.726708758537
01/2005,12179.377675489068
02/2005,12630.219695255337
03/2005,12639.985498302995
04/2005,12209.895037431505
05/2005,12916.52623469305
06/2005,13527.032170029772
07/2005,14295.520879847847
08/2005,14656.633669454008
09/2005,15216.711758844045
10/2005,14351.8964068868
11/2005,15004.065426119465
12/2005,15768.887005170807
01/2006,16924.764523848822
02/2006,17695.485010526318
03/2006,18258.986863846665
04/2006,18788.870942011647
05/2006,17513.039710910787
06/2006,17407.22280342956
07/2006,17162.612242500196
08/2006,17523.390903431642
09/2006,18088.743601895734
10/2006,19026.21845463138
11/2006,19548.04268939394
12/2006,20514.875512528473
01/2007,21286.211093098653
02/2007,20954.80928771479
03/2007,21812.88188917255
04/2007,22571.03693495038
05/2007,23146.23072920538
06/2007,22699.17027027027
07/2007,22212.72601590428
08/2007,21269.104888726743
09/2007,20481.8281613654
10/2007,21597.750674880597
11/2007,19345.46124923786
12/2007,18820.106786223765
01/2008,16619.593544048417
02/2008,17141.457869057827
03/2008,16608.942448773083
04/2008,17196.226801801804
05/2008,17443.094918751613
06/2008,15707.175272773406
07/2008,15048.278937928384
08/2008,15513.743094672549
09/2008,12798.001887715864
10/2008,10329.520106608139
11/2008,9460.802270762948
12/2008,9110.435438672128
01/2009,9262.889357053682
02/2009,8731.64303226827
03/2009,8881.56236850015
04/2009,10822.889077212807
05/2009,11556.799439636829
06/2009,11459.817850573087
07/2009,12494.486525675486
08/2009,13619.90688060538
09/2009,14205.900225363657
10/2009,13807.676925675674
11/2009,13738.300139785664
12/2009,14489.343467999444
01/2010,14791.125662322784
02/2010,14703.545689019898
03/2010,16039.406595444761
04/2010,16398.394029290273
05/2010,15219.991996424798
06/2010,15144.757639964142
07/2010,15976.273603008904
08/2010,15758.252326498423
09/2010,16663.095105509965
10/2010,17339.048603593856
11/2010,17301.9452223419
12/2010,18975.667976350844
01/2011,18851.73155857435
02/2011,19035.43100332514
03/2011,18831.70356162455
04/2011,19394.03704576043
05/2011,19444.894925269382
06/2011,18718.353386840103
07/2011,18213.460834502104
08/2011,16112.911487889272
09/2011,14937.822372806044
10/2011,15983.120277123064
11/2011,15621.484759278577
12/2011,15652.953126207587
01/2012,16909.732999392832
02/2012,17946.543740236553
03/2012,17995.240191674155
04/2012,18119.962955955805
05/2012,16757.852616302513
06/2012,17310.9214853058
07/2012,17835.39132204494
08/2012,18195.993537387993
09/2012,18698.94802784223
10/2012,18954.61371507735
11/2012,19140.813491452333
12/2012,19796.715438835836
01/2013,20429.110332103322
02/2013,21089.443369639732
03/2013,21502.579695431476
04/2013,21766.524785801714
05/2013,22294.797170536676
06/2013,21254.099694189597
07/2013,22784.247532956688
08/2013,22947.529089535325
09/2013,24320.534653831914
10/2013,25294.306539110035
11/2013,25859.43655866578
12/2013,26409.10271191357
01/2014,26583.34407369044
02/2014,28384.190798523134
03/2014,28045.11343196983
04/2014,27731.99046931408
05/2014,28444.975380318952
06/2014,28140.709950212327
07/2014,27367.57750952986
08/2014,27739.314149226568
09/2014,27430.708137963917
10/2014,26936.87539923347
11/2014,27512.178402627575
12/2014,28047.052672761718
01/2015,29841.270809376383
02/2015,32518.739813167256
03/2015,33147.38683892555
04/2015,33631.99531876951
05/2015,34855.3255241568
06/2015,33689.522164625974
07/2015,35246.83432114525
08/2015,33126.71266161391
09/2015,32002.538739623316
10/2015,34247.585867296
11/2015,35498.85206541261
12/2015,34685.67594378616
01/2016,31625.666987179484
02/2016,31674.34648236591
03/2016,32808.931444883616
04/2016,33176.89875471367
05/2016,34343.909090909096
06/2016,31358.906052963426
07/2016,33285.99370107082
08/2016,33600.311534315486
09/2016,34150.54220051966
10/2016,33095.74109263658
11/2016,33345.14776680771
12/2016,35081.64196945261
01/2017,35547.349465364954
