Date,MSCI Europe Value
12/1978,10000
01/1979,10203.452861783053
02/1979,10508.296403660956
03/1979,11111.775602589674
04/1979,11467.59163715279
05/1979,11048.4826996455
06/1979,11189.937005340744
07/1979,10885.54996190737
08/1979,11279.902877688466
09/1979,11665.981825079823
10/1979,10554.243068735936
11/1979,10865.673188756044
12/1979,10711.519148008805
01/1980,11063.877737413071
02/1980,11206.105039109998
03/1980,10260.301132835888
04/1980,11525.415337803355
05/1980,11147.470198124409
06/1980,11738.746937479887
07/1980,11716.40005319101
08/1980,11996.879093564306
09/1980,11867.102894671283
10/1980,12183.537214242642
11/1980,12206.841685736177
12/1980,12335.277942033385
01/1981,11909.681856210285
02/1981,12734.115653299352
03/1981,13138.539828630288
04/1981,13588.18408278903
05/1981,13220.379891195851
06/1981,13488.297035679712
07/1981,13304.913236289669
08/1981,13975.059221191075
09/1981,12073.758849521979
10/1981,12260.192937717746
11/1981,13614.094772115937
12/1981,13307.684557612485
01/1982,13596.85525233376
02/1982,13606.183716186151
03/1982,13802.600152274497
04/1982,14444.246242180268
05/1982,13833.684014887724
06/1982,13336.501427154652
07/1982,13680.80546992454
08/1982,13777.858535356805
09/1982,13971.478219317814
10/1982,14468.561993689973
11/1982,14792.95583126721
12/1982,15032.395205128129
01/1983,15310.232185902056
02/1983,16243.334121834487
03/1983,17229.112825428234
04/1983,18931.584183459698
05/1983,18859.003777702368
06/1983,20097.885376964947
07/1983,19969.251976286218
08/1983,20377.760567067748
09/1983,20698.24821410663
10/1983,20135.11757730231
11/1983,21277.985319295276
12/1983,22170.14424207542
01/1984,24117.717198137558
02/1984,24113.280274901615
03/1984,23779.81661797235
04/1984,23980.911508840058
05/1984,23279.759093235203
06/1984,23061.26743585167
07/1984,22237.29536252448
08/1984,24421.260349948992
09/1984,25186.375716047598
10/1984,25589.253048981183
11/1984,24928.8539186362
12/1984,26063.327009184653
01/1985,28068.273526369125
02/1985,27990.52562768516
03/1985,31077.917406736873
04/1985,29617.832910844336
05/1985,31284.905282686257
06/1985,31370.62843633956
07/1985,32511.139414541576
08/1985,32977.9494118724
09/1985,34192.95868702185
10/1985,35577.46982982009
11/1985,37536.58373784458
12/1985,38550.76879065456
01/1986,38256.69442363863
02/1986,41548.46553824451
03/1986,43825.932912897755
04/1986,47456.74783632735
05/1986,42353.39730697284
06/1986,44578.81704320358
07/1986,42650.50497541729
08/1986,45967.6650263886
09/1986,43239.034418489566
10/1986,42860.86810072931
11/1986,45292.73648307276
12/1986,45894.825197165024
01/1987,45619.1445520807
02/1987,46288.52475081506
03/1987,49059.45299328115
04/1987,50528.85231194336
05/1987,49971.04071690182
06/1987,52414.31278276115
07/1987,55058.179926534576
08/1987,56084.222442085695
09/1987,54979.783492444905
10/1987,44698.441313901334
11/1987,40410.96945074412
12/1987,41558.76926911356
01/1988,40478.016773166026
02/1988,44059.07859305375
03/1988,45032.7272281277
04/1988,45800.73139545971
05/1988,45439.12323632761
06/1988,46564.72346698916
07/1988,49234.30504665939
08/1988,48105.31496260122
09/1988,50078.421461649006
10/1988,53531.38229923601
11/1988,52280.243780273806
12/1988,52767.30381021412
01/1989,56963.93126564813
02/1989,56856.26286327027
03/1989,57920.451298726475
04/1989,59748.79002146425
05/1989,59229.97663087333
06/1989,62512.76748781964
07/1989,66744.11410262327
08/1989,66834.5700335854
09/1989,69084.55352731138
10/1989,62091.33918671372
11/1989,64613.46882296121
12/1989,69329.59625804907
01/1990,67318.81866192965
02/1990,65262.61234415516
03/1990,67136.79599019812
04/1990,64601.377512055966
05/1990,68109.67073643272
06/1990,70511.382425931
07/1990,71154.79826110568
08/1990,61262.77193882218
09/1990,54216.645008448664
10/1990,56135.05565424254
11/1990,55943.3328975932
12/1990,55839.31015588107
01/1991,57651.362450986766
02/1991,61888.91022171079
03/1991,62639.98230770733
04/1991,65384.243874693275
05/1991,68306.64440369516
06/1991,64841.502597803905
07/1991,69568.97005559831
08/1991,69491.2995315226
09/1991,69547.68426481822
10/1991,67416.9727536528
11/1991,62670.889502954735
12/1991,64683.22800186917
01/1992,65135.32628078244
02/1992,66775.08944894937
03/1992,66065.27679818621
04/1992,69982.33130869597
05/1992,72363.0695900888
06/1992,68136.60337843439
07/1992,62229.807782405805
08/1992,60229.51688919268
09/1992,60638.155482572
10/1992,58703.464424250706
11/1992,62317.083639122146
12/1992,63982.01877988673
01/1993,66542.11931342112
02/1993,69686.35678399738
03/1993,74287.72308347929
04/1993,73491.14768283276
05/1993,74575.86290458636
