Date,MSCI Europe ex Controversial Weapons
05/2006,10000
06/2006,10157.374716633105
07/2006,10270.785624090246
08/2006,10524.20343760296
09/2006,10772.650015926585
10/2006,11201.604014182263
11/2006,11159.514086988294
12/2006,11541.9545109342
01/2007,11804.703388962234
02/2007,11531.792926136312
03/2007,11853.000004402855
04/2007,12353.80735811971
05/2007,12714.974492184134
06/2007,12666.534174836188
07/2007,12212.501903807308
08/2007,12076.383327165227
09/2007,12262.536837087708
10/2007,12596.224838172026
11/2007,11935.94785952157
12/2007,11756.083808483903
01/2008,10421.843390892162
02/2008,10382.892166782924
03/2008,10000.79381226805
04/2008,10639.885979439481
05/2008,10710.573064627124
06/2008,9617.076655190498
07/2008,9430.65601407275
08/2008,9596.710543625237
09/2008,8395.628055403105
10/2008,7413.5671087296805
11/2008,6920.502821833013
12/2008,6662.421940251525
01/2009,6429.635220236393
02/2009,5854.554041790688
03/2009,5952.134024676192
04/2009,6798.99186074239
05/2009,7180.728812639895
06/2009,7021.38582506026
07/2009,7761.600068284933
08/2009,8175.118242327175
09/2009,8336.589077452845
10/2009,8154.48155117034
11/2009,8266.30843315993
12/2009,8748.920797445044
01/2010,8490.427345644284
02/2010,8563.58368941118
03/2010,9182.261052202562
04/2010,9043.97132181593
05/2010,8594.291945352883
06/2010,8556.30354550699
07/2010,9000.04452414175
08/2010,8908.456709375461
09/2010,9184.451045822712
10/2010,9437.870372696092
11/2010,9297.566498489696
12/2010,9805.313237624076
01/2011,9945.44283241308
02/2011,10167.751684249763
03/2011,9818.70151833125
04/2011,10138.250800624344
05/2011,10126.56095693067
06/2011,9886.77198093301
07/2011,9680.831531648624
08/2011,8595.824308680492
09/2011,8188.147257697717
10/2011,8853.048567516433
11/2011,8820.65864417006
12/2011,9004.91636953809
01/2012,9256.328289200575
02/2012,9647.893697343705
03/2012,9654.416898888012
04/2012,9533.188051903906
05/2012,8911.708635887639
06/2012,9475.680277113992
07/2012,9819.802698567391
08/2012,9987.08066454086
09/2012,10028.073091226452
10/2012,10125.344132905457
11/2012,10393.471323368389
12/2012,10517.06473692901
01/2013,10841.309794400984
02/2013,10878.759641009485
03/2013,11127.924015443123
04/2013,11374.552127983703
05/2013,11451.459258761799
06/2013,10837.089248389133
07/2013,11463.457085088023
08/2013,11350.010967826327
09/2013,11922.778272652868
10/2013,12309.59645095289
11/2013,12482.623357972096
12/2013,12595.408598938084
01/2014,12355.324587589432
02/2014,12972.30625250488
03/2014,12863.119967975088
04/2014,13125.81320799262
05/2014,13480.507647567276
06/2014,13416.358482952824
07/2014,13180.51442807087
08/2014,13428.1366870474
09/2014,13545.361098642981
10/2014,13250.381534856171
11/2014,13646.729817323798
12/2014,13429.049278966811
01/2015,14421.632181682457
02/2015,15417.701543949619
03/2015,15679.077271468364
04/2015,15694.585888660367
05/2015,15921.449070763443
06/2015,15130.589175067731
07/2015,15919.455253883312
08/2015,14457.132826141758
09/2015,13797.018002544843
10/2015,15034.547180807707
11/2015,15370.02931050419
12/2015,14550.85447630673
01/2016,13551.992790422517
02/2016,13348.458250620533
03/2016,13567.068113944282
04/2016,13876.569426040358
05/2016,14102.959881288312
06/2016,13539.66178856297
07/2016,14092.425883251914
08/2016,14109.697855750504
09/2016,14195.631241124835
10/2016,14003.339676784035
11/2016,14100.268310386326
12/2016,14971.580201907203
01/2017,14978.470660694049
02/2017,15383.387780426727
03/2017,15860.448084864454
04/2017,16061.414177290499
05/2017,16403.525022256767
06/2017,15952.830378505081
07/2017,15987.765321484223
08/2017,15864.493123804668
09/2017,16412.92602675915
10/2017,16726.031604909487
11/2017,16465.090631883846
12/2017,16512.6766094303
01/2018,16756.81756408235
02/2018,16085.662396230578
03/2018,15754.436906244624
04/2018,16516.33506421716
05/2018,16487.95718252371
06/2018,16434.48528996441
07/2018,16868.85416953944
08/2018,16519.52630963438
09/2018,16685.77460090221
10/2018,15763.7112424736
11/2018,15560.487941874855
12/2018,14723.835102441748
01/2019,15641.9490700954
02/2019,16269.28296789814
03/2019,16632.234991351103
