Date,MSCI France
12/1978,10000
01/1979,9853.90059171661
02/1979,9323.972772899646
03/1979,9771.184324495627
04/1979,10351.754702016115
05/1979,9792.47162385337
06/1979,11137.243100483656
07/1979,10746.32014735463
08/1979,11579.172663805384
09/1979,13261.93718220195
10/1979,11761.124611072542
11/1979,12579.700517713747
12/1979,12239.545707718047
01/1980,12978.691636305908
02/1980,12970.922033321507
03/1980,11464.193857446311
04/1980,12855.576325172784
05/1980,13098.58014418564
06/1980,13060.95549832232
07/1980,12350.285796119246
08/1980,12878.481063826204
09/1980,12808.98203407378
10/1980,13525.014468396972
11/1980,13712.905962676972
12/1980,13080.07455158947
01/1981,11641.716869026453
02/1981,12558.046823297293
03/1981,13106.771116692596
04/1981,12032.82326087455
05/1981,9789.454716072376
06/1981,9409.189950087804
07/1981,10417.851538114006
08/1981,11274.23668271285
09/1981,11126.273360708909
10/1981,10510.183546232987
11/1981,11124.729807323945
12/1981,10895.11693028433
01/1982,11597.890577602955
02/1982,12530.287058404092
03/1982,11869.924153770153
04/1982,13171.917447442325
05/1982,12579.23756251934
06/1982,10952.850729647096
07/1982,10903.5379315948
08/1982,11248.490735316256
09/1982,10945.658992210994
10/1982,11123.366300526892
11/1982,11782.942349900115
12/1982,11600.263748169276
01/1983,11921.478849702038
02/1983,12641.428460532703
03/1983,13138.500146104348
04/1983,13846.15480381276
05/1983,14138.63537199391
06/1983,14324.932271271507
07/1983,14394.929092596072
08/1983,15311.049823335681
09/1983,16099.64222578242
10/1983,15796.355652183773
11/1983,16886.142811445967
12/1983,17752.462509467718
01/1984,19147.83006961329
02/1984,19000.09762720188
03/1984,18621.453561555187
04/1984,20011.531096437004
05/1984,20003.72044982093
06/1984,19457.253668331356
07/1984,18041.163952833973
08/1984,20178.569672902977
09/1984,20928.466607904422
10/1984,21670.47482482315
11/1984,20648.044999133814
12/1984,21178.77267020091
01/1985,22940.9250580471
02/1985,23164.303296099828
03/1985,26102.878200602954
04/1985,24884.637630927864
05/1985,27173.914459542815
06/1985,25930.184351556556
07/1985,25213.90708267745
08/1985,25427.15311696593
09/1985,25425.328996355853
10/1985,25975.273806977086
11/1985,29624.241341643687
12/1985,31757.179508451507
01/1986,33843.152497679985
02/1986,38377.51118771568
03/1986,40986.36277058841
04/1986,46337.36826733385
05/1986,39410.479484552074
06/1986,41894.549595932614
07/1986,45217.376843342754
08/1986,48536.97305661218
09/1986,44478.40823682179
10/1986,43939.422626462685
11/1986,47728.1464445268
12/1986,47352.603067207296
01/1987,49354.215484051856
02/1987,49516.001277884425
03/1987,52425.22541787435
04/1987,52084.924576935824
05/1987,48588.499214096075
06/1987,46391.71233913039
07/1987,48125.907444197255
08/1987,51006.45309424397
09/1987,46554.74753407985
10/1987,37700.72249757783
11/1987,34891.01585155036
12/1987,33680.2664761906
01/1988,28849.585186119017
02/1988,35913.084815960094
03/1988,33305.20116184975
04/1988,35962.72950440079
05/1988,38718.10438891144
06/1988,40604.966541172456
07/1988,41475.49203194582
08/1988,41026.875354678945
09/1988,44688.41794112325
10/1988,48551.42461303758
11/1988,47547.364212338
12/1988,49610.01439980332
01/1989,52056.22174445152
02/1989,51574.71653701327
03/1989,52482.49651080662
04/1989,54879.15906283448
05/1989,55523.34447275454
06/1989,57723.19072215149
07/1989,61343.76413101604
08/1989,61860.67293244312
09/1989,66440.60879315215
10/1989,61005.14822009142
11/1989,63898.226568126796
12/1989,68551.74640934147
01/1990,63156.47559926905
02/1990,60729.399121026756
03/1990,65810.25182605523
04/1990,68803.54490716892
05/1990,69033.43414900039
06/1990,68454.82907256235
07/1990,66979.87013497508
08/1990,55858.15973466219
09/1990,50038.04146405784
10/1990,53911.864760788274
11/1990,52286.638018262645
12/1990,50333.59729452843
01/1991,52410.32274751917
02/1991,56445.1697375209
03/1991,56942.739223063836
04/1991,58334.93221691928
05/1991,61362.953749924796
06/1991,57557.36398592852
07/1991,60108.18486972021
08/1991,62413.23677593624
