Date,MSCI India
12/1992,10000
01/1993,9987.31866501854
02/1993,10488.404797297297
03/1993,8911.473264301478
04/1993,8050.57410838731
05/1993,8486.722215829703
06/1993,8839.460159025546
07/1993,9775.636363636364
08/1993,11182.94692136828
09/1993,11211.854517532634
10/1993,11155.090720759603
11/1993,13918.006523666016
12/1993,14758.16167272083
01/1994,17440.787068965517
02/1994,18581.46242061007
03/1994,16170.306964520369
04/1994,15843.268845545597
05/1994,15693.358700137553
06/1994,16218.369418132614
07/1994,16184.705606557378
08/1994,17506.59320531758
09/1994,16352.975742815393
10/1994,15892.76894409938
11/1994,15588.879974139321
12/1994,15100.96160316675
01/1995,13876.248905404316
02/1995,12999.101054650046
03/1995,12022.748947934266
04/1995,11196.585447423924
05/1995,11832.416521340065
06/1995,11350.446662621358
07/1995,11686.573206387286
08/1995,11606.860554568626
09/1995,11418.37944144567
10/1995,10946.909480169426
11/1995,9376.824450104192
12/1995,9914.574519796157
01/1996,9070.378352642438
02/1996,11141.415514764565
03/1996,11249.165512840964
04/1996,12751.758301158297
05/1996,12422.865912236422
06/1996,12832.439486226674
07/1996,11594.739188544152
08/1996,11259.739156484036
09/1996,10441.727958015264
10/1996,10246.743622876285
11/1996,9222.010866141733
12/1996,9956.746623742456
01/1997,11150.858234126985
02/1997,12439.992097316885
03/1997,11567.787606912203
04/1997,13105.786837486838
05/1997,12902.33680342927
06/1997,15056.977919320594
07/1997,15734.646153846154
08/1997,14429.873300289908
09/1997,14296.921409707677
10/1997,13559.751824034336
11/1997,11848.690077940277
12/1997,12380.122636927781
01/1998,11351.073806237924
02/1998,12519.310052327184
03/1998,13480.726361374735
04/1998,13669.095561453281
05/1998,11926.893439077146
06/1998,10518.8954248366
07/1998,10430.530373066422
08/1998,9520.666026280021
09/1998,9521.790479481644
10/1998,8477.4809218737
11/1998,8565.923294238508
12/1998,9222.170466144946
01/1999,10660.308151791987
02/1999,10645.669195861317
03/1999,12755.299348352262
04/1999,11323.00103802963
05/1999,13630.261744452944
06/1999,14366.757397366382
07/1999,15392.346025808865
08/1999,17014.922689870426
09/1999,16857.35752461322
10/1999,15982.048521955421
11/1999,17578.606160245614
12/1999,20218.601712124233
01/2000,22976.084036359924
02/2000,27399.254848672015
03/2000,25001.075473673187
04/2000,22157.387253714915
05/2000,19070.407997420185
06/2000,20545.857764755125
07/2000,18940.149302174617
08/2000,20528.823759263418
09/2000,18586.795071306333
10/2000,17698.706760128312
11/2000,18399.147167204057
12/2000,17082.53429339065
01/2001,18608.723469277953
02/2001,18018.865484429065
03/2001,15545.686956521738
04/2001,15119.180576836414
05/2001,16462.4925
06/2001,15611.771603773586
07/2001,14626.798766419188
08/2001,13788.335968552086
09/2001,11904.815069543312
10/2001,12826.816721964167
11/2001,14368.928118678354
12/2001,14527.86978327471
01/2002,15085.331295588745
02/2002,16009.662605479134
03/2002,15785.361623108665
04/2002,14611.815452930727
05/2002,13140.917098114414
06/2002,12739.501112781953
07/2002,12072.659061637534
08/2002,12760.032624834741
09/2002,12107.244219066935
10/2002,12088.161435523112
11/2002,13261.108975521303
12/2002,13231.32724325355
01/2003,12299.822374260355
02/2003,12514.859766277126
03/2003,11461.843230839837
04/2003,10728.439098014554
05/2003,10924.658095076975
06/2003,12916.164452612233
07/2003,13932.874606820993
08/2003,16294.876214880569
09/2003,16161.535530381048
10/2003,17901.289726381005
11/2003,17770.437718859426
12/2003,19595.563135391927
01/2004,19501.584786821706
02/2004,19205.691834433885
03/2004,19968.87761780105
04/2004,20096.344856449316
05/2004,16582.719626168222
06/2004,16704.490168654873
07/2004,18069.861450286568
08/2004,17956.919593757742
09/2004,19014.933483761786
10/2004,19215.696569050793
11/2004,20661.100413689357
12/2004,21641.41739960355
01/2005,22216.35341772152
02/2005,22446.82281059063
03/2005,22198.12030237581
04/2005,21028.389627228527
05/2005,24050.20079474495
06/2005,26647.06979821369
07/2005,28146.325576779953
08/2005,28002.629414658142
09/2005,31141.43976083707
10/2005,28010.854229393666
11/2005,31438.482997705833
12/2005,34375.42948207172
01/2006,35998.252384882
02/2006,37654.846181052635
03/2006,40622.660641110386
04/2006,40597.07441971763
05/2006,33948.391109729564
06/2006,35070.284496185
07/2006,34955.28500039164
08/2006,37998.53150727571
09/2006,41605.68739336493
10/2006,44243.152930056705
11/2006,44987.12263636363
12/2006,46496.737858769935
01/2007,48477.82056507642
02/2007,43430.861342820375
03/2007,44436.92058867697
04/2007,48769.41459757442
05/2007,52746.12247082435
06/2007,52955.5495890411
07/2007,55426.59610418034
08/2007,53694.118905508934
09/2007,60627.948092249106
10/2007,69618.81201633556
11/2007,66776.95012533027
12/2007,72010.40195638883
01/2008,61065.67932750504
02/2008,58437.24586272829
03/2008,48947.40963824944
04/2008,55321.31042471042
05/2008,49821.153675522306
06/2008,39422.68264399898
07/2008,42483.011799372245
08/2008,44482.69266372582
09/2008,37397.20934069776
10/2008,29989.856016304773
11/2008,26853.27678164532
12/2008,26938.903211899116
01/2009,28664.696067415734
02/2009,26042.7468838975
03/2009,27750.262128043283
04/2009,33257.05437288136
05/2009,42801.082309547455
06/2009,41763.94699306637
07/2009,45476.76972697694
08/2009,44560.69843049327
09/2009,48212.7791026429
10/2009,45786.180567567564
11/2009,48900.735592092125
12/2009,52780.071886713864
01/2010,51559.77405126736
02/2010,53781.001945467935
03/2010,59147.962875584235
04/2010,61000.51070221555
05/2010,60725.13766149346
06/2010,63515.91824627169
07/2010,60259.74998464844
08/2010,61022.841009463715
09/2010,65925.13751465417
10/2010,65985.42853431478
11/2010,65751.973442068
12/2010,68825.06008082621
01/2011,58394.448466257665
02/2011,56775.26361139223
03/2011,61424.40667276694
04/2011,58112.26643337819
05/2011,57494.322419186654
06/2011,58235.45683249152
07/2011,57671.65287517532
08/2011,49883.47590311419
09/2011,49903.14872250611
10/2011,52249.32153417613
11/2011,45815.125890594725
12/2011,44659.67855321122
01/2012,53056.029963570116
02/2012,54508.125596964965
03/2012,51940.260826594786
04/2012,50014.001937339184
05/2012,47105.3700556317
06/2012,49846.58163621923
07/2012,50872.0444806252
08/2012,50111.259979383074
09/2012,56024.396473317865
10/2012,53637.32865389057
11/2012,56063.375974125986
12/2012,55169.51796271033
01/2013,56411.57207380074
02/2013,53951.96535912865
03/2013,55394.579273721196
04/2013,56532.33589351285
05/2013,55145.38855912656
06/2013,51191.13633027523
07/2013,49038.22770621469
08/2013,43900.3617075935
09/2013,46976.77257312107
10/2013,51419.21469100506
11/2013,49784.14264932775
12/2013,50758.75179464868
01/2014,49825.12693104469
02/2014,50424.789603996236
03/2014,54913.98520452567
04/2014,54063.49611552346
05/2014,60298.2020724627
06/2014,62458.67145995021
07/2014,64534.142282681816
08/2014,67149.43339399455
09/2014,69380.63822617818
10/2014,72462.73682529543
11/2014,73864.39807738525
12/2014,71419.28322213986
01/2015,82792.70170720918
02/2015,84818.97576512455
03/2015,84941.78919973974
04/2015,76159.00932679448
05/2015,80062.96758432087
06/2015,78726.67716507283
07/2015,81746.46422905078
08/2015,72918.13000445832
09/2015,73328.75454788895
10/2015,75737.70732504311
11/2015,75106.7760657907
12/2015,74768.15409203638
01/2016,69412.35824175824
02/2016,64463.937839823666
03/2016,69713.09575757575
04/2016,69934.18658247829
05/2016,72839.17945131792
06/2016,74151.54076742928
07/2016,78282.48570143076
08/2016,79054.43489040603
09/2016,78127.05721709524
10/2016,79268.05729947012
11/2016,75502.35486600848
12/2016,76116.02754956833
01/2017,77847.66092050211
02/2017,83673.80790789846
03/2017,87896.63155925545
04/2017,87633.60395242451
05/2017,86860.23855271365
06/2017,84737.90084121976
07/2017,88814.86068048094
08/2017,87417.9886680761
09/2017,84328.60413349145
10/2017,91852.26660938306
11/2017,89580.9439783948
12/2017,92828.16926540482
01/2018,92447.25478044471
02/2018,87965.08206975601
03/2018,84074.27192598005
04/2018,89288.06540276513
05/2018,88874.93194290111
06/2018,88319.50334534225
07/2018,93447.18343558282
08/2018,95036.519886705
09/2018,86944.18724948169
10/2018,82721.54440713908
11/2018,90969.97957566689
12/2018,90127.80492576418
01/2019,88099.02179665737
02/2019,88682.61737911701
03/2019,98427.7117222964
04/2019,99129.40927081477
05/2019,99940.92945924132
06/2019,97661.17602811953
07/2019,94470.00021522734
08/2019,92663.43251177964
09/2019,96803.71358251447
10/2019,98591.21904249597
11/2019,99573.08249863412
12/2019,98819.28506320101
01/2020,99653.25841476656
02/2020,93037.50762503417
03/2020,69787.29463307776
04/2020,81650.53604266276
05/2020,77549.86465517241
06/2020,82374.67190569745
