Date,MSCI Japan 100% Hedged to EUR
09/2010,10000
10/2010,9837.6119
11/2010,10465.4652
12/2010,10911.2398
01/2011,11035.7703
02/2011,11542.1344
03/2011,10638.7514
04/2011,10463.2127
05/2011,10309.908
06/2011,10406.6808
07/2011,10309.6638
08/2011,9386.964100000001
09/2011,9306.0975
10/2011,9400.2826
11/2011,8935.7789
12/2011,8936.9174
01/2012,9259.8081
02/2012,10248.726
03/2012,10557.214399999999
04/2012,9893.0525
05/2012,8747.220299999999
06/2012,9340.288700000001
07/2012,8923.6067
08/2012,8879.3773
09/2012,9026.6622
10/2012,9100.166799999999
11/2012,9589.555699999999
12/2012,10522.7647
01/2013,11433.689
02/2013,11881.5113
03/2013,12698.0079
04/2013,14213.7342
05/2013,13904.203999999998
06/2013,13915.6944
07/2013,13855.7566
08/2013,13521.001
09/2013,14628.3814
10/2013,14629.019
11/2013,15468.5216
12/2013,15992.9705
01/2014,14863.7279
02/2014,14805.4994
03/2014,14749.1008
04/2014,14254.547299999997
05/2014,14786.8545
06/2014,15497.266
07/2014,15828.113200000003
08/2014,15642.7223
09/2014,16391.881
10/2014,16534.1098
11/2014,17454.4856
12/2014,17392.3282
01/2015,15169.9934
02/2015,18811.954299999998
03/2015,19179.0747
04/2015,19807.569799999997
05/2015,20794.608500000002
06/2015,20155.274
07/2015,20501.3016
08/2015,18875.007700000002
09/2015,17360.246
10/2015,19261.7959
11/2015,19489.1048
12/2015,19084.5699
01/2016,17629.1593
02/2016,15916.6838
03/2016,16591.2525
04/2016,16524.9975
05/2016,16944.9847
06/2016,15162.7988
07/2016,16121.5398
08/2016,16329.8022
09/2016,16246.8719
10/2016,17072.2506
11/2016,18013.898800000003
12/2016,18609.1833
01/2017,18633.9319
02/2017,18716.7256
03/2017,18570.4144
04/2017,18770.0245
05/2017,19163.0602
06/2017,19657.1328
07/2017,19718.2915
08/2017,19624.7821
09/2017,20446.1911
10/2017,21594.716800000002
11/2017,21892.795599999998
12/2017,22178.1012
01/2018,22464.4197
02/2018,21580.4886
03/2018,21055.3534
04/2018,21793.763000000003
05/2018,21406.2718
06/2018,21267.1637
07/2018,21567.0516
08/2018,21403.3679
09/2018,22565.7428
10/2018,20462.0237
11/2018,20662.186700000002
12/2018,18583.0399
01/2019,19557.1854
02/2019,19985.7742
03/2019,19979.7989
04/2019,20384.7131
05/2019,19042.6985
06/2019,19600.012899999998
07/2019,19779.1273
08/2019,19109.1133
09/2019,20230.6132
10/2019,21197.1981
11/2019,21588.1732
12/2019,21875.636700000003
01/2020,21509.8702
02/2020,19417.7737
03/2020,18039.983799999998
04/2020,18842.43
05/2020,20065.6834
06/2020,20087.5887
07/2020,19385.305099999998
08/2020,20899.802600000003
09/2020,21009.1625
10/2020,20456.9929
11/2020,22899.5875
12/2020,23596.2849
01/2021,23679.6267
02/2021,24444.6913
03/2021,25609.995099999996
04/2021,24950.7834
05/2021,25347.5082
06/2021,25632.7553
07/2021,25007.915
08/2021,25793.530399999996
09/2021,26911.4489
10/2021,26578.6355
11/2021,25777.646800000002
12/2021,26608.131500000003
01/2022,25246.4664
02/2022,24944.6619
03/2022,26090.222
04/2022,25403.3671
05/2022,25628.855900000002
06/2022,24941.259400000003
07/2022,25948.1375
08/2022,26226.7814
09/2022,24585.8447
10/2022,25976.696
11/2022,26804.7644
12/2022,25427.5947
01/2023,26667.835300000002
02/2023,26914.396900000007
03/2023,27407.9439
04/2023,28193.771600000007
05/2023,29562.1886
06/2023,31830.9332
07/2023,32344.52
08/2023,32446.7027
09/2023,32668.6691
10/2023,31814.944000000007
11/2023,33811.763100000004
12/2023,33772.5735
01/2024,36702.4258
02/2024,38796.0242
03/2024,40550.257
04/2024,40268.564099999996
05/2024,40872.947199999995
06/2024,41659.452399999995
07/2024,41357.1744
08/2024,40345.8183
