Date,MSCI Japan IMI
05/1994,10000
06/1994,10432.86897207346
07/1994,9741.240340983059
08/1994,9776.722082111668
09/1994,9416.872242380532
10/1994,9454.148149619177
11/1994,8999.228331072703
12/1994,9351.028956166932
01/1995,8631.570202442701
02/1995,8031.336713261854
03/1995,8428.212254602146
04/1995,8619.902329821138
05/1995,8174.462364108026
06/1995,7748.137612119771
07/1995,8211.72654391902
08/1995,8157.642917734203
09/1995,8296.223307945094
10/1995,7741.368336415891
11/1995,8165.483344876199
12/1995,8680.840430180078
01/1996,8657.273196067368
02/1996,8576.852654911023
03/1996,8866.14220922812
04/1996,9544.945378425771
05/1996,9196.568552515319
06/1996,9168.470156867459
07/1996,8607.604342737626
08/1996,8177.199951512106
09/1996,8457.841657884239
10/1996,7919.68337550582
11/1996,7846.642804218973
12/1996,7429.003157737128
01/1997,6828.919268115124
02/1997,7241.241027502547
03/1997,7067.9640707706
04/1997,7252.159095277515
05/1997,8179.188181693881
06/1997,8776.249042492032
07/1997,8654.986211703454
08/1997,8093.808014300761
09/1997,7624.105426840596
10/1997,6940.889898607177
11/1997,6253.580192664435
12/1997,5950.146232740776
01/1998,6734.536366128023
02/1998,6772.518288925912
03/1998,6351.013936159332
04/1998,6242.887277345086
05/1998,5851.668632358392
06/1998,5923.857350611334
07/1998,5875.75937980444
08/1998,5254.614359914759
09/1998,4913.322873301252
10/1998,5469.685154808674
11/1998,5884.761176941887
12/1998,6082.713585032348
01/1999,6316.647925190523
02/1999,6406.44769089379
03/1999,7497.8139199028865
04/1999,7995.832598242403
05/1999,7688.773834786904
06/1999,8679.671167812665
07/1999,9237.593482685334
08/1999,9663.9394548994
09/1999,10267.504899625603
10/1999,11142.023959529995
11/1999,12459.254079337223
12/1999,13072.119498914893
01/2000,12764.437107386304
02/2000,12779.978362136895
03/2000,13728.9932858272
04/2000,13125.072638080293
05/2000,11845.838188316817
06/2000,12280.827317583231
07/2000,11138.362166336525
08/2000,12395.68033891533
09/2000,12040.94725920653
10/2000,11600.647706008716
11/2000,10912.468742375198
12/2000,9290.603888651307
01/2001,9275.179350314673
02/2001,8837.418333523416
03/2001,8936.733383137444
04/2001,9619.165938920081
05/2001,10057.577348363733
06/2001,9485.631236116858
07/2001,8401.805926186655
08/2001,7809.530124562832
09/2001,7287.353414204657
10/2001,7411.189504856885
11/2001,7429.21324790748
12/2001,6912.93405706507
01/2002,6522.72700929064
02/2002,6781.406816421911
03/2002,7144.405054655507
04/2002,7286.43142982127
05/2002,7497.667553690984
06/2002,6704.926984646906
07/2002,6405.496113730694
08/2002,6298.006799224186
09/2002,6008.456509366634
10/2002,5593.080872746083
11/2002,5756.632934184801
12/2002,5328.754304866804
01/2003,4973.08457389749
02/2003,5045.847820572414
03/2003,4800.880001058679
04/2003,4700.400957980787
05/2003,4634.823925955222
06/2003,5142.044289943433
07/2003,5386.132526628994
08/2003,6138.365623945523
09/2003,6131.563481851058
10/2003,6439.821773558329
11/2003,6011.462425359381
12/2003,6090.598130608313
01/2004,6339.283826262877
02/2004,6317.779914231228
03/2004,7346.59882404309
04/2004,7155.263359325849
05/2004,6742.221848837224
06/2004,7177.945323067789
07/2004,6794.038289792276
08/2004,6792.530387616761
09/2004,6464.908010868164
10/2004,6446.550543595862
11/2004,6467.749366889933
12/2004,6634.330947923571
01/2005,6833.8387410862415
02/2005,6853.396030177985
03/2005,6892.1401993377285
04/2005,6735.845298510545
05/2005,6996.486733801866
06/2005,7143.5222793412995
07/2005,7223.454315784461
08/2005,7617.579412833861
09/2005,8459.922872682477
10/2005,8432.286166298298
11/2005,8947.470507995411
12/2005,9732.514817016241
01/2006,9907.189626769057
02/2006,9944.754016004388
03/2006,10027.015291851796
04/2006,9931.485961323298
05/2006,9064.047702896594
06/2006,9042.606214628016
07/2006,8899.5270580119
08/2006,8978.167132282395
09/2006,8964.257810159286
10/2006,9070.64328919304
11/2006,8774.228718241291
12/2006,8976.261156532573
01/2007,9212.047810621241
02/2007,9384.870911048693
03/2007,9186.385127827012
04/2007,8825.07624602121
05/2007,9028.625430405245
06/2007,8971.385718811667
07/2007,8822.151852517429
08/2007,8546.970105654173
09/2007,8435.52942239058
10/2007,8274.102025784028
11/2007,7948.234146688536
12/2007,7634.273634885844
01/2008,7214.677082604081
02/2008,7122.834690364179
03/2008,6592.161018847771
04/2008,7142.143311480189
05/2008,7345.347531760162
06/2008,6739.605428232543
07/2008,6574.880064338853
08/2008,6684.751256631369
09/2008,6127.241851240637
10/2008,5891.430654927979
11/2008,5873.757028923589
12/2008,5805.525211923374
01/2009,5889.291116964795
02/2009,5223.8884784967295
03/2009,5077.294582030471
04/2009,5547.940298094206
05/2009,5775.790699638022
06/2009,5898.869432677928
07/2009,6134.6435156069665
08/2009,6330.3352705860925
09/2009,6075.220093123858
10/2009,5850.131670204035
11/2009,5683.679121403736
12/2009,5951.651229201692
01/2010,6257.767986484867
02/2010,6519.050705808748
03/2010,6886.979349320127
04/2010,6987.103761749145
05/2010,6959.6883994528325
06/2010,6863.128193211939
07/2010,6673.553541305013
08/2010,6701.604199264836
09/2010,6507.219760519384
10/2010,6515.266551765296
11/2010,7090.441076392688
12/2010,7444.9302995026055
01/2011,7284.94924354966
02/2011,7533.784519852677
03/2011,6691.40998362921
04/2011,6418.299197185808
05/2011,6523.549006814185
06/2011,6609.351696140809
07/2011,6942.155133363366
08/2011,6335.479838622044
09/2011,6686.559102503083
10/2011,6397.767245049999
11/2011,6398.449154308199
12/2011,6697.828801493546
01/2012,6870.416546550429
02/2012,7032.188342128754
03/2012,7186.962169845558
04/2012,7051.520976312421
05/2012,6849.206864792229
06/2012,7085.234375856284
07/2012,7097.464259147241
08/2012,6864.895999363239
09/2012,6855.741649490662
10/2012,6691.680053081534
11/2012,6836.91498662567
12/2012,7063.461954396604
01/2013,7131.124926532272
02/2013,7563.899730270268
03/2013,8170.695093699214
04/2013,8679.113603664502
05/2013,8199.494757089115
06/2013,8271.030274627423
07/2013,8210.86526813202
08/2013,8068.139355867919
09/2013,8602.889230416014
10/2013,8511.749681967995
11/2013,8629.600510394257
12/2013,8584.818834697648
01/2014,8468.862999610563
02/2014,8220.56498715214
03/2014,8148.85761682839
04/2014,7912.049828025414
05/2014,8369.360719375862
06/2014,8799.109938517913
07/2014,9034.005675960367
08/2014,8987.72553333832
09/2014,9311.749887706828
10/2014,9212.867152491264
11/2014,9250.297667544992
12/2014,9412.387191507001
01/2015,10361.399202786453
02/2015,11011.209162677764
03/2015,11687.263916763668
04/2015,11578.635765367588
05/2015,11989.205912906298
06/2015,11613.563374649822
07/2015,11887.525536850491
08/2015,10995.000366833974
09/2015,10316.558871423984
10/2015,11488.559287508377
11/2015,11889.50787402829
12/2015,11600.372265988843
01/2016,10650.33509370099
02/2016,10420.03793415709
03/2016,10462.746181279686
04/2016,10926.390750126502
05/2016,11075.178486310291
06/2016,10890.310079221495
07/2016,11562.452871731768
08/2016,11505.085877456471
09/2016,11734.211574260917
10/2016,12122.8405992887
11/2016,12125.377928186386
12/2016,12370.01762074415
01/2017,12576.166419114244
02/2017,12949.87464548521
03/2017,12793.102541799732
04/2017,12659.295475224511
