Date,MSCI Japan
12/1978,10000
01/1979,10104.714635179822
02/1979,9762.630913662999
03/1979,9412.653161286273
04/1979,9222.57824460913
05/1979,9466.072984089227
06/1979,9417.715869658998
07/1979,9054.251744800149
08/1979,9115.986571658083
09/1979,9188.860218814862
10/1979,8512.997114336991
11/1979,8139.060747789478
12/1979,8459.106892471631
01/1980,8542.306191456752
02/1980,8285.189294158967
03/1980,8479.461424638093
04/1980,9280.061643438812
05/1980,9406.024349932002
06/1980,9629.130405435593
07/1980,9037.006006050218
08/1980,9828.480059149457
09/1980,10449.804387874166
10/1980,10972.384431155322
11/1980,10991.697891100575
12/1980,12132.982984019362
01/1981,12408.564344001334
02/1981,13063.237929354658
03/1981,13853.274117133653
04/1981,15255.073399412344
05/1981,15769.744658760923
06/1981,16949.660050193936
07/1981,16821.979512114067
08/1981,17946.879859075805
09/1981,15512.175697169188
10/1981,15037.006857943543
11/1981,16229.138859417148
12/1981,16717.564615814776
01/1982,16687.59240956542
02/1982,15869.671049434224
03/1982,14605.948220626613
04/1982,16150.311885942334
05/1982,15000.187461121957
06/1982,14912.94682694144
07/1982,14665.06032193347
08/1982,14837.397794460912
09/1982,14402.560329474707
10/1982,14626.945689003458
11/1982,17625.85574946825
12/1982,18818.897354218097
01/1983,17911.54827081096
02/1983,18539.62412354856
03/1983,19378.68616495144
04/1983,20072.692407561855
05/1983,20242.2601538653
06/1983,21523.715701162757
07/1983,21993.327628057497
08/1983,22423.948332097098
09/1983,24206.73346836656
10/1983,23689.67816129981
11/1983,24620.815801123787
12/1983,27187.887215016417
01/1984,29096.807183880173
02/1984,28117.983209373564
03/1984,32007.316710675794
04/1984,31860.670868860394
05/1984,28979.027917532636
06/1984,29107.10493206524
07/1984,28070.65105984355
08/1984,30818.656316621466
09/1984,32134.93831123894
10/1984,34331.10454339395
11/1984,33658.22826168689
12/1984,36326.977648165775
01/1985,37024.81335475945
02/1985,39662.72157175433
03/1985,42019.475547859925
04/1985,37776.36534978509
05/1985,39367.08622859761
06/1985,40426.90071983151
07/1985,38649.33265192107
08/1985,38220.39350389824
09/1985,42962.18549660035
10/1985,41595.434194199006
11/1985,41400.84139903369
12/1985,42816.8561158529
01/1986,43095.6292723291
02/1986,46390.5266381208
03/1986,54794.33904498992
04/1986,57182.688641531924
05/1986,55820.78751510145
06/1986,61744.094669227714
07/1986,67865.70950934078
08/1986,71822.34682224975
09/1986,73046.73514411304
10/1986,62606.76130284582
11/1986,67449.41965482074
12/1986,71383.05889583279
01/1987,77902.06831654836
02/1987,77908.48811075381
03/1987,86312.05318910422
04/1987,98600.86278119397
