Date,MSCI Nordic Countries
12/1978,10000
01/1979,10797.47254964401
02/1979,10665.83211210507
03/1979,10724.616971260903
04/1979,10638.81267596884
05/1979,10838.620732654075
06/1979,11158.135357059076
07/1979,11063.993392200726
08/1979,11005.932046490469
09/1979,11343.566023300122
10/1979,11261.194785258987
11/1979,11913.0033823849
12/1979,11679.255493826879
01/1980,11896.818414334182
02/1980,11594.327114422063
03/1980,10645.880123476083
04/1980,11829.542191435436
05/1980,11726.41734579978
06/1980,11700.73069743308
07/1980,11579.467707397753
08/1980,11450.167767730129
09/1980,11916.302058331252
10/1980,12871.546037087113
11/1980,13649.292764616202
12/1980,13972.784872563923
01/1981,13390.246818630447
02/1981,15342.346481382743
03/1981,16167.719657247313
04/1981,15732.061830660117
05/1981,16622.401968277354
06/1981,18489.844765476082
07/1981,19637.16437626517
08/1981,20593.95007317093
09/1981,17799.854825312592
10/1981,19262.086531858244
11/1981,20777.397659803064
12/1981,20379.444898663885
01/1982,20407.102030213708
02/1982,20555.36857816643
03/1982,19783.30205601823
04/1982,20411.991091269676
05/1982,20100.356086355412
06/1982,20190.49628255727
07/1982,21474.057118682904
08/1982,21592.087195924625
09/1982,22526.985465696347
10/1982,22435.930376521188
11/1982,25182.111980026457
12/1982,25884.342243996845
01/1983,28238.944306116766
02/1983,33612.8528327066
03/1983,34793.32067451324
04/1983,39682.075850491245
05/1983,39711.54200579247
06/1983,40024.95530518024
07/1983,43022.98299716052
08/1983,45777.790621276785
09/1983,46257.764887972095
10/1983,44393.83500757398
11/1983,46858.531078941196
12/1983,47158.598983311735
01/1984,51464.649051934495
02/1984,49789.598394138724
03/1984,49406.762306997225
04/1984,48301.609778332124
05/1984,45580.80338265026
06/1984,45173.17468993236
07/1984,46195.49611252319
08/1984,46868.156555918824
09/1984,45138.996600489794
10/1984,45168.99071338653
11/1984,41761.98206823735
12/1984,42592.87296109995
01/1985,47255.73999304455
02/1985,45786.02445479254
03/1985,47546.24023583235
04/1985,45028.5964233366
05/1985,44856.40194529315
06/1985,43754.216159383344
07/1985,46662.34705925534
08/1985,44348.31152163296
09/1985,47888.50631559055
10/1985,49175.209339255
11/1985,53217.55795179754
12/1985,55003.05333031762
01/1986,53980.280202241636
02/1986,56780.24157041949
03/1986,58410.47381912417
04/1986,64837.191881604645
05/1986,62320.57288485806
06/1986,65931.34572873339
07/1986,65155.73950305898
08/1986,65593.61675558162
09/1986,64380.97970340667
10/1986,65354.4803951697
11/1986,66144.14818947262
12/1986,65916.48210521917
01/1987,61742.48748610483
02/1987,66293.88004486391
03/1987,69730.66262848098
04/1987,72980.69607722208
05/1987,69462.89082894227
06/1987,72649.64020339814
07/1987,78136.20629458547
08/1987,83508.56466686075
09/1987,82875.78256337647
10/1987,68687.19205106563
11/1987,59897.04795782392
12/1987,60238.20786289375
01/1988,63686.268471214185
02/1988,68154.61122690313
03/1988,72040.95745979245
04/1988,73237.39634746451
05/1988,76369.35706008416
06/1988,77025.48017635223
07/1988,81673.10802752204
08/1988,78417.97945857729
09/1988,81406.09165349347
10/1988,86997.28529013961
11/1988,87410.6162636356
12/1988,91591.49407904143
01/1989,98847.71309683588
02/1989,102495.62648000116
03/1989,106609.85726967151
04/1989,110877.40246037261
05/1989,112374.05475289068
06/1989,120556.44639111034
07/1989,125936.93173908918
08/1989,123387.21107521007
09/1989,124206.78143668677
10/1989,113873.169490335
11/1989,113725.64841153458
12/1989,120566.19242562607
01/1990,119772.55706442129
02/1990,116009.23921834888
03/1990,116049.66470533577
04/1990,112464.04697804403
05/1990,121525.6775816336
06/1990,125557.79224670453
07/1990,129311.10895912585
08/1990,110945.04819909943
09/1990,92885.31397892628
10/1990,93665.48071755623
11/1990,87413.10870697745
12/1990,87239.34138940612
01/1991,93877.13994123931
02/1991,100426.53243666104
03/1991,104797.08017960715
04/1991,104419.86115746296
05/1991,112072.66158923777
06/1991,110775.48036667287
07/1991,117034.72412373028
08/1991,113666.82503772846
09/1991,108594.70316760657
10/1991,105555.17737206609
11/1991,95806.4528338958
12/1991,98225.62763517773
01/1992,99680.12316294442
02/1992,97475.318974806
03/1992,100275.78781002268
04/1992,99686.27921798226
05/1992,105247.28044783116
06/1992,97518.72327386496
07/1992,90555.57420004865
08/1992,81389.61619955562
09/1992,76307.5452323666
10/1992,74334.05164266653
11/1992,85212.56072980392
12/1992,83472.99597565895
01/1993,86189.48203216656
02/1993,89023.09140876906
03/1993,92307.44632091203
04/1993,97558.55655411765
05/1993,103679.72183504404
06/1993,101934.31158349216
07/1993,108194.66959839965
08/1993,118029.17535654758
09/1993,115078.7272568138
10/1993,126834.81024033992
11/1993,119111.87358694566
12/1993,129008.05711053699
01/1994,151108.3921699381
02/1994,147181.3364309785
03/1994,137046.06538011043
04/1994,145212.6133590566
05/1994,137852.92216783264
06/1994,132575.27272616475
07/1994,138316.592579597
08/1994,137721.50729597584
09/1994,135903.81181585882
10/1994,143691.94088287881
11/1994,139723.53759733858
12/1994,144238.1751782458
01/1995,142058.16314347996
02/1995,142086.56678952576
03/1995,134440.43216667412
04/1995,143211.05692835475
05/1995,148546.45001881482
06/1995,154407.5630659067
07/1995,163911.6129517881
08/1995,163137.146098721
09/1995,178891.66982524205
10/1995,166714.5996975796
11/1995,169563.46690383198
12/1995,167304.39376482923
01/1996,167654.7689350285
02/1996,177938.03370751016
03/1996,179620.34894695788
04/1996,181092.20265250793
05/1996,190574.96350767007
06/1996,190355.73378801788
07/1996,183008.85578069312
08/1996,192542.42851958898
09/1996,198925.2924774607
10/1996,207159.87812236132
11/1996,217115.4981002197
12/1996,227580.7933801988
01/1997,242295.43541362273
02/1997,249987.98228395934
03/1997,261932.60634389304
04/1997,248538.19314548728
05/1997,264371.3468919961
06/1997,284348.8627817702
07/1997,308601.12662813504
08/1997,300928.5906624764
09/1997,330468.0933773945
10/1997,299516.0633539423
11/1997,293027.07514820003
12/1997,297581.04631318024
01/1998,310014.1176811257
02/1998,336478.5138661329
03/1998,363390.333440773
04/1998,380183.1969196543
05/1998,378214.72438235924
06/1998,380789.4504705337
07/1998,391002.32695836376
08/1998,324607.1771823709
09/1998,294366.9008894362
10/1998,308131.48708335985
11/1998,332755.5211696538
12/1998,346900.17583343334
01/1999,379554.55624945136
02/1999,373382.61794828554
03/1999,403449.82222395553
04/1999,425261.9808163617
05/1999,415585.3239921104
06/1999,460587.0887395182
07/1999,460944.7439943602
08/1999,461405.48664496304
09/1999,468166.6444355839
10/1999,532666.8098761145
11/1999,623239.9964268665
12/1999,759138.70122286
01/2000,773128.2916151914
02/2000,883030.6556189518
03/2000,897749.5548373669
04/2000,940487.950970996
05/2000,871580.5222286017
06/2000,839180.204573664
07/2000,811472.3223056362
08/2000,837574.1251740276
09/2000,770196.6108789184
10/2000,770744.7812533558
11/2000,713130.8719594005
12/2000,697106.3937567419
01/2001,681568.2815664473
02/2001,550318.7961214811
03/2001,509211.23934743553
04/2001,599263.4852961391
05/2001,586039.8831186423
06/2001,529100.9275661835
07/2001,513140.07852747093
08/2001,438501.2890655746
09/2001,394487.24066944246
10/2001,443626.0455904871
11/2001,494794.47319636244
12/2001,522086.7165453378
01/2002,489924.738692483
02/2002,487416.96815930714
03/2002,498512.1621306478
04/2002,431805.89363540814
05/2002,405402.79524134326
06/2002,379016.0270388073
07/2002,333137.1174862161
08/2002,336705.94821673323
09/2002,297799.6843202305
10/2002,343121.07592568465
11/2002,381596.20131532877
12/2002,325353.62471295305
01/2003,297956.7540119274
02/2003,289408.0836335095
03/2003,290140.27180162235
04/2003,336743.558752592
05/2003,334233.29883013427
06/2003,339326.6404667098
07/2003,348842.6565412357
08/2003,376905.0417076039
09/2003,354981.5838978599
10/2003,388935.8103903917
11/2003,390740.7014129057
12/2003,387317.9281942346
01/2004,420913.39034666057
02/2004,445502.7781614801
03/2004,439631.9033110197
04/2004,413895.51185509894
05/2004,409628.45131881215
06/2004,426944.96643732564
07/2004,405109.34852197266
08/2004,409032.426308931
09/2004,434459.3661736478
10/2004,436536.2499580885
11/2004,463850.28202617733
12/2004,457708.5372768879
01/2005,459787.95356407005
02/2005,485896.8425248565
03/2005,483409.01501524146
04/2005,473765.8550464736
05/2005,514535.28271495487
06/2005,530866.4776131462
07/2005,550836.2594985873
08/2005,557534.8082865453
09/2005,585774.8523812112
10/2005,557275.2423387786
11/2005,577249.0663563212
12/2005,611166.9739647761
01/2006,628465.4584720216
02/2006,647291.3030997431
03/2006,692908.1662732707
04/2006,708252.5137656
05/2006,649413.2944593512
06/2006,648160.4170613046
07/2006,641883.0843288316
08/2006,659856.2804292138
09/2006,673310.7648302155
10/2006,710000.6314653845
11/2006,717198.6833880678
12/2006,762391.580039646
01/2007,794944.4018568548
02/2007,767881.3416167876
03/2007,804056.2424306559
04/2007,859362.2939294896
05/2007,883623.2204762655
06/2007,880139.2689135656
07/2007,873472.5267595397
08/2007,863339.9483662177
09/2007,911056.0290295471
10/2007,905656.5751792392
11/2007,839544.1238127355
12/2007,826916.967897052
01/2008,719678.9874257048
02/2008,756428.870841282
03/2008,721539.2348213401
04/2008,757114.2978236257
05/2008,783315.7076269113
06/2008,681769.1923371443
07/2008,672111.1257036628
08/2008,677463.4252902111
09/2008,540815.4898219324
10/2008,453522.08468669467
11/2008,421427.66643091117
12/2008,406566.0133821635
01/2009,400340.0211049794
02/2009,367953.4064901952
03/2009,380359.45430607937
04/2009,466553.90003826655
05/2009,487037.39131255075
06/2009,474452.10547402344
07/2009,525108.5041196884
08/2009,552168.8087964981
09/2009,554846.1134456351
10/2009,550900.9887277212
11/2009,554518.3115948907
12/2009,577620.9185490729
01/2010,588097.0356684169
02/2010,604586.5775438461
03/2010,658948.627197997
04/2010,677331.3730346306
05/2010,632309.4848091254
06/2010,633227.0483905126
07/2010,669900.2433419636
08/2010,652476.0608329966
09/2010,708316.5718018524
10/2010,712006.1479662325
11/2010,718559.3559280174
12/2010,778823.4918176514
01/2011,780514.3497725346
02/2011,776732.4325817141
03/2011,773358.0312408884
04/2011,793290.3285148196
05/2011,780490.853860961
06/2011,739220.4855026575
07/2011,713236.1355980481
08/2011,634641.4814867409
09/2011,590525.8946740952
10/2011,651494.1153236192
11/2011,652883.7172081443
12/2011,660317.6874255603
01/2012,683384.1995136068
02/2012,748399.8676741963
03/2012,738709.5233363942
04/2012,732152.5183781652
05/2012,668032.53170346
06/2012,709135.0870320192
07/2012,763766.9895786032
08/2012,761995.7343508465
09/2012,768009.3843516483
10/2012,754671.1877751779
11/2012,775930.9101107761
12/2012,790529.6407159953
01/2013,833838.5988313877
02/2013,853767.4968643927
03/2013,864392.4713874285
04/2013,871404.4888136031
05/2013,862486.7710716205
06/2013,805466.9489038509
07/2013,869032.3622616152
08/2013,858497.7068415489
09/2013,901593.076203237
10/2013,912970.3339898088
11/2013,929846.216571983
12/2013,946405.9383872073
01/2014,932487.5394187609
02/2014,997432.7829531885
03/2014,991175.3515176306
04/2014,998079.6555560055
05/2014,1027459.3941662018
06/2014,1023112.2771661464
07/2014,1015865.3937971795
