Date,MSCI Pacific
12/1978,10000
01/1979,10202.483350747481
02/1979,9906.617590050817
03/1979,9624.81930839964
04/1979,9452.073608369765
05/1979,9730.642139259524
06/1979,9631.321495412456
07/1979,9337.996840355898
08/1979,9499.085301765186
09/1979,9706.152339746672
10/1979,9087.265859586983
11/1979,8795.799587775891
12/1979,9252.543681321793
01/1980,9565.90056104849
02/1980,9397.405104478576
03/1980,9300.11210477148
04/1980,10202.432006260191
05/1980,10433.44782298173
06/1980,10825.392497593748
07/1980,10369.073653123673
08/1980,11258.484948394707
09/1980,11843.641200674669
10/1980,12724.646924822047
11/1980,12775.411178492299
12/1980,13881.798919171744
01/1981,14059.527651503098
02/1981,14742.615745323366
03/1981,15499.620170012242
04/1981,16868.105220828613
05/1981,17702.54363401946
06/1981,18935.768885897232
07/1981,18520.151292170947
08/1981,19380.17968418574
09/1981,16559.3252656741
10/1981,16026.843920335219
11/1981,17452.668076480037
12/1981,17861.191969145762
01/1982,17682.22024389266
02/1982,16713.337457143738
03/1982,15498.285427400744
04/1982,17255.129758442337
05/1982,16250.433614380056
06/1982,15983.290961459388
07/1982,15633.463645886644
08/1982,15640.411756354426
09/1982,15221.13501666017
10/1982,15314.981004051802
11/1982,17844.679445423306
12/1982,18931.88578053431
01/1983,18452.417967891957
02/1983,19116.920460544028
03/1983,19745.878762052842
04/1983,20704.79754315072
05/1983,20830.671110596413
06/1983,22046.21576453037
07/1983,22725.652337740237
08/1983,23197.59754504169
09/1983,24542.192255351016
10/1983,24100.79404232247
11/1983,25196.952075138943
12/1983,27668.173081899025
01/1984,29643.31110762351
02/1984,28488.39607926729
03/1984,31641.218028220286
04/1984,31592.06572233047
05/1984,28739.329099178893
06/1984,28711.8289470336
07/1984,27925.08729386951
08/1984,30636.205797069004
09/1984,31959.835148726102
10/1984,33924.356788620855
11/1984,33315.54646747132
12/1984,35793.31568059713
01/1985,36741.00317438519
02/1985,38905.67685722634
03/1985,40981.46770059574
04/1985,37093.97190926693
05/1985,38655.895217289966
06/1985,39395.635393109864
07/1985,38134.89740881963
08/1985,37407.662286126026
09/1985,41667.00150499974
10/1985,40391.40833445727
11/1985,39947.86805346302
12/1985,40996.49228665782
01/1986,41388.37938422422
02/1986,43873.17473593005
03/1986,51011.97552349508
04/1986,53462.35561994345
05/1986,52267.17099556122
06/1986,57115.59674997136
07/1986,61907.33010027823
08/1986,65429.68298140483
09/1986,66705.06135529454
10/1986,58466.761308196925
11/1986,62654.37317223604
12/1986,66302.05657848848
01/1987,71666.51603134781
02/1987,72266.65960932821
03/1987,79598.32726639742
04/1987,90122.2462272776
05/1987,89320.70345265801
06/1987,84956.63717626195
07/1987,84160.0843936108
08/1987,94903.53723672492
09/1987,89766.4169581012
10/1987,79435.84619365534
11/1987,77607.96115731515
12/1987,76415.44560133993
01/1988,81058.85899630783
02/1988,89294.96253007033
03/1988,94957.19854761101
04/1988,95591.27040010436
05/1988,92856.96247587423
06/1988,93040.81056323917
07/1988,102175.95883815807
08/1988,96740.67415576804
09/1988,99752.21254979263
10/1988,105287.76259240917
11/1988,109468.58075047687
12/1988,110210.17489042677
01/1989,115636.29452445952
02/1989,118571.01472148672
03/1989,115575.52344662485
04/1989,116288.92206276451
05/1989,114507.79826279958
06/1989,111379.52944497464
07/1989,120350.19553070121
08/1989,114653.72556798527
09/1989,123530.10725415373
10/1989,115699.87219451382
11/1989,119473.3500245408
12/1989,114685.08126359768
01/1990,105028.20743111399
02/1990,93582.05796698692
03/1990,78077.0343503699
04/1990,77595.73516411289
05/1990,86934.38588669637
06/1990,83998.13594726464
07/1990,80844.10774262673
08/1990,69915.31433050381
09/1990,59052.293838498794
10/1990,69706.83758911959
11/1990,60750.953065847025
12/1990,64085.921993385375
01/1991,66248.90579570121
02/1991,73176.32161514262
03/1991,75309.91621513997
04/1991,81363.10808511471
05/1991,82133.3319960208
06/1991,79630.86820747818
07/1991,82422.68110221472
08/1991,76521.32911220478
09/1991,80262.57417243086
10/1991,83566.87767925923
11/1991,75268.24261522577
12/1991,75113.8479653292
01/1992,72712.10410936375
02/1992,69111.60077338554
03/1992,64210.858699596596
04/1992,60715.21984159668
05/1992,64200.306552926246
06/1992,57458.653217695275
07/1992,53964.585927083106
08/1992,59810.272208993796
09/1992,59789.91567551177
10/1992,60078.13947943368
11/1992,65221.27139396781
12/1992,64433.06272566514
01/1993,65569.16658569145
02/1993,70461.13839314354
03/1993,79361.89229233241
04/1993,88875.47287417896
05/1993,91686.55114169342
06/1993,92815.21135550198
07/1993,102471.88545025037
08/1993,106308.90180170286
09/1993,98264.41490642479
10/1993,101625.07746846149
11/1993,89630.79962659131
12/1993,95836.4131757381
01/1994,108379.89203205875
02/1994,110746.27586346056
03/1994,102469.72564122049
04/1994,107210.47878172477
05/1994,107401.90665197728
06/1994,109114.21537732327
07/1994,103482.50295042426
08/1994,105401.93525040791
09/1994,101662.61453226954
10/1994,102242.0618146404
11/1994,97972.21194656183
12/1994,100648.61548777674
01/1995,92365.26434432152
02/1995,89091.67322190742
03/1995,92204.06241187785
04/1995,94286.4929266283
05/1995,91913.700134165
06/1995,87284.04005852448
07/1995,92489.73132095717
08/1995,91700.6618221111
09/1995,93737.48171900987
10/1995,87792.18844075243
11/1995,92307.73622708581
12/1995,98346.37669294937
01/1996,99709.2231556471
02/1996,99150.57669473585
03/1996,102126.3175929061
04/1996,108241.83100284896
05/1996,104800.78771833608
06/1996,104009.54856539486
07/1996,97722.50198799478
08/1996,94287.17004170764
09/1996,98208.09003257602
10/1996,93940.60064189957
11/1996,95252.90698082045
12/1996,92300.52717221975
01/1997,86833.26925861504
02/1997,92502.8021329456
03/1997,90147.26128857548
04/1997,92520.92553795125
05/1997,101259.91324988192
06/1997,108737.91659764634
07/1997,109090.33299230711
08/1997,101071.64814374426
09/1997,98041.17816142339
10/1997,84571.88023481831
11/1997,78270.20954262384
12/1997,76848.33440009301
01/1998,82875.75412278401
02/1998,85657.99616147164
03/1998,81233.79090459281
04/1998,79083.28478283211
05/1998,72588.046851145
06/1998,72969.63471112262
07/1998,71865.9614452074
08/1998,63109.58856817021
09/1998,59966.245955052174
10/1998,67749.65470792627
11/1998,72909.35781788042
12/1998,74459.91367852213
01/1999,77444.59525860971
02/1999,78451.32185699508
03/1999,90606.33921780405
04/1999,97983.44510843782
05/1999,93385.05641570422
06/1999,103238.30229495627
07/1999,107293.43461634063
08/1999,107415.53615930873
09/1999,111398.85224228627
10/1999,118054.98032689925
11/1999,128280.47660814006
12/1999,137353.94276945878
01/2000,134128.69721852557
02/2000,132224.63490719954
03/2000,143779.04540663213
04/2000,140673.45475897528
05/2000,129389.03929766602
06/2000,135678.7451127625
07/2000,126920.07185371673
08/2000,138892.8163899062
09/2000,133686.22766736112
10/2000,131220.78620815222
11/2000,122764.28907287825
12/2000,110056.53212893003
01/2001,109870.8591768349
02/2001,105696.6259834817
03/2001,105386.45765463341
04/2001,111766.10272260864
05/2001,116547.76007093418
06/2001,110970.6238517863
07/2001,100507.81580300482
08/2001,93814.25842858794
09/2001,84206.94026087491
10/2001,85931.61153400646
11/2001,89826.9293690804
12/2001,86684.35371020323
01/2002,83536.86700227944
02/2002,85632.95858898845
03/2002,89494.35253347475
04/2002,90554.01510554175
05/2002,91462.93090746514
06/2002,81571.76905260806
07/2002,77569.71672968444
08/2002,76620.97807039692
09/2002,72608.73210825487
10/2002,69683.19797297544
11/2002,71742.57653547666
12/2002,66079.44773252096
01/2003,62288.35861914289
02/2003,62534.56998639947
03/2003,59988.07900486548
04/2003,59255.50080485325
05/2003,58532.13142880867
06/2003,64380.8000941965
07/2003,67220.97027375494
08/2003,75845.31026956707
09/2003,75028.8106238854
10/2003,79145.75642668223
11/2003,74882.06228953252
12/2003,75980.46032809826
01/2004,79048.33694394557
02/2004,79468.05241380133
03/2004,88496.15400788796
04/2004,85681.13232458854
05/2004,81752.30433518793
06/2004,85413.85904708026
07/2004,82508.97596501214
08/2004,83070.28937054408
09/2004,80734.99380076326
10/2004,80980.62058015456
11/2004,81985.63195690994
12/2004,83821.58645484912
01/2005,86022.79595720873
02/2005,86878.74725649573
03/2005,86620.49366164878
04/2005,85007.43543348888
05/2005,88714.93504590161
06/2005,91563.47132902377
07/2005,93138.06810551388
08/2005,96917.34108562057
09/2005,107068.86062878412
10/2005,104629.01241248919
11/2005,111215.92989890851
12/2005,118691.24625262235
01/2006,121741.14222382326
02/2006,123202.20583153653
03/2006,123431.73308902046
04/2006,124060.95362277253
05/2006,113440.6450876337
06/2006,114024.57503314936
07/2006,113401.16560141306
08/2006,114791.01146075498
09/2006,114970.95194317297
10/2006,118110.20636786749
11/2006,115572.2860473715
12/2006,119288.28839897852
01/2007,122329.39881444625
02/2007,124018.2225879929
03/2007,123348.2369044849
04/2007,120780.6548325284
