Date,MSCI Russia ADR/GDR 20/35
05/2008,10000
06/2008,9152.956571936058
07/2008,7763.496923963872
08/2008,7063.82822124194
09/2008,5524.688406627981
10/2008,4282.478827310496
11/2008,3403.8153028993484
12/2008,2852.092471078537
01/2009,2750.6492166042444
02/2009,2915.783644416324
03/2009,3292.7581244364296
04/2009,3997.465910357816
05/2009,4839.149408426727
06/2009,4170.372650346682
07/2009,4524.764487197624
08/2009,4635.829302130045
09/2009,4980.574824830977
10/2009,5139.340721621621
11/2009,5185.657181654796
12/2009,5652.712289323891
01/2010,5783.031582414435
02/2010,5713.595183492999
03/2010,6257.896217820313
04/2010,6347.59968757041
05/2010,6083.30187698058
06/2010,5807.670804335425
07/2010,6117.97027939822
08/2010,6080.31010725552
09/2010,5931.5713804220395
10/2010,6054.49912968175
11/2010,6495.678159716878
12/2010,7056.557817691962
01/2011,7125.275869120655
02/2011,7648.6814659534475
03/2011,7838.706187090869
04/2011,7520.607730820996
05/2011,7178.1179395203335
06/2011,7139.323954888258
07/2011,7342.265862552594
08/2011,6395.005519723182
09/2011,5386.178884692291
10/2011,6096.457198771517
11/2011,6338.759198092114
12/2011,5819.664950923565
01/2012,6544.7738221007885
02/2012,7037.538013836196
03/2012,6621.658230008985
04/2012,6554.166202512488
05/2012,5542.506435539789
06/2012,5933.516003177126
07/2012,6207.454474112667
08/2012,6258.980103084608
09/2012,6436.383709203404
10/2012,6169.231118294467
11/2012,6147.167706761128
12/2012,6484.633645596483
01/2013,6672.983672324723
02/2013,6528.880993221113
03/2013,6433.597650917611
04/2013,6124.99564259486
05/2013,5955.52033215439
06/2013,5748.180103975535
07/2013,5846.813893785311
08/2013,5851.115085757461
09/2013,6322.624805627545
10/2013,6543.680237519243
11/2013,6232.3793314231125
12/2013,6284.546437531724
01/2014,5721.678665285588
02/2014,5474.549664808514
03/2014,5357.233426167682
04/2014,5003.41826137184
05/2014,5727.360720217534
06/2014,6014.624173378241
07/2014,5567.985179759324
08/2014,5567.393166515014
09/2014,5505.728223794008
10/2014,5460.6263398275305
11/2014,4817.157747336378
12/2014,3983.017955687341
01/2015,4009.637639982308
02/2015,5003.937661921707
03/2015,5027.048142020634
04/2015,5671.669004012484
05/2015,5510.782643573381
06/2015,5173.800886585039
07/2015,5026.730059268716
08/2015,4639.222002674989
09/2015,4406.456381326429
10/2015,4757.128619406371
11/2015,5010.744890821439
12/2015,4310.688406356204
01/2016,4232.902919413918
02/2016,4341.072057310801
03/2016,4728.46207465964
04/2016,5167.347743576252
05/2016,4975.3373462435
06/2016,5099.857903080526
07/2016,5180.9949176639975
08/2016,5330.296863097377
09/2016,5529.079286802257
10/2016,5647.385686095377
11/2016,6095.045006111896
12/2016,6917.986244189356
01/2017,6671.814125523013
02/2017,6356.421440030197
03/2017,6424.222725657095
04/2017,6254.122426349497
05/2017,5723.26879244274
06/2017,5476.992919733614
07/2017,5556.471305534237
08/2017,6029.562858350951
09/2017,6296.581646620361
10/2017,6323.634184567795
11/2017,6399.664332855093
12/2017,6562.872325523223
01/2018,7167.828225094325
02/2018,7359.31670214508
03/2018,6969.877457998538
04/2018,6592.870757513038
05/2018,6766.307821181298
06/2018,6822.814969977698
07/2018,7052.466496250853
08/2018,6561.79671101193
09/2018,7346.298752591569
10/2018,7138.448319491075
11/2018,7034.234386829827
12/2018,6763.790497816594
01/2019,7666.99698816156
02/2019,7535.52140504555
03/2019,7766.8646693368955
04/2019,8092.181675878054
05/2019,8426.959027889874
06/2019,9005.119483304043
07/2019,9219.631860819658
08/2019,8864.26375498369
09/2019,9231.46848011755
10/2019,9786.279325802403
11/2019,9880.214299763247
12/2019,10468.673053231263
01/2020,10303.727361563517
02/2020,8893.372491573291
03/2020,6696.806221248632
04/2020,7530.462931224716
05/2020,7991.368767959772
06/2020,7834.018953384534
07/2020,7494.913781228898
08/2020,7518.184884422111
09/2020,7012.8134984625885
10/2020,6449.249307573945
11/2020,7639.139829716193
12/2020,8186.103355879716
01/2021,8231.06012195122
02/2021,8471.339358138766
03/2021,9304.733867803838
04/2021,8966.286108260221
05/2021,9826.7031128596
06/2021,10530.576644227533
07/2021,10510.266275334287
08/2021,10848.392462396485
09/2021,12009.960929268504
10/2021,12423.739129240015
11/2021,11203.741839303
12/2021,11466.636560127141
01/2022,10692.06816780208
02/2022,2904.159992856505
03/2022,0.013969912620484642
04/2022,0.014713472485768502
05/2022,0.014475870437785868
06/2022,0.014930201213054781
07/2022,0.015206903314375369
08/2022,0.015508
09/2022,0.015908904390644234
10/2022,0.015642525721202342
11/2022,0.014946029298380879
12/2022,0.014539658728670541
01/2023,0.014315517400535403
02/2023,0.014604011677182407
